timestamp,index,uuid,power.draw_w,power.limit_w,clocks.sm_mhz,clocks.mem_mhz,utilization.gpu_percent,memory.used_mib,temperature_gpu_c
2026/07/13 20:39:19.117, 1, ${V100_GPU_1_UUID}, 20.82, 150.00, 135, 877, 0, 6, 39
2026/07/13 20:39:19.319, 1, ${V100_GPU_1_UUID}, 20.82, 150.00, 135, 877, 0, 6, 39
2026/07/13 20:39:19.520, 1, ${V100_GPU_1_UUID}, 20.82, 150.00, 135, 877, 0, 6, 39
2026/07/13 20:39:19.722, 1, ${V100_GPU_1_UUID}, 20.82, 150.00, 135, 877, 0, 6, 39
2026/07/13 20:39:19.924, 1, ${V100_GPU_1_UUID}, 20.82, 150.00, 135, 877, 0, 6, 39
2026/07/13 20:39:20.125, 1, ${V100_GPU_1_UUID}, 20.82, 150.00, 135, 877, 0, 6, 39
2026/07/13 20:39:20.327, 1, ${V100_GPU_1_UUID}, 20.82, 150.00, 135, 877, 0, 6, 39
2026/07/13 20:39:20.528, 1, ${V100_GPU_1_UUID}, 20.82, 150.00, 135, 877, 0, 6, 39
2026/07/13 20:39:20.730, 1, ${V100_GPU_1_UUID}, 20.82, 150.00, 135, 877, 0, 6, 39
2026/07/13 20:39:20.932, 1, ${V100_GPU_1_UUID}, 20.82, 150.00, 135, 877, 0, 6, 39
2026/07/13 20:39:21.133, 1, ${V100_GPU_1_UUID}, 20.82, 150.00, 135, 877, 0, 6, 39
2026/07/13 20:39:21.336, 1, ${V100_GPU_1_UUID}, 20.82, 150.00, 135, 877, 0, 6, 39
2026/07/13 20:39:21.538, 1, ${V100_GPU_1_UUID}, 20.82, 150.00, 135, 877, 0, 6, 39
2026/07/13 20:39:21.739, 1, ${V100_GPU_1_UUID}, 20.82, 150.00, 135, 877, 0, 6, 39
2026/07/13 20:39:21.943, 1, ${V100_GPU_1_UUID}, 20.82, 150.00, 135, 877, 0, 6, 39
2026/07/13 20:39:22.144, 1, ${V100_GPU_1_UUID}, 20.82, 150.00, 135, 877, 0, 6, 39
2026/07/13 20:39:22.346, 1, ${V100_GPU_1_UUID}, 20.82, 150.00, 135, 877, 0, 6, 39
2026/07/13 20:39:22.548, 1, ${V100_GPU_1_UUID}, 20.82, 150.00, 135, 877, 0, 6, 39
2026/07/13 20:39:22.749, 1, ${V100_GPU_1_UUID}, 20.82, 150.00, 135, 877, 0, 6, 39
2026/07/13 20:39:22.951, 1, ${V100_GPU_1_UUID}, 20.82, 150.00, 135, 877, 0, 6, 39
2026/07/13 20:39:23.153, 1, ${V100_GPU_1_UUID}, 20.82, 150.00, 135, 877, 0, 6, 39
2026/07/13 20:39:23.355, 1, ${V100_GPU_1_UUID}, 20.82, 150.00, 135, 877, 0, 6, 39
2026/07/13 20:39:23.556, 1, ${V100_GPU_1_UUID}, 20.82, 150.00, 135, 877, 0, 6, 39
2026/07/13 20:39:23.758, 1, ${V100_GPU_1_UUID}, 20.82, 150.00, 135, 877, 0, 6, 39
2026/07/13 20:39:23.959, 1, ${V100_GPU_1_UUID}, 20.82, 150.00, 135, 877, 0, 6, 39
2026/07/13 20:39:24.161, 1, ${V100_GPU_1_UUID}, 20.82, 150.00, 135, 877, 0, 6, 39
2026/07/13 20:39:24.362, 1, ${V100_GPU_1_UUID}, 20.82, 150.00, 135, 877, 0, 6, 39
2026/07/13 20:39:24.564, 1, ${V100_GPU_1_UUID}, 20.82, 150.00, 135, 877, 0, 6, 39
2026/07/13 20:39:24.766, 1, ${V100_GPU_1_UUID}, 20.82, 150.00, 135, 877, 0, 6, 39
2026/07/13 20:39:24.967, 1, ${V100_GPU_1_UUID}, 25.18, 150.00, 1312, 877, 0, 28, 39
