timestamp, index, uuid, power.draw [W], power.limit [W], clocks.current.sm [MHz], clocks.current.memory [MHz], utilization.gpu [%], memory.used [MiB], temperature.gpu
2026/07/13 21:23:08.126, 1, ${V100_GPU_1_UUID}, 21.30, 150.00, 135, 877, 0, 6, 43
2026/07/13 21:23:08.328, 1, ${V100_GPU_1_UUID}, 38.20, 150.00, 1312, 877, 0, 316, 43
2026/07/13 21:23:08.529, 1, ${V100_GPU_1_UUID}, 38.68, 150.00, 1312, 877, 0, 316, 43
2026/07/13 21:23:08.730, 1, ${V100_GPU_1_UUID}, 39.65, 150.00, 1312, 877, 24, 844, 44
2026/07/13 21:23:08.932, 1, ${V100_GPU_1_UUID}, 44.48, 150.00, 1447, 877, 77, 1360, 44
2026/07/13 21:23:09.133, 1, ${V100_GPU_1_UUID}, 44.97, 150.00, 1447, 877, 0, 1360, 44
2026/07/13 21:23:09.335, 1, ${V100_GPU_1_UUID}, 43.97, 150.00, 1417, 877, 1, 1894, 44
2026/07/13 21:23:09.536, 1, ${V100_GPU_1_UUID}, 47.38, 150.00, 1432, 877, 94, 1894, 45
2026/07/13 21:23:09.738, 1, ${V100_GPU_1_UUID}, 130.43, 150.00, 1357, 877, 93, 1894, 46
2026/07/13 21:23:09.939, 1, ${V100_GPU_1_UUID}, 52.19, 150.00, 1327, 877, 89, 1894, 45
2026/07/13 21:23:10.140, 1, ${V100_GPU_1_UUID}, 45.45, 150.00, 1357, 877, 94, 1894, 46
