timestamp, index, uuid, power.draw [W], power.limit [W], clocks.current.sm [MHz], clocks.current.memory [MHz], utilization.gpu [%], memory.used [MiB], temperature.gpu
2026/07/13 21:21:50.090, 1, ${V100_GPU_1_UUID}, 21.79, 150.00, 337, 877, 0, 6, 41
2026/07/13 21:21:50.292, 1, ${V100_GPU_1_UUID}, 38.68, 150.00, 1312, 877, 0, 316, 41
2026/07/13 21:21:50.493, 1, ${V100_GPU_1_UUID}, 39.65, 150.00, 1312, 877, 3, 1080, 41
2026/07/13 21:21:50.695, 1, ${V100_GPU_1_UUID}, 167.04, 150.00, 1492, 877, 72, 1658, 42
2026/07/13 21:21:50.902, 1, ${V100_GPU_1_UUID}, 58.43, 150.00, 1312, 877, 93, 1268, 43
2026/07/13 21:21:51.108, 1, ${V100_GPU_1_UUID}, 115.91, 150.00, 1447, 877, 91, 1268, 44
2026/07/13 21:21:51.309, 1, ${V100_GPU_1_UUID}, 132.18, 150.00, 1530, 877, 96, 1268, 44
2026/07/13 21:21:51.511, 1, ${V100_GPU_1_UUID}, 140.16, 150.00, 1530, 877, 95, 1268, 45
2026/07/13 21:21:51.712, 1, ${V100_GPU_1_UUID}, 141.31, 150.00, 1530, 877, 95, 1268, 45
2026/07/13 21:21:51.913, 1, ${V100_GPU_1_UUID}, 141.12, 150.00, 1530, 877, 95, 1268, 45
2026/07/13 21:21:52.114, 1, ${V100_GPU_1_UUID}, 145.44, 150.00, 1530, 877, 95, 1268, 45
2026/07/13 21:21:52.316, 1, ${V100_GPU_1_UUID}, 143.71, 150.00, 1530, 877, 95, 1268, 46
2026/07/13 21:21:52.517, 1, ${V100_GPU_1_UUID}, 138.72, 150.00, 1530, 877, 95, 1268, 46
2026/07/13 21:21:52.738, 1, ${V100_GPU_1_UUID}, 136.41, 150.00, 1530, 877, 95, 1268, 46
2026/07/13 21:21:52.939, 1, ${V100_GPU_1_UUID}, 137.94, 150.00, 1530, 877, 95, 1268, 46
2026/07/13 21:21:53.140, 1, ${V100_GPU_1_UUID}, 142.65, 150.00, 1530, 877, 95, 1268, 46
