timestamp, index, uuid, power.draw [W], power.limit [W], clocks.current.sm [MHz], clocks.current.memory [MHz], utilization.gpu [%], memory.used [MiB], temperature.gpu
2026/07/13 21:23:28.786, 1, ${V100_GPU_1_UUID}, 22.76, 150.00, 337, 877, 0, 6, 44
2026/07/13 21:23:28.987, 1, ${V100_GPU_1_UUID}, 40.62, 150.00, 1312, 877, 0, 316, 44
2026/07/13 21:23:29.188, 1, ${V100_GPU_1_UUID}, 40.62, 150.00, 1312, 877, 3, 316, 45
2026/07/13 21:23:29.390, 1, ${V100_GPU_1_UUID}, 40.62, 150.00, 1312, 877, 0, 316, 45
2026/07/13 21:23:29.591, 1, ${V100_GPU_1_UUID}, 41.58, 150.00, 1312, 877, 27, 11402, 45
2026/07/13 21:23:29.793, 1, ${V100_GPU_1_UUID}, 45.93, 150.00, 1447, 877, 100, 11402, 45
2026/07/13 21:23:29.995, 1, ${V100_GPU_1_UUID}, 51.22, 150.00, 1530, 877, 100, 11402, 45
2026/07/13 21:23:30.196, 1, ${V100_GPU_1_UUID}, 51.22, 150.00, 1530, 877, 99, 11402, 45
2026/07/13 21:23:30.398, 1, ${V100_GPU_1_UUID}, 51.22, 150.00, 1530, 877, 99, 11402, 45
2026/07/13 21:23:30.600, 1, ${V100_GPU_1_UUID}, 51.22, 150.00, 1530, 877, 99, 11402, 45
2026/07/13 21:23:30.802, 1, ${V100_GPU_1_UUID}, 51.22, 150.00, 1530, 877, 99, 11402, 45
2026/07/13 21:23:31.004, 1, ${V100_GPU_1_UUID}, 51.22, 150.00, 1530, 877, 99, 11402, 45
2026/07/13 21:23:31.205, 1, ${V100_GPU_1_UUID}, 51.22, 150.00, 1530, 877, 99, 11402, 45
2026/07/13 21:23:31.407, 1, ${V100_GPU_1_UUID}, 51.22, 150.00, 1530, 877, 99, 11402, 45
2026/07/13 21:23:31.609, 1, ${V100_GPU_1_UUID}, 51.22, 150.00, 1530, 877, 99, 11402, 45
2026/07/13 21:23:31.813, 1, ${V100_GPU_1_UUID}, 51.22, 150.00, 1530, 877, 99, 11402, 45
2026/07/13 21:23:32.014, 1, ${V100_GPU_1_UUID}, 51.22, 150.00, 1530, 877, 99, 11402, 45
2026/07/13 21:23:32.216, 1, ${V100_GPU_1_UUID}, 51.22, 150.00, 1530, 877, 99, 11402, 45
2026/07/13 21:23:32.418, 1, ${V100_GPU_1_UUID}, 51.22, 150.00, 1530, 877, 99, 11402, 45
2026/07/13 21:23:32.620, 1, ${V100_GPU_1_UUID}, 51.22, 150.00, 1530, 877, 99, 11402, 45
2026/07/13 21:23:32.821, 1, ${V100_GPU_1_UUID}, 51.22, 150.00, 1530, 877, 99, 11402, 45
2026/07/13 21:23:33.023, 1, ${V100_GPU_1_UUID}, 51.22, 150.00, 1530, 877, 99, 11402, 45
2026/07/13 21:23:33.225, 1, ${V100_GPU_1_UUID}, 50.25, 150.00, 1530, 877, 8, 12090, 45
2026/07/13 21:23:33.426, 1, ${V100_GPU_1_UUID}, 50.25, 150.00, 1530, 877, 0, 12090, 45
2026/07/13 21:23:33.627, 1, ${V100_GPU_1_UUID}, 155.14, 150.00, 937, 877, 15, 12326, 48
2026/07/13 21:23:33.833, 1, ${V100_GPU_1_UUID}, 149.38, 150.00, 1005, 877, 98, 12326, 48
2026/07/13 21:23:34.034, 1, ${V100_GPU_1_UUID}, 142.46, 150.00, 997, 877, 100, 14566, 48
2026/07/13 21:23:34.235, 1, ${V100_GPU_1_UUID}, 147.84, 150.00, 997, 877, 100, 14566, 49
2026/07/13 21:23:34.436, 1, ${V100_GPU_1_UUID}, 150.04, 150.00, 900, 877, 93, 14566, 49
2026/07/13 21:23:34.643, 1, ${V100_GPU_1_UUID}, 146.50, 150.00, 990, 877, 100, 14566, 49
2026/07/13 21:23:34.844, 1, ${V100_GPU_1_UUID}, 144.96, 150.00, 997, 877, 100, 14566, 49
2026/07/13 21:23:35.045, 1, ${V100_GPU_1_UUID}, 146.40, 150.00, 990, 877, 100, 14566, 49
2026/07/13 21:23:35.246, 1, ${V100_GPU_1_UUID}, 191.01, 150.00, 1065, 877, 93, 14566, 49
2026/07/13 21:23:35.448, 1, ${V100_GPU_1_UUID}, 149.66, 150.00, 1012, 877, 100, 14566, 49
2026/07/13 21:23:35.649, 1, ${V100_GPU_1_UUID}, 146.40, 150.00, 997, 877, 100, 14566, 50
2026/07/13 21:23:35.850, 1, ${V100_GPU_1_UUID}, 151.20, 150.00, 997, 877, 100, 14566, 50
2026/07/13 21:23:36.051, 1, ${V100_GPU_1_UUID}, 203.39, 150.00, 1312, 877, 100, 14566, 48
2026/07/13 21:23:36.253, 1, ${V100_GPU_1_UUID}, 143.04, 150.00, 997, 877, 100, 14566, 50
2026/07/13 21:23:36.454, 1, ${V100_GPU_1_UUID}, 147.46, 150.00, 990, 877, 100, 14566, 50
2026/07/13 21:23:36.655, 1, ${V100_GPU_1_UUID}, 149.28, 150.00, 1005, 877, 100, 14566, 50
2026/07/13 21:23:36.856, 1, ${V100_GPU_1_UUID}, 40.16, 150.00, 1312, 877, 100, 14566, 49
2026/07/13 21:23:37.058, 1, ${V100_GPU_1_UUID}, 141.60, 150.00, 982, 877, 93, 14566, 50
