timestamp, index, uuid, power.draw [W], power.limit [W], clocks.current.sm [MHz], clocks.current.memory [MHz], utilization.gpu [%], memory.used [MiB], temperature.gpu
2026/07/13 21:22:02.794, 1, ${V100_GPU_1_UUID}, 52.19, 150.00, 1530, 877, 0, 6, 44
2026/07/13 21:22:02.996, 1, ${V100_GPU_1_UUID}, 52.19, 150.00, 1530, 877, 0, 316, 44
2026/07/13 21:22:03.197, 1, ${V100_GPU_1_UUID}, 51.70, 150.00, 1530, 877, 3, 316, 44
2026/07/13 21:22:03.398, 1, ${V100_GPU_1_UUID}, 53.15, 150.00, 1530, 877, 71, 11402, 44
2026/07/13 21:22:03.600, 1, ${V100_GPU_1_UUID}, 53.15, 150.00, 1530, 877, 100, 11402, 44
2026/07/13 21:22:03.802, 1, ${V100_GPU_1_UUID}, 53.15, 150.00, 1530, 877, 99, 11402, 44
2026/07/13 21:22:04.003, 1, ${V100_GPU_1_UUID}, 53.15, 150.00, 1530, 877, 99, 11402, 44
2026/07/13 21:22:04.205, 1, ${V100_GPU_1_UUID}, 53.15, 150.00, 1530, 877, 99, 11402, 44
2026/07/13 21:22:04.407, 1, ${V100_GPU_1_UUID}, 53.15, 150.00, 1530, 877, 99, 11402, 44
2026/07/13 21:22:04.609, 1, ${V100_GPU_1_UUID}, 53.15, 150.00, 1530, 877, 99, 11402, 44
2026/07/13 21:22:04.811, 1, ${V100_GPU_1_UUID}, 53.15, 150.00, 1530, 877, 99, 11402, 44
2026/07/13 21:22:05.012, 1, ${V100_GPU_1_UUID}, 53.15, 150.00, 1530, 877, 99, 11402, 44
2026/07/13 21:22:05.214, 1, ${V100_GPU_1_UUID}, 53.15, 150.00, 1530, 877, 99, 11402, 44
2026/07/13 21:22:05.416, 1, ${V100_GPU_1_UUID}, 53.15, 150.00, 1530, 877, 99, 11402, 44
2026/07/13 21:22:05.618, 1, ${V100_GPU_1_UUID}, 53.15, 150.00, 1530, 877, 99, 11402, 44
2026/07/13 21:22:05.819, 1, ${V100_GPU_1_UUID}, 53.15, 150.00, 1530, 877, 99, 11402, 44
2026/07/13 21:22:06.021, 1, ${V100_GPU_1_UUID}, 53.15, 150.00, 1530, 877, 99, 11402, 44
2026/07/13 21:22:06.223, 1, ${V100_GPU_1_UUID}, 53.15, 150.00, 1530, 877, 99, 11402, 44
2026/07/13 21:22:06.425, 1, ${V100_GPU_1_UUID}, 53.15, 150.00, 1530, 877, 99, 11402, 44
2026/07/13 21:22:06.627, 1, ${V100_GPU_1_UUID}, 53.15, 150.00, 1530, 877, 99, 11402, 44
2026/07/13 21:22:06.828, 1, ${V100_GPU_1_UUID}, 53.15, 150.00, 1530, 877, 99, 11402, 44
2026/07/13 21:22:07.030, 1, ${V100_GPU_1_UUID}, 198.46, 150.00, 1192, 877, 52, 12326, 46
2026/07/13 21:22:07.234, 1, ${V100_GPU_1_UUID}, 152.16, 150.00, 1005, 877, 67, 12326, 46
2026/07/13 21:22:07.439, 1, ${V100_GPU_1_UUID}, 150.34, 150.00, 1005, 877, 100, 12326, 47
2026/07/13 21:22:07.644, 1, ${V100_GPU_1_UUID}, 142.56, 150.00, 1027, 877, 98, 12326, 47
2026/07/13 21:22:07.850, 1, ${V100_GPU_1_UUID}, 165.27, 150.00, 1005, 877, 94, 12326, 48
2026/07/13 21:22:08.057, 1, ${V100_GPU_1_UUID}, 141.60, 150.00, 990, 877, 100, 12326, 48
2026/07/13 21:22:08.263, 1, ${V100_GPU_1_UUID}, 139.20, 150.00, 990, 877, 100, 12326, 48
2026/07/13 21:22:08.469, 1, ${V100_GPU_1_UUID}, 114.06, 150.00, 1005, 877, 99, 12326, 48
2026/07/13 21:22:08.673, 1, ${V100_GPU_1_UUID}, 137.76, 150.00, 990, 877, 100, 12326, 48
2026/07/13 21:22:08.879, 1, ${V100_GPU_1_UUID}, 145.92, 150.00, 997, 877, 100, 12326, 48
2026/07/13 21:22:09.082, 1, ${V100_GPU_1_UUID}, 142.27, 150.00, 990, 877, 100, 12326, 48
2026/07/13 21:22:09.288, 1, ${V100_GPU_1_UUID}, 150.24, 150.00, 997, 877, 100, 12326, 48
2026/07/13 21:22:09.494, 1, ${V100_GPU_1_UUID}, 146.50, 150.00, 997, 877, 99, 12326, 49
2026/07/13 21:22:09.697, 1, ${V100_GPU_1_UUID}, 147.94, 150.00, 1012, 877, 100, 12326, 49
2026/07/13 21:22:09.901, 1, ${V100_GPU_1_UUID}, 153.12, 150.00, 990, 877, 100, 12326, 49
2026/07/13 21:22:10.106, 1, ${V100_GPU_1_UUID}, 148.42, 150.00, 982, 877, 99, 12326, 49
2026/07/13 21:22:10.308, 1, ${V100_GPU_1_UUID}, 142.56, 150.00, 990, 877, 100, 12326, 49
2026/07/13 21:22:10.512, 1, ${V100_GPU_1_UUID}, 145.34, 150.00, 1020, 877, 100, 12326, 49
2026/07/13 21:22:10.713, 1, ${V100_GPU_1_UUID}, 137.46, 150.00, 1057, 877, 100, 12326, 49
2026/07/13 21:22:10.914, 1, ${V100_GPU_1_UUID}, 151.68, 150.00, 997, 877, 99, 12326, 49
2026/07/13 21:22:11.115, 1, ${V100_GPU_1_UUID}, 142.56, 150.00, 1005, 877, 100, 12326, 50
2026/07/13 21:22:11.317, 1, ${V100_GPU_1_UUID}, 144.48, 150.00, 997, 877, 100, 12326, 50
2026/07/13 21:22:11.518, 1, ${V100_GPU_1_UUID}, 177.24, 150.00, 1215, 877, 100, 11736, 50
2026/07/13 21:22:11.720, 1, ${V100_GPU_1_UUID}, 144.96, 150.00, 1102, 877, 99, 11736, 50
2026/07/13 21:22:11.921, 1, ${V100_GPU_1_UUID}, 142.56, 150.00, 1102, 877, 99, 11736, 50
2026/07/13 21:22:12.122, 1, ${V100_GPU_1_UUID}, 148.32, 150.00, 1117, 877, 99, 11736, 50
2026/07/13 21:22:12.323, 1, ${V100_GPU_1_UUID}, 147.74, 150.00, 1102, 877, 99, 11736, 50
2026/07/13 21:22:12.525, 1, ${V100_GPU_1_UUID}, 144.19, 150.00, 1087, 877, 99, 11736, 50
2026/07/13 21:22:12.726, 1, ${V100_GPU_1_UUID}, 150.24, 150.00, 1102, 877, 99, 11736, 50
2026/07/13 21:22:12.927, 1, ${V100_GPU_1_UUID}, 142.08, 150.00, 1102, 877, 99, 11736, 50
2026/07/13 21:22:13.129, 1, ${V100_GPU_1_UUID}, 146.88, 150.00, 1117, 877, 99, 11736, 50
2026/07/13 21:22:13.330, 1, ${V100_GPU_1_UUID}, 145.92, 150.00, 1102, 877, 99, 11736, 50
2026/07/13 21:22:13.531, 1, ${V100_GPU_1_UUID}, 148.42, 150.00, 1102, 877, 99, 11736, 51
2026/07/13 21:22:13.732, 1, ${V100_GPU_1_UUID}, 146.60, 150.00, 1102, 877, 99, 11736, 51
2026/07/13 21:22:13.934, 1, ${V100_GPU_1_UUID}, 143.04, 150.00, 1102, 877, 99, 11736, 51
2026/07/13 21:22:14.135, 1, ${V100_GPU_1_UUID}, 148.42, 150.00, 1117, 877, 99, 11736, 51
2026/07/13 21:22:14.336, 1, ${V100_GPU_1_UUID}, 150.14, 150.00, 1102, 877, 99, 11736, 51
2026/07/13 21:22:14.537, 1, ${V100_GPU_1_UUID}, 144.58, 150.00, 1102, 877, 99, 11736, 51
2026/07/13 21:22:14.738, 1, ${V100_GPU_1_UUID}, 145.92, 150.00, 1102, 877, 99, 11736, 51
2026/07/13 21:22:14.940, 1, ${V100_GPU_1_UUID}, 146.40, 150.00, 1102, 877, 99, 11736, 51
2026/07/13 21:22:15.141, 1, ${V100_GPU_1_UUID}, 145.44, 150.00, 1102, 877, 99, 11736, 51
2026/07/13 21:22:15.342, 1, ${V100_GPU_1_UUID}, 149.28, 150.00, 1102, 877, 99, 11736, 51
2026/07/13 21:22:15.544, 1, ${V100_GPU_1_UUID}, 140.55, 150.00, 1087, 877, 99, 11736, 52
2026/07/13 21:22:15.745, 1, ${V100_GPU_1_UUID}, 148.22, 150.00, 1102, 877, 99, 11736, 52
2026/07/13 21:22:15.946, 1, ${V100_GPU_1_UUID}, 142.56, 150.00, 1102, 877, 99, 11736, 52
2026/07/13 21:22:16.148, 1, ${V100_GPU_1_UUID}, 144.38, 150.00, 1117, 877, 99, 11736, 52
2026/07/13 21:22:16.349, 1, ${V100_GPU_1_UUID}, 149.08, 150.00, 1102, 877, 98, 11736, 52
2026/07/13 21:22:16.550, 1, ${V100_GPU_1_UUID}, 147.16, 150.00, 1102, 877, 99, 11736, 52
2026/07/13 21:22:16.752, 1, ${V100_GPU_1_UUID}, 144.96, 150.00, 1087, 877, 99, 11736, 52
2026/07/13 21:22:16.953, 1, ${V100_GPU_1_UUID}, 142.75, 150.00, 1095, 877, 99, 11736, 52
2026/07/13 21:22:17.154, 1, ${V100_GPU_1_UUID}, 145.54, 150.00, 1102, 877, 99, 11736, 52
2026/07/13 21:22:17.355, 1, ${V100_GPU_1_UUID}, 147.36, 150.00, 1110, 877, 99, 11736, 52
2026/07/13 21:22:17.588, 1, ${V100_GPU_1_UUID}, 145.06, 150.00, 1110, 877, 99, 11736, 52
2026/07/13 21:22:17.789, 1, ${V100_GPU_1_UUID}, 142.56, 150.00, 1095, 877, 99, 11736, 53
2026/07/13 21:22:17.990, 1, ${V100_GPU_1_UUID}, 144.48, 150.00, 1102, 877, 99, 11736, 53
2026/07/13 21:22:18.192, 1, ${V100_GPU_1_UUID}, 142.08, 150.00, 1095, 877, 99, 11736, 53
2026/07/13 21:22:18.393, 1, ${V100_GPU_1_UUID}, 147.36, 150.00, 1110, 877, 99, 11736, 53
2026/07/13 21:22:18.594, 1, ${V100_GPU_1_UUID}, 145.54, 150.00, 1102, 877, 99, 11736, 53
2026/07/13 21:22:18.795, 1, ${V100_GPU_1_UUID}, 141.60, 150.00, 1095, 877, 99, 11736, 53
2026/07/13 21:22:18.997, 1, ${V100_GPU_1_UUID}, 141.60, 150.00, 1087, 877, 99, 11736, 53
2026/07/13 21:22:19.198, 1, ${V100_GPU_1_UUID}, 149.86, 150.00, 1110, 877, 99, 11736, 53
2026/07/13 21:22:19.399, 1, ${V100_GPU_1_UUID}, 143.62, 150.00, 1102, 877, 99, 11736, 53
2026/07/13 21:22:19.600, 1, ${V100_GPU_1_UUID}, 146.50, 150.00, 1102, 877, 99, 11736, 53
2026/07/13 21:22:19.802, 1, ${V100_GPU_1_UUID}, 144.77, 150.00, 1110, 877, 99, 11736, 53
2026/07/13 21:22:20.003, 1, ${V100_GPU_1_UUID}, 145.06, 150.00, 1110, 877, 99, 11736, 53
2026/07/13 21:22:20.204, 1, ${V100_GPU_1_UUID}, 145.92, 150.00, 1087, 877, 99, 11736, 53
2026/07/13 21:22:20.405, 1, ${V100_GPU_1_UUID}, 144.48, 150.00, 1102, 877, 99, 11736, 54
2026/07/13 21:22:20.606, 1, ${V100_GPU_1_UUID}, 145.92, 150.00, 1102, 877, 99, 11736, 54
2026/07/13 21:22:20.808, 1, ${V100_GPU_1_UUID}, 144.48, 150.00, 1110, 877, 98, 11736, 54
2026/07/13 21:22:21.009, 1, ${V100_GPU_1_UUID}, 147.46, 150.00, 1102, 877, 99, 11736, 54
2026/07/13 21:22:21.210, 1, ${V100_GPU_1_UUID}, 152.54, 150.00, 1102, 877, 99, 11736, 54
2026/07/13 21:22:21.411, 1, ${V100_GPU_1_UUID}, 146.40, 150.00, 1087, 877, 99, 11736, 54
2026/07/13 21:22:21.613, 1, ${V100_GPU_1_UUID}, 146.02, 150.00, 1102, 877, 99, 11736, 54
2026/07/13 21:22:21.814, 1, ${V100_GPU_1_UUID}, 144.10, 150.00, 1102, 877, 99, 11736, 54
