timestamp,graphics_clock_mhz,memory_clock_mhz,power_w,gpu_temperature_c,memory_temperature_c,gpu_util_pct,memory_used_mib,sw_power_cap,sw_thermal_slowdown,hw_thermal_slowdown
2026/07/17 10:03:09.875, 1192, 877, 36.94, 49, 47, 0, 6, Not Active, Not Active, Not Active
2026/07/17 10:03:09.927, 1192, 877, 36.94, 49, 47, 0, 8, Not Active, Not Active, Not Active
2026/07/17 10:03:09.979, 1192, 877, 36.94, 49, 47, 0, 20, Not Active, Not Active, Not Active
2026/07/17 10:03:10.035, 1192, 877, 36.94, 49, 47, 0, 316, Not Active, Not Active, Not Active
2026/07/17 10:03:10.087, 1192, 877, 36.94, 49, 47, 3, 316, Not Active, Not Active, Not Active
2026/07/17 10:03:10.138, 1192, 877, 36.94, 49, 48, 3, 316, Not Active, Not Active, Not Active
2026/07/17 10:03:10.190, 1192, 877, 37.91, 49, 47, 3, 844, Not Active, Not Active, Not Active
2026/07/17 10:03:10.243, 1192, 877, 37.91, 49, 47, 33, 844, Not Active, Not Active, Not Active
2026/07/17 10:03:10.296, 1192, 877, 37.91, 49, 47, 33, 844, Not Active, Not Active, Not Active
2026/07/17 10:03:10.348, 1192, 877, 38.40, 49, 47, 33, 1760, Not Active, Not Active, Not Active
2026/07/17 10:03:10.400, 1192, 877, 99.94, 49, 48, 71, 1822, Not Active, Not Active, Not Active
2026/07/17 10:03:10.452, 1192, 877, 126.22, 50, 49, 71, 1822, Not Active, Not Active, Not Active
2026/07/17 10:03:10.503, 1192, 877, 121.48, 51, 49, 71, 1822, Not Active, Not Active, Not Active
2026/07/17 10:03:10.556, 1192, 877, 127.74, 51, 49, 90, 1822, Not Active, Not Active, Not Active
2026/07/17 10:03:10.608, 1192, 877, 122.05, 51, 50, 90, 1822, Not Active, Not Active, Not Active
2026/07/17 10:03:10.660, 1192, 877, 129.02, 52, 49, 90, 1822, Not Active, Not Active, Not Active
2026/07/17 10:03:10.712, 1192, 877, 130.85, 52, 50, 90, 1822, Not Active, Not Active, Not Active
2026/07/17 10:03:10.763, 1192, 877, 117.55, 52, 50, 99, 1822, Not Active, Not Active, Not Active
2026/07/17 10:03:10.815, 1192, 877, 127.66, 52, 50, 99, 1822, Not Active, Not Active, Not Active
2026/07/17 10:03:10.867, 1192, 877, 131.03, 52, 50, 99, 1822, Not Active, Not Active, Not Active
2026/07/17 10:03:10.919, 1192, 877, 132.08, 52, 50, 99, 1822, Not Active, Not Active, Not Active
2026/07/17 10:03:10.971, 1192, 877, 112.33, 52, 50, 99, 1822, Not Active, Not Active, Not Active
2026/07/17 10:03:11.022, 1192, 877, 122.45, 52, 50, 99, 1822, Not Active, Not Active, Not Active
2026/07/17 10:03:11.074, 1192, 877, 127.74, 52, 50, 99, 1822, Not Active, Not Active, Not Active
2026/07/17 10:03:11.126, 1192, 877, 129.59, 52, 50, 99, 1822, Not Active, Not Active, Not Active
2026/07/17 10:03:11.178, 1192, 877, 129.98, 52, 50, 99, 1822, Not Active, Not Active, Not Active
