timestamp,graphics_clock_mhz,memory_clock_mhz,power_w,gpu_temperature_c,memory_temperature_c,gpu_util_pct,memory_used_mib,sw_power_cap,sw_thermal_slowdown,hw_thermal_slowdown
2026/07/17 10:03:23.669, 1192, 877, 36.46, 50, 48, 0, 6, Not Active, Not Active, Not Active
2026/07/17 10:03:23.722, 1192, 877, 36.46, 50, 48, 0, 8, Not Active, Not Active, Not Active
2026/07/17 10:03:23.774, 1192, 877, 36.46, 50, 48, 0, 20, Not Active, Not Active, Not Active
2026/07/17 10:03:23.826, 1192, 877, 36.46, 50, 48, 0, 316, Not Active, Not Active, Not Active
2026/07/17 10:03:23.879, 1192, 877, 36.46, 50, 48, 0, 316, Not Active, Not Active, Not Active
2026/07/17 10:03:23.931, 1192, 877, 36.46, 50, 48, 0, 316, Not Active, Not Active, Not Active
2026/07/17 10:03:23.983, 1192, 877, 37.43, 50, 48, 3, 844, Not Active, Not Active, Not Active
2026/07/17 10:03:24.036, 1192, 877, 37.43, 50, 48, 3, 844, Not Active, Not Active, Not Active
2026/07/17 10:03:24.089, 1192, 877, 37.43, 50, 48, 3, 844, Not Active, Not Active, Not Active
2026/07/17 10:03:24.143, 1192, 877, 37.91, 50, 48, 94, 1032, Not Active, Not Active, Not Active
2026/07/17 10:03:24.195, 1192, 877, 70.18, 50, 48, 94, 1038, Not Active, Not Active, Not Active
2026/07/17 10:03:24.247, 1192, 877, 76.95, 50, 49, 94, 1038, Not Active, Not Active, Not Active
2026/07/17 10:03:24.299, 1192, 877, 75.02, 50, 50, 83, 1038, Not Active, Not Active, Not Active
2026/07/17 10:03:24.351, 1192, 877, 74.97, 51, 50, 83, 1038, Not Active, Not Active, Not Active
2026/07/17 10:03:24.403, 1192, 877, 73.57, 51, 50, 83, 1038, Not Active, Not Active, Not Active
2026/07/17 10:03:24.455, 1192, 877, 72.60, 51, 50, 96, 1038, Not Active, Not Active, Not Active
2026/07/17 10:03:24.506, 1192, 877, 74.48, 51, 50, 96, 1038, Not Active, Not Active, Not Active
2026/07/17 10:03:24.558, 1192, 877, 73.52, 51, 50, 96, 1038, Not Active, Not Active, Not Active
2026/07/17 10:03:24.610, 1192, 877, 77.86, 51, 50, 96, 1038, Not Active, Not Active, Not Active
2026/07/17 10:03:24.662, 1192, 877, 64.91, 51, 50, 96, 888, Not Active, Not Active, Not Active
2026/07/17 10:03:24.714, 1192, 877, 37.91, 51, 49, 96, 358, Not Active, Not Active, Not Active
