timestamp,graphics_clock_mhz,memory_clock_mhz,power_w,gpu_temperature_c,memory_temperature_c,gpu_util_pct,memory_used_mib,sw_power_cap,sw_thermal_slowdown,hw_thermal_slowdown
2026/07/17 10:05:37.597, 1192, 877, 35.97, 50, 49, 0, 6, Not Active, Not Active, Not Active
2026/07/17 10:05:37.649, 1192, 877, 36.46, 50, 49, 0, 8, Not Active, Not Active, Not Active
2026/07/17 10:05:37.701, 1192, 877, 36.46, 50, 49, 0, 8, Not Active, Not Active, Not Active
2026/07/17 10:05:37.752, 1192, 877, 36.46, 50, 49, 0, 316, Not Active, Not Active, Not Active
2026/07/17 10:05:37.804, 1192, 877, 36.46, 50, 49, 0, 316, Not Active, Not Active, Not Active
2026/07/17 10:05:37.856, 1192, 877, 36.46, 50, 49, 0, 316, Not Active, Not Active, Not Active
2026/07/17 10:05:37.908, 1192, 877, 36.48, 50, 49, 3, 316, Not Active, Not Active, Not Active
2026/07/17 10:05:37.960, 1192, 877, 36.46, 50, 49, 3, 5178, Not Active, Not Active, Not Active
2026/07/17 10:05:38.012, 1192, 877, 36.94, 50, 49, 3, 5178, Not Active, Not Active, Not Active
2026/07/17 10:05:38.065, 1192, 877, 36.94, 50, 49, 47, 5178, Not Active, Not Active, Not Active
2026/07/17 10:05:38.117, 1192, 877, 36.94, 50, 49, 47, 5178, Not Active, Not Active, Not Active
2026/07/17 10:05:38.173, 1192, 877, 36.94, 50, 49, 47, 5178, Not Active, Not Active, Not Active
2026/07/17 10:05:38.225, 1192, 877, 36.94, 50, 49, 100, 5178, Not Active, Not Active, Not Active
2026/07/17 10:05:38.278, 1192, 877, 36.94, 50, 48, 100, 5178, Not Active, Not Active, Not Active
2026/07/17 10:05:38.331, 1192, 877, 36.94, 50, 49, 100, 5178, Not Active, Not Active, Not Active
2026/07/17 10:05:38.383, 1192, 877, 36.94, 50, 48, 99, 5178, Not Active, Not Active, Not Active
2026/07/17 10:05:38.436, 1192, 877, 36.94, 50, 48, 99, 5178, Not Active, Not Active, Not Active
2026/07/17 10:05:38.489, 1192, 877, 36.94, 50, 48, 99, 5178, Not Active, Not Active, Not Active
2026/07/17 10:05:38.541, 1192, 877, 36.94, 50, 48, 99, 5178, Not Active, Not Active, Not Active
2026/07/17 10:05:38.594, 1192, 877, 36.94, 50, 48, 99, 5178, Not Active, Not Active, Not Active
2026/07/17 10:05:38.646, 1192, 877, 36.94, 50, 48, 99, 5178, Not Active, Not Active, Not Active
2026/07/17 10:05:38.699, 1192, 877, 36.94, 50, 48, 99, 5178, Not Active, Not Active, Not Active
2026/07/17 10:05:38.751, 1192, 877, 36.94, 50, 49, 99, 5178, Not Active, Not Active, Not Active
2026/07/17 10:05:38.804, 1192, 877, 36.94, 50, 49, 99, 5178, Not Active, Not Active, Not Active
2026/07/17 10:05:38.858, 1192, 877, 36.94, 50, 48, 99, 5178, Not Active, Not Active, Not Active
2026/07/17 10:05:38.910, 1192, 877, 36.94, 50, 48, 99, 5178, Not Active, Not Active, Not Active
2026/07/17 10:05:38.962, 1192, 877, 36.94, 50, 48, 99, 5178, Not Active, Not Active, Not Active
2026/07/17 10:05:39.015, 1192, 877, 36.94, 50, 48, 99, 5178, Not Active, Not Active, Not Active
2026/07/17 10:05:39.067, 1192, 877, 36.94, 50, 48, 99, 5178, Not Active, Not Active, Not Active
2026/07/17 10:05:39.120, 1192, 877, 36.94, 50, 48, 99, 5178, Not Active, Not Active, Not Active
2026/07/17 10:05:39.173, 1192, 877, 36.94, 50, 48, 99, 5178, Not Active, Not Active, Not Active
2026/07/17 10:05:39.225, 1192, 877, 36.94, 50, 48, 99, 5178, Not Active, Not Active, Not Active
2026/07/17 10:05:39.277, 1192, 877, 36.94, 50, 48, 99, 5178, Not Active, Not Active, Not Active
2026/07/17 10:05:39.330, 1192, 877, 36.94, 50, 48, 99, 5178, Not Active, Not Active, Not Active
2026/07/17 10:05:39.384, 1192, 877, 36.94, 50, 48, 99, 5178, Not Active, Not Active, Not Active
2026/07/17 10:05:39.437, 1192, 877, 36.48, 50, 48, 99, 5178, Not Active, Not Active, Not Active
2026/07/17 10:05:39.490, 1192, 877, 36.46, 50, 48, 99, 5178, Not Active, Not Active, Not Active
2026/07/17 10:05:39.542, 1192, 877, 35.97, 50, 48, 99, 5178, Not Active, Not Active, Not Active
2026/07/17 10:05:39.594, 1192, 877, 46.15, 50, 48, 81, 6836, Not Active, Not Active, Not Active
2026/07/17 10:05:39.645, 1192, 877, 142.20, 51, 49, 81, 6912, Not Active, Not Active, Not Active
2026/07/17 10:05:39.697, 1192, 877, 161.77, 52, 52, 81, 6912, Not Active, Not Active, Not Active
2026/07/17 10:05:39.752, 1192, 877, 168.71, 53, 52, 75, 6912, Not Active, Not Active, Not Active
2026/07/17 10:05:39.803, 1192, 877, 164.65, 53, 53, 75, 6912, Not Active, Not Active, Not Active
2026/07/17 10:05:39.855, 1192, 877, 165.24, 53, 53, 75, 6912, Not Active, Not Active, Not Active
2026/07/17 10:05:39.907, 1192, 877, 170.52, 54, 53, 100, 6912, Not Active, Not Active, Not Active
2026/07/17 10:05:39.959, 1192, 877, 168.71, 54, 53, 100, 6912, Not Active, Not Active, Not Active
2026/07/17 10:05:40.010, 1192, 877, 169.08, 54, 54, 100, 6912, Not Active, Not Active, Not Active
2026/07/17 10:05:40.062, 1192, 877, 165.57, 54, 53, 100, 6912, Not Active, Not Active, Not Active
2026/07/17 10:05:40.114, 1192, 877, 169.08, 54, 54, 100, 6912, Not Active, Not Active, Not Active
2026/07/17 10:05:40.166, 1192, 877, 170.52, 55, 54, 100, 6912, Not Active, Not Active, Not Active
2026/07/17 10:05:40.248, 1192, 877, 164.65, 55, 54, 100, 6912, Not Active, Not Active, Not Active
2026/07/17 10:05:40.300, 1192, 877, 163.32, 55, 54, 100, 6912, Not Active, Not Active, Not Active
2026/07/17 10:05:40.352, 1192, 877, 158.52, 55, 54, 100, 6912, Not Active, Not Active, Not Active
2026/07/17 10:05:40.409, 1192, 877, 162.47, 55, 54, 98, 6912, Not Active, Not Active, Not Active
2026/07/17 10:05:40.461, 1192, 877, 162.68, 55, 54, 98, 6912, Not Active, Not Active, Not Active
2026/07/17 10:05:40.513, 1192, 877, 150.56, 55, 53, 98, 6912, Not Active, Not Active, Not Active
2026/07/17 10:05:40.565, 1192, 877, 165.50, 55, 54, 98, 6912, Not Active, Not Active, Not Active
2026/07/17 10:05:40.617, 1192, 877, 165.61, 55, 54, 95, 6912, Not Active, Not Active, Not Active
2026/07/17 10:05:40.671, 1192, 877, 165.13, 55, 55, 95, 6912, Not Active, Not Active, Not Active
2026/07/17 10:05:40.723, 1192, 877, 138.64, 55, 55, 95, 6912, Not Active, Not Active, Not Active
2026/07/17 10:05:40.775, 1192, 877, 161.40, 55, 55, 100, 6912, Not Active, Not Active, Not Active
2026/07/17 10:05:40.827, 1192, 877, 166.57, 55, 55, 100, 6912, Not Active, Not Active, Not Active
2026/07/17 10:05:40.879, 1192, 877, 167.05, 55, 55, 100, 6912, Not Active, Not Active, Not Active
2026/07/17 10:05:40.930, 1192, 877, 171.00, 55, 55, 100, 6912, Not Active, Not Active, Not Active
2026/07/17 10:05:40.982, 1192, 877, 165.24, 55, 55, 100, 6912, Not Active, Not Active, Not Active
2026/07/17 10:05:41.034, 1192, 877, 163.32, 55, 55, 100, 6912, Not Active, Not Active, Not Active
2026/07/17 10:05:41.086, 1192, 877, 155.54, 55, 55, 100, 6912, Not Active, Not Active, Not Active
2026/07/17 10:05:41.138, 1192, 877, 163.10, 56, 55, 100, 6912, Not Active, Not Active, Not Active
2026/07/17 10:05:41.189, 1192, 877, 153.93, 55, 55, 100, 6912, Not Active, Not Active, Not Active
2026/07/17 10:05:41.242, 1192, 877, 166.31, 56, 55, 100, 6912, Not Active, Not Active, Not Active
2026/07/17 10:05:41.293, 1192, 877, 160.44, 56, 55, 100, 6912, Not Active, Not Active, Not Active
2026/07/17 10:05:41.346, 1192, 877, 164.76, 56, 55, 100, 6912, Not Active, Not Active, Not Active
2026/07/17 10:05:41.398, 1192, 877, 159.11, 56, 55, 100, 6912, Not Active, Not Active, Not Active
2026/07/17 10:05:41.451, 1192, 877, 161.77, 56, 55, 100, 6912, Not Active, Not Active, Not Active
2026/07/17 10:05:41.503, 1192, 877, 162.47, 56, 55, 100, 6912, Not Active, Not Active, Not Active
2026/07/17 10:05:41.555, 1192, 877, 163.17, 56, 55, 100, 6912, Not Active, Not Active, Not Active
2026/07/17 10:05:41.607, 1192, 877, 158.63, 56, 56, 100, 6912, Not Active, Not Active, Not Active
2026/07/17 10:05:41.659, 1192, 877, 156.70, 56, 56, 100, 6912, Not Active, Not Active, Not Active
2026/07/17 10:05:41.711, 1192, 877, 162.25, 56, 55, 100, 6912, Not Active, Not Active, Not Active
2026/07/17 10:05:41.762, 1192, 877, 160.33, 56, 55, 100, 6912, Not Active, Not Active, Not Active
2026/07/17 10:05:41.817, 1192, 877, 157.93, 56, 56, 100, 6912, Not Active, Not Active, Not Active
2026/07/17 10:05:41.869, 1192, 877, 157.77, 56, 55, 100, 6912, Not Active, Not Active, Not Active
2026/07/17 10:05:41.921, 1192, 877, 168.34, 56, 55, 100, 6912, Not Active, Not Active, Not Active
2026/07/17 10:05:41.973, 1192, 877, 163.69, 56, 56, 100, 6912, Not Active, Not Active, Not Active
2026/07/17 10:05:42.024, 1192, 877, 161.72, 56, 56, 100, 6912, Not Active, Not Active, Not Active
2026/07/17 10:05:42.076, 1192, 877, 160.39, 56, 56, 100, 6912, Not Active, Not Active, Not Active
2026/07/17 10:05:42.128, 1192, 877, 154.20, 56, 55, 100, 6912, Not Active, Not Active, Not Active
2026/07/17 10:05:42.180, 1192, 877, 163.43, 56, 56, 100, 6912, Not Active, Not Active, Not Active
2026/07/17 10:05:42.231, 1192, 877, 158.63, 56, 56, 100, 6912, Not Active, Not Active, Not Active
2026/07/17 10:05:42.283, 1192, 877, 161.62, 56, 56, 100, 6912, Not Active, Not Active, Not Active
2026/07/17 10:05:42.335, 1192, 877, 162.84, 56, 56, 100, 6912, Not Active, Not Active, Not Active
2026/07/17 10:05:42.387, 1192, 877, 155.85, 56, 56, 100, 6912, Not Active, Not Active, Not Active
2026/07/17 10:05:42.438, 1192, 877, 153.93, 56, 56, 100, 6912, Not Active, Not Active, Not Active
2026/07/17 10:05:42.490, 1192, 877, 166.20, 57, 56, 100, 6912, Not Active, Not Active, Not Active
2026/07/17 10:05:42.542, 1192, 877, 162.25, 57, 56, 100, 6912, Not Active, Not Active, Not Active
2026/07/17 10:05:42.594, 1192, 877, 130.63, 57, 56, 100, 6912, Not Active, Not Active, Not Active
2026/07/17 10:05:42.646, 1192, 877, 159.00, 57, 56, 100, 6912, Not Active, Not Active, Not Active
2026/07/17 10:05:42.701, 1192, 877, 162.95, 57, 56, 100, 6912, Not Active, Not Active, Not Active
2026/07/17 10:05:42.753, 1192, 877, 160.17, 57, 56, 100, 6912, Not Active, Not Active, Not Active
2026/07/17 10:05:42.805, 1192, 877, 156.22, 57, 56, 100, 6912, Not Active, Not Active, Not Active
2026/07/17 10:05:42.856, 1192, 877, 151.80, 57, 55, 100, 6912, Not Active, Not Active, Not Active
2026/07/17 10:05:42.908, 1192, 877, 166.31, 57, 55, 100, 6912, Not Active, Not Active, Not Active
2026/07/17 10:05:42.960, 1192, 877, 157.77, 57, 56, 100, 6912, Not Active, Not Active, Not Active
2026/07/17 10:05:43.012, 1192, 877, 167.16, 57, 56, 100, 6912, Not Active, Not Active, Not Active
2026/07/17 10:05:43.067, 1192, 877, 166.42, 57, 56, 100, 6912, Not Active, Not Active, Not Active
2026/07/17 10:05:43.119, 1192, 877, 157.29, 57, 56, 100, 6912, Not Active, Not Active, Not Active
2026/07/17 10:05:43.172, 1192, 877, 151.52, 57, 56, 100, 6912, Not Active, Not Active, Not Active
2026/07/17 10:05:43.224, 1192, 877, 163.32, 57, 56, 100, 6912, Not Active, Not Active, Not Active
2026/07/17 10:05:43.276, 1192, 877, 161.88, 57, 57, 100, 6912, Not Active, Not Active, Not Active
2026/07/17 10:05:43.327, 1192, 877, 159.11, 57, 56, 100, 6912, Not Active, Not Active, Not Active
2026/07/17 10:05:43.379, 1192, 877, 166.31, 57, 56, 100, 6912, Not Active, Not Active, Not Active
2026/07/17 10:05:43.431, 1192, 877, 157.66, 57, 56, 100, 6912, Not Active, Not Active, Not Active
2026/07/17 10:05:43.483, 1192, 877, 149.12, 57, 57, 100, 6912, Not Active, Not Active, Not Active
2026/07/17 10:05:43.535, 1192, 877, 167.98, 57, 56, 100, 6912, Not Active, Not Active, Not Active
2026/07/17 10:05:43.587, 1192, 877, 123.49, 57, 56, 100, 6912, Not Active, Not Active, Not Active
2026/07/17 10:05:43.639, 1192, 877, 161.77, 57, 56, 100, 6912, Not Active, Not Active, Not Active
2026/07/17 10:05:43.691, 1192, 877, 162.95, 57, 57, 100, 6912, Not Active, Not Active, Not Active
2026/07/17 10:05:43.743, 1192, 877, 157.88, 57, 57, 100, 6912, Not Active, Not Active, Not Active
2026/07/17 10:05:43.794, 1192, 877, 164.61, 57, 57, 100, 6912, Not Active, Not Active, Not Active
2026/07/17 10:05:43.846, 1192, 877, 140.95, 57, 57, 100, 6912, Not Active, Not Active, Not Active
2026/07/17 10:05:43.898, 1192, 877, 149.88, 57, 57, 100, 6912, Not Active, Not Active, Not Active
2026/07/17 10:05:43.950, 1192, 877, 166.20, 57, 57, 100, 6912, Not Active, Not Active, Not Active
2026/07/17 10:05:44.002, 1192, 877, 163.43, 57, 57, 100, 6912, Not Active, Not Active, Not Active
2026/07/17 10:05:44.054, 1192, 877, 148.16, 57, 57, 100, 6912, Not Active, Not Active, Not Active
2026/07/17 10:05:44.106, 1192, 877, 150.46, 57, 56, 100, 6912, Not Active, Not Active, Not Active
2026/07/17 10:05:44.157, 1192, 877, 158.25, 57, 57, 100, 6912, Not Active, Not Active, Not Active
2026/07/17 10:05:44.209, 1192, 877, 159.69, 58, 57, 100, 6912, Not Active, Not Active, Not Active
2026/07/17 10:05:44.263, 1192, 877, 166.90, 58, 57, 100, 6912, Not Active, Not Active, Not Active
2026/07/17 10:05:44.315, 1192, 877, 150.94, 58, 57, 100, 6912, Not Active, Not Active, Not Active
2026/07/17 10:05:44.367, 1192, 877, 152.96, 57, 57, 100, 6912, Not Active, Not Active, Not Active
2026/07/17 10:05:44.419, 1192, 877, 155.74, 57, 57, 100, 6912, Not Active, Not Active, Not Active
2026/07/17 10:05:44.470, 1192, 877, 155.37, 57, 57, 100, 6912, Not Active, Not Active, Not Active
2026/07/17 10:05:44.524, 1192, 877, 162.73, 58, 57, 100, 6912, Not Active, Not Active, Not Active
2026/07/17 10:05:44.576, 1192, 877, 155.37, 58, 57, 100, 6912, Not Active, Not Active, Not Active
2026/07/17 10:05:44.628, 1192, 877, 150.56, 58, 56, 100, 6912, Not Active, Not Active, Not Active
2026/07/17 10:05:44.679, 1192, 877, 158.25, 58, 57, 100, 6912, Not Active, Not Active, Not Active
2026/07/17 10:05:44.731, 1192, 877, 156.43, 58, 57, 100, 6912, Not Active, Not Active, Not Active
2026/07/17 10:05:44.785, 1192, 877, 167.05, 58, 57, 100, 6912, Not Active, Not Active, Not Active
2026/07/17 10:05:44.837, 1192, 877, 152.96, 58, 57, 100, 6912, Not Active, Not Active, Not Active
2026/07/17 10:05:44.889, 1192, 877, 152.48, 58, 57, 100, 6912, Not Active, Not Active, Not Active
2026/07/17 10:05:44.941, 1192, 877, 151.80, 58, 57, 100, 6912, Not Active, Not Active, Not Active
2026/07/17 10:05:44.993, 1192, 877, 160.17, 58, 57, 100, 6912, Not Active, Not Active, Not Active
2026/07/17 10:05:45.046, 1192, 877, 159.85, 58, 57, 100, 6912, Not Active, Not Active, Not Active
2026/07/17 10:05:45.098, 1192, 877, 149.12, 58, 57, 100, 6912, Not Active, Not Active, Not Active
2026/07/17 10:05:45.150, 1192, 877, 146.24, 58, 57, 100, 6912, Not Active, Not Active, Not Active
2026/07/17 10:05:45.202, 1192, 877, 148.16, 58, 57, 100, 6912, Not Active, Not Active, Not Active
2026/07/17 10:05:45.254, 1192, 877, 166.90, 58, 57, 100, 6912, Not Active, Not Active, Not Active
2026/07/17 10:05:45.307, 1192, 877, 161.29, 58, 57, 100, 6912, Not Active, Not Active, Not Active
2026/07/17 10:05:45.359, 1192, 877, 148.74, 58, 57, 100, 6912, Not Active, Not Active, Not Active
2026/07/17 10:05:45.411, 1192, 877, 129.50, 58, 58, 100, 6912, Not Active, Not Active, Not Active
2026/07/17 10:05:45.462, 1192, 877, 160.28, 58, 57, 100, 6912, Not Active, Not Active, Not Active
2026/07/17 10:05:45.514, 1192, 877, 164.13, 58, 57, 100, 6912, Not Active, Not Active, Not Active
2026/07/17 10:05:45.568, 1192, 877, 149.70, 58, 58, 100, 6912, Not Active, Not Active, Not Active
2026/07/17 10:05:45.619, 1192, 877, 165.83, 58, 57, 100, 6912, Not Active, Not Active, Not Active
2026/07/17 10:05:45.671, 1192, 877, 120.12, 58, 57, 100, 6912, Not Active, Not Active, Not Active
2026/07/17 10:05:45.724, 1192, 877, 160.92, 58, 57, 100, 6912, Not Active, Not Active, Not Active
2026/07/17 10:05:45.776, 1192, 877, 152.48, 58, 58, 100, 6912, Not Active, Not Active, Not Active
2026/07/17 10:05:45.829, 1192, 877, 159.48, 58, 57, 100, 6912, Not Active, Not Active, Not Active
2026/07/17 10:05:45.881, 1192, 877, 159.59, 58, 57, 100, 6912, Not Active, Not Active, Not Active
2026/07/17 10:05:45.932, 1192, 877, 142.00, 58, 58, 100, 6912, Not Active, Not Active, Not Active
2026/07/17 10:05:45.984, 1192, 877, 155.85, 58, 58, 100, 6912, Not Active, Not Active, Not Active
2026/07/17 10:05:46.036, 1192, 877, 151.14, 58, 58, 100, 6912, Not Active, Not Active, Not Active
2026/07/17 10:05:46.090, 1192, 877, 158.41, 58, 58, 100, 6912, Not Active, Not Active, Not Active
2026/07/17 10:05:46.142, 1192, 877, 145.27, 59, 58, 100, 6912, Not Active, Not Active, Not Active
2026/07/17 10:05:46.194, 1192, 877, 164.39, 59, 57, 100, 6912, Not Active, Not Active, Not Active
2026/07/17 10:05:46.246, 1192, 877, 133.92, 58, 57, 100, 6912, Not Active, Not Active, Not Active
2026/07/17 10:05:46.299, 1192, 877, 162.95, 58, 57, 100, 6912, Not Active, Not Active, Not Active
2026/07/17 10:05:46.351, 1192, 877, 151.90, 59, 58, 100, 6912, Not Active, Not Active, Not Active
2026/07/17 10:05:46.403, 1192, 877, 164.17, 59, 58, 100, 6912, Not Active, Not Active, Not Active
2026/07/17 10:05:46.455, 1192, 877, 149.12, 59, 58, 100, 6912, Not Active, Not Active, Not Active
2026/07/17 10:05:46.507, 1192, 877, 144.70, 59, 58, 100, 6912, Not Active, Not Active, Not Active
2026/07/17 10:05:46.559, 1192, 877, 139.60, 59, 58, 100, 6912, Not Active, Not Active, Not Active
2026/07/17 10:05:46.611, 1192, 877, 163.43, 59, 58, 100, 6912, Not Active, Not Active, Not Active
2026/07/17 10:05:46.662, 1192, 877, 146.62, 59, 58, 100, 6912, Not Active, Not Active, Not Active
2026/07/17 10:05:46.714, 1192, 877, 157.93, 59, 58, 100, 6912, Not Active, Not Active, Not Active
2026/07/17 10:05:46.766, 1192, 877, 126.86, 59, 58, 100, 6912, Not Active, Not Active, Not Active
2026/07/17 10:05:46.819, 1192, 877, 164.76, 59, 57, 100, 6912, Not Active, Not Active, Not Active
2026/07/17 10:05:46.872, 1192, 877, 144.79, 59, 58, 100, 6912, Not Active, Not Active, Not Active
2026/07/17 10:05:46.924, 1192, 877, 167.38, 59, 58, 100, 6912, Not Active, Not Active, Not Active
2026/07/17 10:05:46.976, 1192, 877, 153.93, 59, 58, 100, 6912, Not Active, Not Active, Not Active
2026/07/17 10:05:47.027, 1192, 877, 161.77, 59, 58, 100, 6912, Not Active, Not Active, Not Active
2026/07/17 10:05:47.079, 1192, 877, 130.55, 59, 58, 100, 6912, Not Active, Not Active, Not Active
2026/07/17 10:05:47.132, 1192, 877, 164.87, 59, 58, 100, 6912, Not Active, Not Active, Not Active
2026/07/17 10:05:47.184, 1192, 877, 134.13, 59, 58, 100, 6912, Not Active, Not Active, Not Active
2026/07/17 10:05:47.236, 1192, 877, 161.29, 59, 58, 100, 6912, Not Active, Not Active, Not Active
2026/07/17 10:05:47.288, 1192, 877, 141.43, 59, 58, 100, 6912, Not Active, Not Active, Not Active
2026/07/17 10:05:47.340, 1192, 877, 138.25, 59, 57, 100, 6912, Not Active, Not Active, Not Active
