timestamp,graphics_clock_mhz,memory_clock_mhz,power_w,gpu_temperature_c,memory_temperature_c,gpu_util_pct,memory_used_mib,sw_power_cap,sw_thermal_slowdown,hw_thermal_slowdown
2026/07/17 10:05:22.594, 1192, 877, 36.46, 50, 48, 0, 6, Not Active, Not Active, Not Active
2026/07/17 10:05:22.646, 1192, 877, 36.46, 50, 49, 0, 8, Not Active, Not Active, Not Active
2026/07/17 10:05:22.700, 1192, 877, 36.46, 50, 48, 0, 20, Not Active, Not Active, Not Active
2026/07/17 10:05:22.759, 1192, 877, 36.46, 50, 48, 0, 316, Not Active, Not Active, Not Active
2026/07/17 10:05:22.811, 1192, 877, 36.46, 50, 49, 3, 316, Not Active, Not Active, Not Active
2026/07/17 10:05:22.864, 1192, 877, 36.46, 50, 49, 3, 316, Not Active, Not Active, Not Active
2026/07/17 10:05:22.916, 1192, 877, 36.48, 50, 49, 3, 316, Not Active, Not Active, Not Active
2026/07/17 10:05:22.968, 1192, 877, 36.94, 50, 48, 8, 5178, Not Active, Not Active, Not Active
2026/07/17 10:05:23.021, 1192, 877, 36.94, 50, 48, 8, 5178, Not Active, Not Active, Not Active
2026/07/17 10:05:23.074, 1192, 877, 36.94, 50, 49, 8, 5178, Not Active, Not Active, Not Active
2026/07/17 10:05:23.127, 1192, 877, 36.94, 50, 49, 8, 5178, Not Active, Not Active, Not Active
2026/07/17 10:05:23.180, 1192, 877, 36.94, 50, 48, 100, 5178, Not Active, Not Active, Not Active
2026/07/17 10:05:23.232, 1192, 877, 36.94, 50, 48, 100, 5178, Not Active, Not Active, Not Active
2026/07/17 10:05:23.285, 1192, 877, 36.94, 50, 48, 100, 5178, Not Active, Not Active, Not Active
2026/07/17 10:05:23.337, 1192, 877, 36.97, 50, 49, 99, 5178, Not Active, Not Active, Not Active
2026/07/17 10:05:23.390, 1192, 877, 36.94, 50, 48, 99, 5178, Not Active, Not Active, Not Active
2026/07/17 10:05:23.443, 1192, 877, 36.94, 50, 48, 99, 5178, Not Active, Not Active, Not Active
2026/07/17 10:05:23.495, 1192, 877, 36.94, 50, 49, 99, 5178, Not Active, Not Active, Not Active
2026/07/17 10:05:23.548, 1192, 877, 36.94, 50, 48, 99, 5178, Not Active, Not Active, Not Active
2026/07/17 10:05:23.600, 1192, 877, 36.94, 50, 48, 99, 5178, Not Active, Not Active, Not Active
2026/07/17 10:05:23.653, 1192, 877, 36.94, 50, 48, 99, 5178, Not Active, Not Active, Not Active
2026/07/17 10:05:23.705, 1192, 877, 36.94, 50, 48, 99, 5178, Not Active, Not Active, Not Active
2026/07/17 10:05:23.758, 1192, 877, 36.94, 50, 48, 99, 5178, Not Active, Not Active, Not Active
2026/07/17 10:05:23.810, 1192, 877, 36.94, 50, 48, 99, 5178, Not Active, Not Active, Not Active
2026/07/17 10:05:23.864, 1192, 877, 36.94, 50, 48, 99, 5178, Not Active, Not Active, Not Active
2026/07/17 10:05:23.916, 1192, 877, 36.94, 50, 48, 99, 5178, Not Active, Not Active, Not Active
2026/07/17 10:05:23.969, 1192, 877, 36.94, 50, 48, 99, 5178, Not Active, Not Active, Not Active
2026/07/17 10:05:24.021, 1192, 877, 36.94, 50, 48, 99, 5178, Not Active, Not Active, Not Active
2026/07/17 10:05:24.074, 1192, 877, 36.94, 50, 48, 99, 5178, Not Active, Not Active, Not Active
2026/07/17 10:05:24.127, 1192, 877, 36.94, 50, 48, 99, 5178, Not Active, Not Active, Not Active
2026/07/17 10:05:24.179, 1192, 877, 36.94, 50, 48, 99, 5178, Not Active, Not Active, Not Active
2026/07/17 10:05:24.232, 1192, 877, 36.94, 50, 48, 99, 5178, Not Active, Not Active, Not Active
2026/07/17 10:05:24.285, 1192, 877, 36.94, 50, 48, 99, 5178, Not Active, Not Active, Not Active
2026/07/17 10:05:24.338, 1192, 877, 36.94, 50, 48, 99, 5178, Not Active, Not Active, Not Active
2026/07/17 10:05:24.390, 1192, 877, 36.94, 50, 48, 99, 5178, Not Active, Not Active, Not Active
