timestamp,graphics_clock_mhz,memory_clock_mhz,power_w,gpu_temperature_c,memory_temperature_c,gpu_util_pct,memory_used_mib,sw_power_cap,sw_thermal_slowdown,hw_thermal_slowdown
2026/07/17 10:41:40.541, 1192, 877, 37.91, 50, 49, 0, 6, Not Active, Not Active, Not Active
2026/07/17 10:41:40.593, 1192, 877, 38.37, 50, 49, 0, 8, Not Active, Not Active, Not Active
2026/07/17 10:41:40.645, 1192, 877, 37.91, 50, 49, 0, 8, Not Active, Not Active, Not Active
2026/07/17 10:41:40.696, 1192, 877, 37.91, 50, 49, 0, 8, Not Active, Not Active, Not Active
2026/07/17 10:41:40.748, 1192, 877, 38.40, 50, 49, 0, 316, Not Active, Not Active, Not Active
2026/07/17 10:41:40.800, 1192, 877, 38.40, 50, 49, 0, 316, Not Active, Not Active, Not Active
2026/07/17 10:41:40.852, 1192, 877, 38.40, 50, 49, 0, 316, Not Active, Not Active, Not Active
2026/07/17 10:41:40.905, 1192, 877, 38.37, 50, 49, 3, 316, Not Active, Not Active, Not Active
2026/07/17 10:41:40.957, 1192, 877, 38.40, 50, 49, 3, 316, Not Active, Not Active, Not Active
2026/07/17 10:41:41.009, 1192, 877, 38.88, 50, 49, 3, 6708, Not Active, Not Active, Not Active
2026/07/17 10:41:41.061, 1192, 877, 38.85, 50, 49, 23, 6708, Not Active, Not Active, Not Active
2026/07/17 10:41:41.113, 1192, 877, 38.88, 50, 49, 23, 6708, Not Active, Not Active, Not Active
2026/07/17 10:41:41.166, 1192, 877, 38.88, 50, 49, 23, 6708, Not Active, Not Active, Not Active
2026/07/17 10:41:41.219, 1192, 877, 38.88, 50, 49, 100, 6708, Not Active, Not Active, Not Active
2026/07/17 10:41:41.271, 1192, 877, 38.88, 50, 49, 100, 6708, Not Active, Not Active, Not Active
2026/07/17 10:41:41.324, 1192, 877, 38.85, 50, 49, 100, 6708, Not Active, Not Active, Not Active
2026/07/17 10:41:41.376, 1192, 877, 38.88, 50, 49, 99, 6708, Not Active, Not Active, Not Active
2026/07/17 10:41:41.429, 1192, 877, 38.88, 50, 49, 99, 6708, Not Active, Not Active, Not Active
2026/07/17 10:41:41.481, 1192, 877, 38.88, 50, 49, 99, 6708, Not Active, Not Active, Not Active
2026/07/17 10:41:41.534, 1192, 877, 38.85, 50, 49, 99, 6708, Not Active, Not Active, Not Active
2026/07/17 10:41:41.587, 1192, 877, 38.88, 50, 49, 99, 6708, Not Active, Not Active, Not Active
2026/07/17 10:41:41.640, 1192, 877, 38.88, 50, 49, 99, 6708, Not Active, Not Active, Not Active
2026/07/17 10:41:41.692, 1192, 877, 38.85, 50, 49, 99, 6708, Not Active, Not Active, Not Active
2026/07/17 10:41:41.745, 1192, 877, 38.85, 50, 49, 99, 6708, Not Active, Not Active, Not Active
2026/07/17 10:41:41.797, 1192, 877, 38.88, 50, 49, 99, 6708, Not Active, Not Active, Not Active
2026/07/17 10:41:41.850, 1192, 877, 38.88, 50, 49, 99, 6708, Not Active, Not Active, Not Active
2026/07/17 10:41:41.904, 1192, 877, 38.88, 50, 49, 99, 6708, Not Active, Not Active, Not Active
2026/07/17 10:41:41.956, 1192, 877, 38.85, 50, 49, 99, 6708, Not Active, Not Active, Not Active
2026/07/17 10:41:42.010, 1192, 877, 38.88, 50, 49, 99, 6708, Not Active, Not Active, Not Active
2026/07/17 10:41:42.062, 1192, 877, 38.85, 50, 49, 99, 6708, Not Active, Not Active, Not Active
2026/07/17 10:41:42.115, 1192, 877, 38.88, 50, 49, 99, 6708, Not Active, Not Active, Not Active
2026/07/17 10:41:42.167, 1192, 877, 38.88, 50, 49, 99, 6708, Not Active, Not Active, Not Active
2026/07/17 10:41:42.219, 1192, 877, 38.85, 50, 49, 99, 6708, Not Active, Not Active, Not Active
2026/07/17 10:41:42.272, 1192, 877, 38.88, 50, 49, 99, 6708, Not Active, Not Active, Not Active
2026/07/17 10:41:42.324, 1192, 877, 38.85, 50, 49, 99, 6708, Not Active, Not Active, Not Active
2026/07/17 10:41:42.377, 1192, 877, 38.85, 50, 49, 99, 6708, Not Active, Not Active, Not Active
2026/07/17 10:41:42.430, 1192, 877, 38.88, 50, 49, 99, 6708, Not Active, Not Active, Not Active
2026/07/17 10:41:42.482, 1192, 877, 38.85, 50, 49, 99, 6708, Not Active, Not Active, Not Active
2026/07/17 10:41:42.535, 1192, 877, 38.88, 50, 49, 99, 6708, Not Active, Not Active, Not Active
2026/07/17 10:41:42.587, 1192, 877, 38.88, 50, 49, 99, 6708, Not Active, Not Active, Not Active
2026/07/17 10:41:42.640, 1192, 877, 38.88, 50, 49, 99, 6708, Not Active, Not Active, Not Active
2026/07/17 10:41:42.693, 1192, 877, 38.85, 50, 49, 99, 6708, Not Active, Not Active, Not Active
2026/07/17 10:41:42.746, 1192, 877, 38.88, 50, 49, 99, 6708, Not Active, Not Active, Not Active
2026/07/17 10:41:42.798, 1192, 877, 38.88, 50, 49, 99, 6708, Not Active, Not Active, Not Active
2026/07/17 10:41:42.851, 1192, 877, 38.85, 50, 49, 99, 6708, Not Active, Not Active, Not Active
2026/07/17 10:41:42.903, 1192, 877, 38.88, 50, 49, 99, 6708, Not Active, Not Active, Not Active
2026/07/17 10:41:42.956, 1192, 877, 38.88, 50, 49, 99, 6708, Not Active, Not Active, Not Active
2026/07/17 10:41:43.008, 1192, 877, 38.88, 50, 49, 99, 6708, Not Active, Not Active, Not Active
2026/07/17 10:41:43.061, 1192, 877, 38.40, 50, 49, 99, 6708, Not Active, Not Active, Not Active
2026/07/17 10:41:43.113, 1192, 877, 78.09, 50, 49, 99, 6966, Not Active, Not Active, Not Active
2026/07/17 10:41:43.165, 1192, 877, 138.16, 51, 53, 99, 6976, Not Active, Not Active, Not Active
2026/07/17 10:41:43.217, 1192, 877, 135.57, 51, 55, 76, 6976, Not Active, Not Active, Not Active
2026/07/17 10:41:43.269, 1192, 877, 135.45, 52, 55, 76, 6976, Not Active, Not Active, Not Active
2026/07/17 10:41:43.321, 1192, 877, 135.45, 52, 56, 76, 6976, Not Active, Not Active, Not Active
2026/07/17 10:41:43.374, 1192, 877, 133.65, 52, 57, 76, 6976, Not Active, Not Active, Not Active
2026/07/17 10:41:43.426, 1192, 877, 133.83, 52, 57, 99, 6976, Not Active, Not Active, Not Active
2026/07/17 10:41:43.478, 1192, 877, 135.45, 53, 57, 99, 6976, Not Active, Not Active, Not Active
2026/07/17 10:41:43.529, 1192, 877, 137.97, 53, 57, 99, 6976, Not Active, Not Active, Not Active
2026/07/17 10:41:43.581, 1192, 877, 131.82, 53, 57, 99, 6976, Not Active, Not Active, Not Active
2026/07/17 10:41:43.633, 1192, 877, 134.52, 53, 57, 99, 6976, Not Active, Not Active, Not Active
2026/07/17 10:41:43.685, 1192, 877, 133.83, 53, 58, 99, 6976, Not Active, Not Active, Not Active
2026/07/17 10:41:43.737, 1192, 877, 138.16, 53, 58, 99, 6976, Not Active, Not Active, Not Active
2026/07/17 10:41:43.788, 1192, 877, 131.82, 53, 58, 99, 6976, Not Active, Not Active, Not Active
2026/07/17 10:41:43.840, 1192, 877, 134.88, 53, 58, 99, 6976, Not Active, Not Active, Not Active
2026/07/17 10:41:43.892, 1192, 877, 134.79, 53, 58, 99, 6976, Not Active, Not Active, Not Active
2026/07/17 10:41:43.943, 1192, 877, 137.29, 53, 58, 99, 6976, Not Active, Not Active, Not Active
2026/07/17 10:41:44.024, 1192, 877, 136.32, 53, 58, 99, 6976, Not Active, Not Active, Not Active
2026/07/17 10:41:44.077, 1192, 877, 139.12, 54, 58, 99, 6976, Not Active, Not Active, Not Active
2026/07/17 10:41:44.128, 1192, 877, 135.57, 54, 58, 99, 6976, Not Active, Not Active, Not Active
