timestamp,graphics_clock_mhz,memory_clock_mhz,power_w,gpu_temperature_c,memory_temperature_c,gpu_util_pct,memory_used_mib,sw_power_cap,sw_thermal_slowdown,hw_thermal_slowdown
2026/07/17 10:35:23.709, 1192, 877, 37.89, 50, 49, 0, 6, Not Active, Not Active, Not Active
2026/07/17 10:35:23.762, 1192, 877, 37.91, 50, 49, 0, 8, Not Active, Not Active, Not Active
2026/07/17 10:35:23.813, 1192, 877, 37.91, 50, 49, 0, 8, Not Active, Not Active, Not Active
2026/07/17 10:35:23.865, 1192, 877, 38.40, 50, 49, 0, 316, Not Active, Not Active, Not Active
2026/07/17 10:35:23.917, 1192, 877, 37.91, 50, 49, 0, 316, Not Active, Not Active, Not Active
2026/07/17 10:35:23.969, 1192, 877, 37.89, 50, 49, 3, 316, Not Active, Not Active, Not Active
2026/07/17 10:35:24.021, 1192, 877, 37.91, 50, 49, 3, 316, Not Active, Not Active, Not Active
2026/07/17 10:35:24.074, 1192, 877, 37.91, 50, 49, 3, 5178, Not Active, Not Active, Not Active
2026/07/17 10:35:24.126, 1192, 877, 38.88, 50, 49, 9, 5178, Not Active, Not Active, Not Active
2026/07/17 10:35:24.178, 1192, 877, 38.85, 50, 49, 9, 5178, Not Active, Not Active, Not Active
2026/07/17 10:35:24.231, 1192, 877, 38.88, 50, 49, 9, 5178, Not Active, Not Active, Not Active
2026/07/17 10:35:24.284, 1192, 877, 38.88, 50, 49, 100, 5178, Not Active, Not Active, Not Active
2026/07/17 10:35:24.336, 1192, 877, 38.85, 50, 49, 100, 5178, Not Active, Not Active, Not Active
2026/07/17 10:35:24.389, 1192, 877, 38.88, 50, 49, 100, 5178, Not Active, Not Active, Not Active
2026/07/17 10:35:24.441, 1192, 877, 38.88, 50, 49, 99, 5178, Not Active, Not Active, Not Active
2026/07/17 10:35:24.494, 1192, 877, 38.88, 50, 49, 99, 5178, Not Active, Not Active, Not Active
2026/07/17 10:35:24.546, 1192, 877, 38.85, 50, 49, 99, 5178, Not Active, Not Active, Not Active
2026/07/17 10:35:24.599, 1192, 877, 38.88, 50, 49, 99, 5178, Not Active, Not Active, Not Active
2026/07/17 10:35:24.651, 1192, 877, 38.88, 50, 49, 99, 5178, Not Active, Not Active, Not Active
2026/07/17 10:35:24.704, 1192, 877, 38.88, 50, 49, 99, 5178, Not Active, Not Active, Not Active
2026/07/17 10:35:24.756, 1192, 877, 38.88, 50, 49, 99, 5178, Not Active, Not Active, Not Active
2026/07/17 10:35:24.809, 1192, 877, 38.85, 50, 49, 99, 5178, Not Active, Not Active, Not Active
2026/07/17 10:35:24.861, 1192, 877, 38.88, 50, 49, 99, 5178, Not Active, Not Active, Not Active
2026/07/17 10:35:24.914, 1192, 877, 38.88, 50, 49, 99, 5178, Not Active, Not Active, Not Active
2026/07/17 10:35:24.967, 1192, 877, 38.88, 50, 49, 99, 5178, Not Active, Not Active, Not Active
2026/07/17 10:35:25.019, 1192, 877, 38.88, 50, 49, 99, 5178, Not Active, Not Active, Not Active
2026/07/17 10:35:25.072, 1192, 877, 38.88, 50, 49, 99, 5178, Not Active, Not Active, Not Active
2026/07/17 10:35:25.124, 1192, 877, 38.88, 50, 49, 99, 5178, Not Active, Not Active, Not Active
2026/07/17 10:35:25.178, 1192, 877, 38.88, 50, 49, 99, 5178, Not Active, Not Active, Not Active
2026/07/17 10:35:25.230, 1192, 877, 38.88, 50, 49, 99, 5178, Not Active, Not Active, Not Active
2026/07/17 10:35:25.283, 1192, 877, 38.88, 50, 49, 99, 5178, Not Active, Not Active, Not Active
