timestamp,graphics_clock_mhz,memory_clock_mhz,power_w,gpu_temperature_c,memory_temperature_c,gpu_util_pct,memory_used_mib,sw_power_cap,sw_thermal_slowdown,hw_thermal_slowdown
2026/07/17 11:08:37.093, 1192, 877, 35.97, 50, 49, 0, 6, Not Active, Not Active, Not Active
2026/07/17 11:08:37.145, 1192, 877, 35.97, 50, 49, 0, 8, Not Active, Not Active, Not Active
2026/07/17 11:08:37.197, 1192, 877, 35.97, 50, 49, 0, 8, Not Active, Not Active, Not Active
2026/07/17 11:08:37.249, 1192, 877, 35.97, 50, 49, 0, 8, Not Active, Not Active, Not Active
2026/07/17 11:08:37.302, 1192, 877, 35.97, 50, 49, 0, 316, Not Active, Not Active, Not Active
2026/07/17 11:08:37.353, 1192, 877, 35.97, 50, 49, 0, 316, Not Active, Not Active, Not Active
2026/07/17 11:08:37.405, 1192, 877, 35.97, 50, 49, 3, 316, Not Active, Not Active, Not Active
2026/07/17 11:08:37.457, 1192, 877, 35.97, 50, 49, 3, 316, Not Active, Not Active, Not Active
2026/07/17 11:08:37.509, 1192, 877, 35.97, 50, 49, 3, 316, Not Active, Not Active, Not Active
2026/07/17 11:08:37.561, 1192, 877, 36.94, 50, 49, 3, 6708, Not Active, Not Active, Not Active
2026/07/17 11:08:37.614, 1192, 877, 36.94, 50, 49, 24, 6708, Not Active, Not Active, Not Active
2026/07/17 11:08:37.667, 1192, 877, 36.94, 50, 49, 24, 6708, Not Active, Not Active, Not Active
2026/07/17 11:08:37.719, 1192, 877, 36.94, 50, 49, 24, 6708, Not Active, Not Active, Not Active
2026/07/17 11:08:37.772, 1192, 877, 36.94, 50, 49, 100, 6708, Not Active, Not Active, Not Active
2026/07/17 11:08:37.825, 1192, 877, 36.94, 50, 49, 100, 6708, Not Active, Not Active, Not Active
2026/07/17 11:08:37.877, 1192, 877, 36.94, 50, 49, 100, 6708, Not Active, Not Active, Not Active
2026/07/17 11:08:37.929, 1192, 877, 36.94, 50, 49, 99, 6708, Not Active, Not Active, Not Active
2026/07/17 11:08:37.982, 1192, 877, 36.94, 50, 49, 99, 6708, Not Active, Not Active, Not Active
2026/07/17 11:08:38.034, 1192, 877, 36.94, 50, 49, 99, 6708, Not Active, Not Active, Not Active
2026/07/17 11:08:38.087, 1192, 877, 36.94, 50, 49, 99, 6708, Not Active, Not Active, Not Active
2026/07/17 11:08:38.139, 1192, 877, 36.94, 50, 49, 99, 6708, Not Active, Not Active, Not Active
2026/07/17 11:08:38.192, 1192, 877, 36.94, 50, 49, 99, 6708, Not Active, Not Active, Not Active
2026/07/17 11:08:38.245, 1192, 877, 36.94, 50, 49, 99, 6708, Not Active, Not Active, Not Active
2026/07/17 11:08:38.297, 1192, 877, 36.94, 50, 49, 99, 6708, Not Active, Not Active, Not Active
2026/07/17 11:08:38.349, 1192, 877, 36.94, 50, 49, 99, 6708, Not Active, Not Active, Not Active
2026/07/17 11:08:38.402, 1192, 877, 36.92, 50, 49, 99, 6708, Not Active, Not Active, Not Active
2026/07/17 11:08:38.454, 1192, 877, 36.94, 50, 49, 99, 6708, Not Active, Not Active, Not Active
2026/07/17 11:08:38.507, 1192, 877, 36.94, 50, 49, 99, 6708, Not Active, Not Active, Not Active
2026/07/17 11:08:38.560, 1192, 877, 36.94, 50, 49, 99, 6708, Not Active, Not Active, Not Active
2026/07/17 11:08:38.612, 1192, 877, 36.94, 50, 49, 99, 6708, Not Active, Not Active, Not Active
2026/07/17 11:08:38.664, 1192, 877, 36.94, 50, 49, 99, 6708, Not Active, Not Active, Not Active
2026/07/17 11:08:38.717, 1192, 877, 36.94, 50, 49, 99, 6708, Not Active, Not Active, Not Active
2026/07/17 11:08:38.769, 1192, 877, 36.94, 50, 49, 99, 6708, Not Active, Not Active, Not Active
2026/07/17 11:08:38.822, 1192, 877, 36.94, 50, 49, 99, 6708, Not Active, Not Active, Not Active
2026/07/17 11:08:38.874, 1192, 877, 36.94, 50, 49, 99, 6708, Not Active, Not Active, Not Active
