timestamp,graphics_clock_mhz,memory_clock_mhz,power_w,temperature_c,gpu_util_pct,memory_used_mib,sw_power_cap,sw_thermal_slowdown,hw_thermal_slowdown
2026/07/17 08:55:35.219, 1192, 877, 35.49, 43, 0, 6, Not Active, Not Active, Not Active
2026/07/17 08:55:35.271, 1192, 877, 35.49, 43, 0, 6, Not Active, Not Active, Not Active
2026/07/17 08:55:35.323, 1192, 877, 35.49, 43, 0, 8, Not Active, Not Active, Not Active
2026/07/17 08:55:35.375, 1192, 877, 35.97, 43, 0, 316, Not Active, Not Active, Not Active
2026/07/17 08:55:35.426, 1192, 877, 35.49, 43, 0, 316, Not Active, Not Active, Not Active
2026/07/17 08:55:35.478, 1192, 877, 35.49, 43, 3, 316, Not Active, Not Active, Not Active
2026/07/17 08:55:35.530, 1192, 877, 35.49, 43, 3, 316, Not Active, Not Active, Not Active
2026/07/17 08:55:35.582, 1192, 877, 35.49, 43, 3, 316, Not Active, Not Active, Not Active
2026/07/17 08:55:35.634, 1192, 877, 35.49, 43, 0, 316, Not Active, Not Active, Not Active
2026/07/17 08:55:35.687, 1192, 877, 35.49, 43, 0, 316, Not Active, Not Active, Not Active
2026/07/17 08:55:35.740, 1192, 877, 35.49, 43, 0, 316, Not Active, Not Active, Not Active
2026/07/17 08:55:35.791, 1192, 877, 35.47, 43, 0, 316, Not Active, Not Active, Not Active
2026/07/17 08:55:35.844, 1192, 877, 35.49, 43, 0, 316, Not Active, Not Active, Not Active
2026/07/17 08:55:35.897, 1192, 877, 35.49, 43, 0, 316, Not Active, Not Active, Not Active
2026/07/17 08:55:35.949, 1192, 877, 35.47, 43, 0, 316, Not Active, Not Active, Not Active
2026/07/17 08:55:36.004, 1192, 877, 35.47, 43, 0, 316, Not Active, Not Active, Not Active
2026/07/17 08:55:36.056, 1192, 877, 35.49, 43, 0, 316, Not Active, Not Active, Not Active
2026/07/17 08:55:36.108, 1192, 877, 35.49, 43, 0, 316, Not Active, Not Active, Not Active
2026/07/17 08:55:36.159, 1192, 877, 35.49, 43, 0, 316, Not Active, Not Active, Not Active
2026/07/17 08:55:36.211, 1192, 877, 35.49, 43, 0, 316, Not Active, Not Active, Not Active
2026/07/17 08:55:36.263, 1192, 877, 35.49, 43, 0, 316, Not Active, Not Active, Not Active
2026/07/17 08:55:36.315, 1192, 877, 35.49, 43, 0, 316, Not Active, Not Active, Not Active
2026/07/17 08:55:36.366, 1192, 877, 35.49, 43, 0, 316, Not Active, Not Active, Not Active
2026/07/17 08:55:36.418, 1192, 877, 35.49, 43, 0, 316, Not Active, Not Active, Not Active
2026/07/17 08:55:36.469, 1192, 877, 35.49, 43, 0, 316, Not Active, Not Active, Not Active
2026/07/17 08:55:36.522, 1192, 877, 35.47, 43, 0, 316, Not Active, Not Active, Not Active
2026/07/17 08:55:36.575, 1192, 877, 35.49, 43, 0, 316, Not Active, Not Active, Not Active
2026/07/17 08:55:36.627, 1192, 877, 35.49, 43, 0, 316, Not Active, Not Active, Not Active
2026/07/17 08:55:36.679, 1192, 877, 35.49, 43, 0, 316, Not Active, Not Active, Not Active
2026/07/17 08:55:36.730, 1192, 877, 35.49, 43, 0, 316, Not Active, Not Active, Not Active
2026/07/17 08:55:36.782, 1192, 877, 35.49, 43, 0, 316, Not Active, Not Active, Not Active
2026/07/17 08:55:36.834, 1192, 877, 35.49, 43, 0, 316, Not Active, Not Active, Not Active
2026/07/17 08:55:36.886, 1192, 877, 35.49, 43, 0, 316, Not Active, Not Active, Not Active
2026/07/17 08:55:36.939, 1192, 877, 35.49, 43, 0, 316, Not Active, Not Active, Not Active
2026/07/17 08:55:36.990, 1192, 877, 35.49, 43, 0, 316, Not Active, Not Active, Not Active
2026/07/17 08:55:37.042, 1192, 877, 35.49, 43, 0, 316, Not Active, Not Active, Not Active
2026/07/17 08:55:37.093, 1192, 877, 35.49, 43, 0, 316, Not Active, Not Active, Not Active
2026/07/17 08:55:37.145, 1192, 877, 35.49, 43, 0, 316, Not Active, Not Active, Not Active
2026/07/17 08:55:37.196, 1192, 877, 35.49, 43, 0, 316, Not Active, Not Active, Not Active
2026/07/17 08:55:37.251, 1192, 877, 35.49, 43, 0, 316, Not Active, Not Active, Not Active
2026/07/17 08:55:37.303, 1192, 877, 35.49, 43, 0, 316, Not Active, Not Active, Not Active
2026/07/17 08:55:37.354, 1192, 877, 35.49, 43, 0, 316, Not Active, Not Active, Not Active
2026/07/17 08:55:37.406, 1192, 877, 35.49, 43, 0, 316, Not Active, Not Active, Not Active
2026/07/17 08:55:37.457, 1192, 877, 35.49, 43, 0, 316, Not Active, Not Active, Not Active
2026/07/17 08:55:37.509, 1192, 877, 35.49, 43, 0, 316, Not Active, Not Active, Not Active
2026/07/17 08:55:37.560, 1192, 877, 35.49, 43, 0, 316, Not Active, Not Active, Not Active
