timestamp,graphics_clock_mhz,memory_clock_mhz,power_w,temperature_c,gpu_util_pct,memory_used_mib,sw_power_cap,sw_thermal_slowdown,hw_thermal_slowdown
2026/07/17 08:55:52.428, 1192, 877, 36.94, 44, 100, 6, Not Active, Not Active, Not Active
2026/07/17 08:55:52.480, 1192, 877, 35.97, 44, 100, 8, Not Active, Not Active, Not Active
2026/07/17 08:55:52.532, 1192, 877, 35.97, 44, 32, 8, Not Active, Not Active, Not Active
2026/07/17 08:55:52.583, 1192, 877, 35.97, 44, 32, 8, Not Active, Not Active, Not Active
2026/07/17 08:55:52.635, 1192, 877, 35.97, 44, 32, 316, Not Active, Not Active, Not Active
2026/07/17 08:55:52.686, 1192, 877, 35.97, 44, 32, 316, Not Active, Not Active, Not Active
2026/07/17 08:55:52.739, 1192, 877, 35.97, 44, 3, 316, Not Active, Not Active, Not Active
2026/07/17 08:55:52.791, 1192, 877, 35.97, 44, 3, 316, Not Active, Not Active, Not Active
2026/07/17 08:55:52.842, 1192, 877, 35.97, 44, 3, 316, Not Active, Not Active, Not Active
2026/07/17 08:55:52.894, 1192, 877, 36.46, 44, 0, 6708, Not Active, Not Active, Not Active
2026/07/17 08:55:52.946, 1192, 877, 36.94, 44, 0, 6708, Not Active, Not Active, Not Active
2026/07/17 08:55:52.998, 1192, 877, 36.46, 44, 0, 6708, Not Active, Not Active, Not Active
2026/07/17 08:55:53.050, 1192, 877, 36.46, 44, 96, 6708, Not Active, Not Active, Not Active
2026/07/17 08:55:53.102, 1192, 877, 36.94, 44, 96, 6708, Not Active, Not Active, Not Active
2026/07/17 08:55:53.155, 1192, 877, 36.94, 44, 96, 6708, Not Active, Not Active, Not Active
2026/07/17 08:55:53.207, 1192, 877, 36.94, 44, 99, 6708, Not Active, Not Active, Not Active
2026/07/17 08:55:53.261, 1192, 877, 36.46, 44, 99, 6708, Not Active, Not Active, Not Active
2026/07/17 08:55:53.313, 1192, 877, 36.94, 44, 99, 6708, Not Active, Not Active, Not Active
2026/07/17 08:55:53.365, 1192, 877, 36.46, 44, 99, 6708, Not Active, Not Active, Not Active
2026/07/17 08:55:53.417, 1192, 877, 36.94, 44, 99, 6708, Not Active, Not Active, Not Active
2026/07/17 08:55:53.469, 1192, 877, 36.94, 44, 99, 6708, Not Active, Not Active, Not Active
2026/07/17 08:55:53.521, 1192, 877, 36.46, 44, 99, 6708, Not Active, Not Active, Not Active
2026/07/17 08:55:53.573, 1192, 877, 36.46, 44, 99, 6708, Not Active, Not Active, Not Active
2026/07/17 08:55:53.625, 1192, 877, 36.46, 44, 99, 6708, Not Active, Not Active, Not Active
2026/07/17 08:55:53.677, 1192, 877, 36.94, 44, 99, 6708, Not Active, Not Active, Not Active
2026/07/17 08:55:53.730, 1192, 877, 36.46, 44, 99, 6708, Not Active, Not Active, Not Active
2026/07/17 08:55:53.782, 1192, 877, 36.94, 44, 99, 6708, Not Active, Not Active, Not Active
2026/07/17 08:55:53.834, 1192, 877, 36.46, 44, 99, 6708, Not Active, Not Active, Not Active
2026/07/17 08:55:53.886, 1192, 877, 36.46, 44, 99, 6708, Not Active, Not Active, Not Active
2026/07/17 08:55:53.938, 1192, 877, 36.94, 44, 99, 6708, Not Active, Not Active, Not Active
2026/07/17 08:55:53.990, 1192, 877, 36.94, 44, 99, 6708, Not Active, Not Active, Not Active
2026/07/17 08:55:54.043, 1192, 877, 36.46, 44, 99, 6708, Not Active, Not Active, Not Active
2026/07/17 08:55:54.095, 1192, 877, 36.46, 44, 99, 6708, Not Active, Not Active, Not Active
2026/07/17 08:55:54.147, 1192, 877, 36.46, 44, 99, 6708, Not Active, Not Active, Not Active
2026/07/17 08:55:54.199, 1192, 877, 36.46, 44, 99, 6708, Not Active, Not Active, Not Active
2026/07/17 08:55:54.251, 1192, 877, 36.46, 44, 99, 6708, Not Active, Not Active, Not Active
2026/07/17 08:55:54.304, 1192, 877, 36.46, 44, 99, 6708, Not Active, Not Active, Not Active
2026/07/17 08:55:54.356, 1192, 877, 36.46, 44, 99, 6708, Not Active, Not Active, Not Active
2026/07/17 08:55:54.408, 1192, 877, 36.94, 44, 99, 6708, Not Active, Not Active, Not Active
2026/07/17 08:55:54.460, 1192, 877, 36.46, 44, 99, 6708, Not Active, Not Active, Not Active
2026/07/17 08:55:54.512, 1192, 877, 36.46, 44, 99, 6708, Not Active, Not Active, Not Active
2026/07/17 08:55:54.564, 1192, 877, 36.46, 44, 99, 6708, Not Active, Not Active, Not Active
2026/07/17 08:55:54.617, 1192, 877, 36.46, 44, 99, 6708, Not Active, Not Active, Not Active
2026/07/17 08:55:54.669, 1192, 877, 36.46, 44, 99, 6708, Not Active, Not Active, Not Active
2026/07/17 08:55:54.721, 1192, 877, 36.46, 44, 99, 6708, Not Active, Not Active, Not Active
2026/07/17 08:55:54.774, 1192, 877, 36.46, 44, 99, 6708, Not Active, Not Active, Not Active
2026/07/17 08:55:54.826, 1192, 877, 36.46, 44, 99, 6708, Not Active, Not Active, Not Active
2026/07/17 08:55:54.878, 1192, 877, 36.46, 44, 99, 6708, Not Active, Not Active, Not Active
2026/07/17 08:55:54.930, 1192, 877, 36.46, 44, 99, 6708, Not Active, Not Active, Not Active
2026/07/17 08:55:54.982, 1192, 877, 36.46, 44, 99, 6866, Not Active, Not Active, Not Active
2026/07/17 08:55:55.034, 1192, 877, 96.99, 44, 99, 6874, Not Active, Not Active, Not Active
2026/07/17 08:55:55.086, 1192, 877, 89.82, 44, 60, 6886, Not Active, Not Active, Not Active
2026/07/17 08:55:55.137, 1192, 877, 80.28, 45, 60, 6846, Not Active, Not Active, Not Active
2026/07/17 08:55:55.189, 1192, 877, 125.73, 45, 60, 6848, Not Active, Not Active, Not Active
2026/07/17 08:55:55.240, 1192, 877, 40.33, 44, 82, 366, Not Active, Not Active, Not Active
2026/07/17 08:55:55.292, 1192, 877, 38.40, 44, 82, 366, Not Active, Not Active, Not Active
2026/07/17 08:55:55.345, 1192, 877, 38.40, 44, 82, 364, Not Active, Not Active, Not Active
