timestamp,graphics_clock_mhz,memory_clock_mhz,power_w,gpu_temperature_c,memory_temperature_c,gpu_util_pct,memory_used_mib,sw_power_cap,sw_thermal_slowdown,hw_thermal_slowdown
2026/07/17 10:00:50.204, 1192, 877, 35.00, 46, 44, 0, 6, Not Active, Not Active, Not Active
2026/07/17 10:00:50.256, 1192, 877, 35.00, 46, 44, 0, 8, Not Active, Not Active, Not Active
2026/07/17 10:00:50.309, 1192, 877, 35.00, 46, 44, 0, 8, Not Active, Not Active, Not Active
2026/07/17 10:00:50.361, 1192, 877, 35.00, 46, 44, 0, 8, Not Active, Not Active, Not Active
2026/07/17 10:00:50.412, 1192, 877, 35.00, 46, 44, 0, 316, Not Active, Not Active, Not Active
2026/07/17 10:00:50.464, 1192, 877, 35.00, 46, 44, 0, 316, Not Active, Not Active, Not Active
2026/07/17 10:00:50.517, 1192, 877, 35.00, 46, 44, 3, 316, Not Active, Not Active, Not Active
2026/07/17 10:00:50.569, 1192, 877, 35.00, 46, 44, 3, 316, Not Active, Not Active, Not Active
2026/07/17 10:00:50.621, 1192, 877, 35.00, 46, 44, 3, 316, Not Active, Not Active, Not Active
2026/07/17 10:00:50.672, 1192, 877, 35.97, 46, 44, 13, 6708, Not Active, Not Active, Not Active
2026/07/17 10:00:50.725, 1192, 877, 35.97, 46, 44, 13, 6708, Not Active, Not Active, Not Active
2026/07/17 10:00:50.778, 1192, 877, 35.97, 46, 44, 13, 6708, Not Active, Not Active, Not Active
2026/07/17 10:00:50.831, 1192, 877, 35.97, 46, 44, 100, 6708, Not Active, Not Active, Not Active
2026/07/17 10:00:50.883, 1192, 877, 35.97, 46, 44, 100, 6708, Not Active, Not Active, Not Active
2026/07/17 10:00:50.936, 1192, 877, 35.97, 46, 44, 100, 6708, Not Active, Not Active, Not Active
2026/07/17 10:00:50.988, 1192, 877, 35.97, 46, 44, 100, 6708, Not Active, Not Active, Not Active
2026/07/17 10:00:51.040, 1192, 877, 35.97, 46, 44, 99, 6708, Not Active, Not Active, Not Active
2026/07/17 10:00:51.093, 1192, 877, 35.97, 46, 44, 99, 6708, Not Active, Not Active, Not Active
2026/07/17 10:00:51.145, 1192, 877, 35.97, 46, 44, 99, 6708, Not Active, Not Active, Not Active
2026/07/17 10:00:51.198, 1192, 877, 35.97, 46, 44, 99, 6708, Not Active, Not Active, Not Active
2026/07/17 10:00:51.251, 1192, 877, 35.97, 46, 44, 99, 6708, Not Active, Not Active, Not Active
2026/07/17 10:00:51.303, 1192, 877, 35.97, 46, 44, 99, 6708, Not Active, Not Active, Not Active
2026/07/17 10:00:51.355, 1192, 877, 35.97, 46, 44, 99, 6708, Not Active, Not Active, Not Active
2026/07/17 10:00:51.408, 1192, 877, 35.97, 46, 44, 99, 6708, Not Active, Not Active, Not Active
2026/07/17 10:00:51.461, 1192, 877, 35.97, 46, 44, 99, 6708, Not Active, Not Active, Not Active
2026/07/17 10:00:51.513, 1192, 877, 35.97, 46, 44, 99, 6708, Not Active, Not Active, Not Active
2026/07/17 10:00:51.566, 1192, 877, 35.97, 46, 44, 99, 6708, Not Active, Not Active, Not Active
2026/07/17 10:00:51.618, 1192, 877, 35.97, 46, 44, 99, 6708, Not Active, Not Active, Not Active
2026/07/17 10:00:51.671, 1192, 877, 35.97, 46, 44, 99, 6708, Not Active, Not Active, Not Active
2026/07/17 10:00:51.723, 1192, 877, 35.97, 46, 44, 99, 6708, Not Active, Not Active, Not Active
2026/07/17 10:00:51.776, 1192, 877, 35.97, 46, 44, 99, 6708, Not Active, Not Active, Not Active
2026/07/17 10:00:51.828, 1192, 877, 35.97, 46, 44, 99, 6708, Not Active, Not Active, Not Active
2026/07/17 10:00:51.881, 1192, 877, 35.97, 46, 44, 99, 6708, Not Active, Not Active, Not Active
2026/07/17 10:00:51.934, 1192, 877, 35.97, 46, 44, 99, 6708, Not Active, Not Active, Not Active
2026/07/17 10:00:51.986, 1192, 877, 35.97, 46, 44, 99, 6708, Not Active, Not Active, Not Active
2026/07/17 10:00:52.038, 1192, 877, 35.97, 46, 44, 99, 6708, Not Active, Not Active, Not Active
2026/07/17 10:00:52.091, 1192, 877, 35.97, 46, 44, 99, 6708, Not Active, Not Active, Not Active
2026/07/17 10:00:52.144, 1192, 877, 35.97, 46, 44, 99, 6708, Not Active, Not Active, Not Active
