timestamp,graphics_clock_mhz,memory_clock_mhz,power_w,gpu_temperature_c,memory_temperature_c,gpu_util_pct,memory_used_mib,sw_power_cap,sw_thermal_slowdown,hw_thermal_slowdown
2026/07/17 10:01:02.264, 1192, 877, 35.00, 46, 44, 0, 6, Not Active, Not Active, Not Active
2026/07/17 10:01:02.316, 1192, 877, 35.00, 46, 44, 0, 8, Not Active, Not Active, Not Active
2026/07/17 10:01:02.368, 1192, 877, 35.00, 46, 44, 0, 8, Not Active, Not Active, Not Active
2026/07/17 10:01:02.420, 1192, 877, 35.00, 46, 44, 0, 8, Not Active, Not Active, Not Active
2026/07/17 10:01:02.473, 1192, 877, 35.00, 46, 44, 0, 316, Not Active, Not Active, Not Active
2026/07/17 10:01:02.524, 1192, 877, 35.00, 46, 44, 0, 316, Not Active, Not Active, Not Active
2026/07/17 10:01:02.576, 1192, 877, 35.00, 46, 44, 3, 316, Not Active, Not Active, Not Active
2026/07/17 10:01:02.628, 1192, 877, 35.00, 46, 44, 3, 316, Not Active, Not Active, Not Active
2026/07/17 10:01:02.680, 1192, 877, 35.00, 46, 44, 3, 316, Not Active, Not Active, Not Active
2026/07/17 10:01:02.732, 1192, 877, 35.97, 46, 44, 12, 6708, Not Active, Not Active, Not Active
2026/07/17 10:01:02.784, 1192, 877, 35.97, 46, 44, 12, 6708, Not Active, Not Active, Not Active
2026/07/17 10:01:02.837, 1192, 877, 35.97, 46, 44, 12, 6708, Not Active, Not Active, Not Active
2026/07/17 10:01:02.889, 1192, 877, 35.97, 46, 44, 100, 6708, Not Active, Not Active, Not Active
2026/07/17 10:01:02.942, 1192, 877, 35.97, 46, 44, 100, 6708, Not Active, Not Active, Not Active
2026/07/17 10:01:02.995, 1192, 877, 35.97, 46, 44, 100, 6708, Not Active, Not Active, Not Active
2026/07/17 10:01:03.048, 1192, 877, 35.97, 46, 44, 100, 6708, Not Active, Not Active, Not Active
2026/07/17 10:01:03.100, 1192, 877, 35.97, 46, 44, 99, 6708, Not Active, Not Active, Not Active
