timestamp,graphics_clock_mhz,memory_clock_mhz,power_w,temperature_c,gpu_util_pct,memory_used_mib,sw_power_cap,sw_thermal_slowdown,hw_thermal_slowdown
2026/07/17 09:17:23.341, 1192, 877, 35.00, 47, 0, 6, Not Active, Not Active, Not Active
2026/07/17 09:17:23.393, 1192, 877, 35.00, 47, 0, 8, Not Active, Not Active, Not Active
2026/07/17 09:17:23.444, 1192, 877, 35.00, 47, 0, 8, Not Active, Not Active, Not Active
2026/07/17 09:17:23.496, 1192, 877, 35.00, 47, 0, 8, Not Active, Not Active, Not Active
2026/07/17 09:17:23.548, 1192, 877, 35.49, 47, 0, 316, Not Active, Not Active, Not Active
2026/07/17 09:17:23.599, 1192, 877, 35.00, 47, 3, 316, Not Active, Not Active, Not Active
2026/07/17 09:17:23.651, 1192, 877, 35.00, 47, 3, 316, Not Active, Not Active, Not Active
2026/07/17 09:17:23.703, 1192, 877, 35.00, 47, 3, 316, Not Active, Not Active, Not Active
2026/07/17 09:17:23.754, 1192, 877, 35.00, 47, 0, 316, Not Active, Not Active, Not Active
2026/07/17 09:17:23.806, 1192, 877, 35.00, 47, 0, 316, Not Active, Not Active, Not Active
2026/07/17 09:17:23.857, 1192, 877, 35.00, 47, 0, 316, Not Active, Not Active, Not Active
2026/07/17 09:17:23.909, 1192, 877, 35.49, 47, 0, 11818, Not Active, Not Active, Not Active
2026/07/17 09:17:23.961, 1192, 877, 35.97, 47, 8, 11818, Not Active, Not Active, Not Active
2026/07/17 09:17:24.013, 1192, 877, 35.97, 47, 8, 11818, Not Active, Not Active, Not Active
2026/07/17 09:17:24.065, 1192, 877, 35.97, 47, 8, 11818, Not Active, Not Active, Not Active
2026/07/17 09:17:24.117, 1192, 877, 35.97, 47, 100, 11818, Not Active, Not Active, Not Active
2026/07/17 09:17:24.169, 1192, 877, 35.97, 47, 100, 11818, Not Active, Not Active, Not Active
2026/07/17 09:17:24.221, 1192, 877, 35.97, 47, 100, 11818, Not Active, Not Active, Not Active
2026/07/17 09:17:24.273, 1192, 877, 35.97, 47, 100, 11818, Not Active, Not Active, Not Active
2026/07/17 09:17:24.325, 1192, 877, 35.97, 47, 100, 11818, Not Active, Not Active, Not Active
2026/07/17 09:17:24.377, 1192, 877, 35.97, 47, 100, 11818, Not Active, Not Active, Not Active
2026/07/17 09:17:24.430, 1192, 877, 35.97, 47, 99, 11818, Not Active, Not Active, Not Active
2026/07/17 09:17:24.482, 1192, 877, 35.97, 47, 99, 11818, Not Active, Not Active, Not Active
2026/07/17 09:17:24.534, 1192, 877, 35.97, 47, 99, 11818, Not Active, Not Active, Not Active
2026/07/17 09:17:24.586, 1192, 877, 35.97, 47, 100, 11818, Not Active, Not Active, Not Active
2026/07/17 09:17:24.638, 1192, 877, 35.97, 47, 100, 11818, Not Active, Not Active, Not Active
2026/07/17 09:17:24.690, 1192, 877, 35.97, 47, 100, 11818, Not Active, Not Active, Not Active
2026/07/17 09:17:24.742, 1192, 877, 35.97, 47, 100, 11818, Not Active, Not Active, Not Active
2026/07/17 09:17:24.794, 1192, 877, 35.97, 47, 99, 11818, Not Active, Not Active, Not Active
2026/07/17 09:17:24.846, 1192, 877, 35.97, 47, 99, 11818, Not Active, Not Active, Not Active
2026/07/17 09:17:24.898, 1192, 877, 35.97, 47, 99, 11818, Not Active, Not Active, Not Active
2026/07/17 09:17:24.950, 1192, 877, 35.97, 47, 99, 11818, Not Active, Not Active, Not Active
2026/07/17 09:17:25.002, 1192, 877, 35.97, 47, 99, 11818, Not Active, Not Active, Not Active
2026/07/17 09:17:25.054, 1192, 877, 35.97, 47, 99, 11818, Not Active, Not Active, Not Active
2026/07/17 09:17:25.107, 1192, 877, 35.97, 47, 99, 11818, Not Active, Not Active, Not Active
2026/07/17 09:17:25.159, 1192, 877, 35.97, 47, 99, 11818, Not Active, Not Active, Not Active
2026/07/17 09:17:25.211, 1192, 877, 35.97, 47, 99, 11818, Not Active, Not Active, Not Active
2026/07/17 09:17:25.263, 1192, 877, 35.97, 47, 99, 11818, Not Active, Not Active, Not Active
2026/07/17 09:17:25.315, 1192, 877, 35.97, 47, 99, 11818, Not Active, Not Active, Not Active
2026/07/17 09:17:25.368, 1192, 877, 35.97, 47, 99, 11818, Not Active, Not Active, Not Active
2026/07/17 09:17:25.420, 1192, 877, 35.97, 47, 99, 11818, Not Active, Not Active, Not Active
2026/07/17 09:17:25.472, 1192, 877, 35.97, 47, 99, 11818, Not Active, Not Active, Not Active
2026/07/17 09:17:25.524, 1192, 877, 35.97, 47, 99, 11818, Not Active, Not Active, Not Active
2026/07/17 09:17:25.576, 1192, 877, 35.97, 47, 99, 11818, Not Active, Not Active, Not Active
2026/07/17 09:17:25.628, 1192, 877, 35.97, 47, 100, 11818, Not Active, Not Active, Not Active
2026/07/17 09:17:25.680, 1192, 877, 35.97, 47, 100, 11818, Not Active, Not Active, Not Active
2026/07/17 09:17:25.732, 1192, 877, 35.97, 47, 100, 11818, Not Active, Not Active, Not Active
2026/07/17 09:17:25.784, 1192, 877, 35.97, 47, 99, 11818, Not Active, Not Active, Not Active
2026/07/17 09:17:25.836, 1192, 877, 35.97, 47, 99, 11818, Not Active, Not Active, Not Active
2026/07/17 09:17:25.888, 1192, 877, 35.97, 47, 99, 11818, Not Active, Not Active, Not Active
2026/07/17 09:17:25.941, 1192, 877, 35.97, 47, 99, 11818, Not Active, Not Active, Not Active
2026/07/17 09:17:25.993, 1192, 877, 35.97, 47, 99, 11818, Not Active, Not Active, Not Active
2026/07/17 09:17:26.045, 1192, 877, 35.97, 47, 99, 11818, Not Active, Not Active, Not Active
2026/07/17 09:17:26.097, 1192, 877, 35.97, 47, 99, 11818, Not Active, Not Active, Not Active
2026/07/17 09:17:26.149, 1192, 877, 35.97, 47, 99, 11818, Not Active, Not Active, Not Active
2026/07/17 09:17:26.201, 1192, 877, 35.97, 47, 99, 11818, Not Active, Not Active, Not Active
2026/07/17 09:17:26.253, 1192, 877, 35.97, 47, 99, 11818, Not Active, Not Active, Not Active
2026/07/17 09:17:26.305, 1192, 877, 35.97, 47, 99, 11818, Not Active, Not Active, Not Active
2026/07/17 09:17:26.357, 1192, 877, 35.97, 47, 99, 11818, Not Active, Not Active, Not Active
2026/07/17 09:17:26.409, 1192, 877, 35.97, 47, 99, 11818, Not Active, Not Active, Not Active
2026/07/17 09:17:26.461, 1192, 877, 35.97, 47, 99, 11818, Not Active, Not Active, Not Active
2026/07/17 09:17:26.513, 1192, 877, 35.97, 47, 99, 11818, Not Active, Not Active, Not Active
2026/07/17 09:17:26.565, 1192, 877, 35.97, 47, 99, 11818, Not Active, Not Active, Not Active
2026/07/17 09:17:26.618, 1192, 877, 35.97, 47, 100, 11818, Not Active, Not Active, Not Active
2026/07/17 09:17:26.670, 1192, 877, 35.97, 47, 100, 11818, Not Active, Not Active, Not Active
2026/07/17 09:17:26.722, 1192, 877, 35.97, 47, 100, 11818, Not Active, Not Active, Not Active
2026/07/17 09:17:26.774, 1192, 877, 35.97, 47, 99, 11818, Not Active, Not Active, Not Active
2026/07/17 09:17:26.826, 1192, 877, 35.97, 47, 99, 11818, Not Active, Not Active, Not Active
2026/07/17 09:17:26.878, 1192, 877, 35.97, 47, 99, 11818, Not Active, Not Active, Not Active
2026/07/17 09:17:26.930, 1192, 877, 35.97, 47, 99, 11818, Not Active, Not Active, Not Active
2026/07/17 09:17:26.982, 1192, 877, 35.97, 47, 99, 11818, Not Active, Not Active, Not Active
2026/07/17 09:17:27.035, 1192, 877, 35.97, 47, 99, 11818, Not Active, Not Active, Not Active
2026/07/17 09:17:27.087, 1192, 877, 35.97, 47, 99, 11818, Not Active, Not Active, Not Active
2026/07/17 09:17:27.139, 1192, 877, 35.97, 47, 100, 11818, Not Active, Not Active, Not Active
2026/07/17 09:17:27.191, 1192, 877, 35.97, 47, 100, 11818, Not Active, Not Active, Not Active
2026/07/17 09:17:27.243, 1192, 877, 35.97, 47, 100, 11818, Not Active, Not Active, Not Active
2026/07/17 09:17:27.295, 1192, 877, 35.97, 47, 99, 11818, Not Active, Not Active, Not Active
2026/07/17 09:17:27.347, 1192, 877, 35.97, 47, 99, 11818, Not Active, Not Active, Not Active
2026/07/17 09:17:27.399, 1192, 877, 35.97, 47, 99, 11818, Not Active, Not Active, Not Active
2026/07/17 09:17:27.451, 1192, 877, 35.97, 47, 99, 11818, Not Active, Not Active, Not Active
2026/07/17 09:17:27.503, 1192, 877, 35.97, 47, 99, 11818, Not Active, Not Active, Not Active
2026/07/17 09:17:27.556, 1192, 877, 35.97, 47, 99, 11818, Not Active, Not Active, Not Active
2026/07/17 09:17:27.608, 1192, 877, 35.49, 47, 100, 11818, Not Active, Not Active, Not Active
2026/07/17 09:17:27.659, 1192, 877, 35.49, 47, 100, 12062, Not Active, Not Active, Not Active
2026/07/17 09:17:27.711, 1192, 877, 38.40, 47, 100, 12102, Not Active, Not Active, Not Active
2026/07/17 09:17:27.764, 1192, 877, 39.85, 47, 63, 12102, Not Active, Not Active, Not Active
2026/07/17 09:17:27.816, 1192, 877, 36.46, 47, 63, 12102, Not Active, Not Active, Not Active
2026/07/17 09:17:27.868, 1192, 877, 36.46, 47, 63, 12102, Not Active, Not Active, Not Active
2026/07/17 09:17:27.920, 1192, 877, 36.46, 47, 63, 12102, Not Active, Not Active, Not Active
