timestamp,graphics_clock_mhz,memory_clock_mhz,power_w,gpu_temperature_c,memory_temperature_c,gpu_util_pct,memory_used_mib,sw_power_cap,sw_thermal_slowdown,hw_thermal_slowdown
2026/07/17 10:00:38.640, 1192, 877, 35.00, 46, 44, 0, 6, Not Active, Not Active, Not Active
2026/07/17 10:00:38.692, 1192, 877, 35.00, 46, 44, 0, 8, Not Active, Not Active, Not Active
2026/07/17 10:00:38.744, 1192, 877, 35.00, 46, 44, 0, 8, Not Active, Not Active, Not Active
2026/07/17 10:00:38.796, 1192, 877, 35.00, 46, 44, 1, 316, Not Active, Not Active, Not Active
2026/07/17 10:00:38.848, 1192, 877, 35.00, 46, 44, 1, 316, Not Active, Not Active, Not Active
2026/07/17 10:00:38.900, 1192, 877, 35.00, 46, 44, 1, 316, Not Active, Not Active, Not Active
2026/07/17 10:00:38.952, 1192, 877, 35.00, 46, 44, 2, 316, Not Active, Not Active, Not Active
2026/07/17 10:00:39.004, 1192, 877, 35.00, 46, 44, 2, 5178, Not Active, Not Active, Not Active
2026/07/17 10:00:39.057, 1192, 877, 35.49, 46, 44, 2, 5178, Not Active, Not Active, Not Active
2026/07/17 10:00:39.109, 1192, 877, 35.49, 46, 44, 2, 5178, Not Active, Not Active, Not Active
2026/07/17 10:00:39.161, 1192, 877, 35.49, 46, 44, 66, 5178, Not Active, Not Active, Not Active
2026/07/17 10:00:39.214, 1192, 877, 35.49, 46, 44, 66, 5178, Not Active, Not Active, Not Active
2026/07/17 10:00:39.266, 1192, 877, 35.49, 46, 44, 66, 5178, Not Active, Not Active, Not Active
2026/07/17 10:00:39.319, 1192, 877, 35.49, 46, 44, 100, 5178, Not Active, Not Active, Not Active
2026/07/17 10:00:39.371, 1192, 877, 35.49, 46, 44, 100, 5178, Not Active, Not Active, Not Active
2026/07/17 10:00:39.424, 1192, 877, 35.49, 46, 44, 100, 5178, Not Active, Not Active, Not Active
2026/07/17 10:00:39.477, 1192, 877, 35.49, 46, 44, 99, 5178, Not Active, Not Active, Not Active
2026/07/17 10:00:39.529, 1192, 877, 35.49, 46, 44, 99, 5178, Not Active, Not Active, Not Active
2026/07/17 10:00:39.582, 1192, 877, 35.49, 46, 44, 99, 5178, Not Active, Not Active, Not Active
2026/07/17 10:00:39.634, 1192, 877, 35.49, 46, 44, 99, 5178, Not Active, Not Active, Not Active
2026/07/17 10:00:39.687, 1192, 877, 35.49, 46, 44, 99, 5178, Not Active, Not Active, Not Active
2026/07/17 10:00:39.740, 1192, 877, 35.49, 46, 44, 99, 5178, Not Active, Not Active, Not Active
2026/07/17 10:00:39.793, 1192, 877, 35.49, 46, 44, 99, 5178, Not Active, Not Active, Not Active
2026/07/17 10:00:39.845, 1192, 877, 35.49, 46, 44, 99, 5178, Not Active, Not Active, Not Active
2026/07/17 10:00:39.898, 1192, 877, 35.49, 46, 44, 99, 5178, Not Active, Not Active, Not Active
2026/07/17 10:00:39.950, 1192, 877, 35.49, 46, 44, 99, 5178, Not Active, Not Active, Not Active
2026/07/17 10:00:40.003, 1192, 877, 35.49, 46, 44, 99, 5178, Not Active, Not Active, Not Active
2026/07/17 10:00:40.055, 1192, 877, 35.49, 46, 44, 99, 5178, Not Active, Not Active, Not Active
2026/07/17 10:00:40.109, 1192, 877, 35.49, 46, 44, 99, 5178, Not Active, Not Active, Not Active
2026/07/17 10:00:40.161, 1192, 877, 35.49, 46, 44, 99, 5178, Not Active, Not Active, Not Active
2026/07/17 10:00:40.214, 1192, 877, 35.49, 46, 44, 99, 5178, Not Active, Not Active, Not Active
2026/07/17 10:00:40.266, 1192, 877, 35.49, 46, 44, 99, 5178, Not Active, Not Active, Not Active
2026/07/17 10:00:40.319, 1192, 877, 35.49, 46, 44, 99, 5178, Not Active, Not Active, Not Active
2026/07/17 10:00:40.371, 1192, 877, 35.49, 46, 44, 99, 5178, Not Active, Not Active, Not Active
2026/07/17 10:00:40.424, 1192, 877, 35.49, 46, 44, 99, 5178, Not Active, Not Active, Not Active
2026/07/17 10:00:40.476, 1192, 877, 35.49, 46, 44, 99, 5178, Not Active, Not Active, Not Active
2026/07/17 10:00:40.530, 1192, 877, 35.49, 46, 44, 99, 5178, Not Active, Not Active, Not Active
2026/07/17 10:00:40.583, 1192, 877, 35.00, 46, 44, 99, 5178, Not Active, Not Active, Not Active
2026/07/17 10:00:40.635, 1192, 877, 87.46, 46, 44, 76, 5290, Not Active, Not Active, Not Active
2026/07/17 10:00:40.687, 1192, 877, 46.60, 46, 46, 76, 360, Not Active, Not Active, Not Active
2026/07/17 10:00:40.740, 1192, 877, 37.43, 46, 45, 76, 360, Not Active, Not Active, Not Active
2026/07/17 10:00:40.792, 1192, 877, 37.43, 46, 45, 95, 358, Not Active, Not Active, Not Active
