timestamp,graphics_clock_mhz,memory_clock_mhz,power_w,gpu_temperature_c,memory_temperature_c,gpu_util_pct,memory_used_mib,sw_power_cap,sw_thermal_slowdown,hw_thermal_slowdown
2026/07/17 10:00:33.286, 1192, 877, 35.00, 46, 44, 0, 6, Not Active, Not Active, Not Active
2026/07/17 10:00:33.339, 1192, 877, 35.00, 46, 44, 0, 8, Not Active, Not Active, Not Active
2026/07/17 10:00:33.390, 1192, 877, 35.00, 46, 44, 0, 8, Not Active, Not Active, Not Active
2026/07/17 10:00:33.442, 1192, 877, 35.00, 46, 44, 3, 316, Not Active, Not Active, Not Active
2026/07/17 10:00:33.494, 1192, 877, 35.00, 46, 44, 3, 316, Not Active, Not Active, Not Active
2026/07/17 10:00:33.546, 1192, 877, 35.00, 46, 44, 3, 316, Not Active, Not Active, Not Active
2026/07/17 10:00:33.598, 1192, 877, 35.00, 46, 44, 0, 316, Not Active, Not Active, Not Active
2026/07/17 10:00:33.650, 1192, 877, 35.49, 46, 44, 0, 5178, Not Active, Not Active, Not Active
2026/07/17 10:00:33.702, 1192, 877, 35.49, 46, 44, 0, 5178, Not Active, Not Active, Not Active
2026/07/17 10:00:33.755, 1192, 877, 35.49, 46, 44, 72, 5178, Not Active, Not Active, Not Active
2026/07/17 10:00:33.808, 1192, 877, 35.49, 46, 44, 72, 5178, Not Active, Not Active, Not Active
2026/07/17 10:00:33.860, 1192, 877, 35.49, 46, 44, 72, 5178, Not Active, Not Active, Not Active
2026/07/17 10:00:33.912, 1192, 877, 35.49, 46, 44, 72, 5178, Not Active, Not Active, Not Active
2026/07/17 10:00:33.965, 1192, 877, 35.49, 46, 44, 100, 5178, Not Active, Not Active, Not Active
2026/07/17 10:00:34.017, 1192, 877, 35.49, 46, 44, 100, 5178, Not Active, Not Active, Not Active
2026/07/17 10:00:34.071, 1192, 877, 35.49, 46, 44, 100, 5178, Not Active, Not Active, Not Active
2026/07/17 10:00:34.124, 1192, 877, 35.49, 46, 44, 99, 5178, Not Active, Not Active, Not Active
2026/07/17 10:00:34.176, 1192, 877, 35.49, 46, 44, 99, 5178, Not Active, Not Active, Not Active
2026/07/17 10:00:34.229, 1192, 877, 35.49, 46, 44, 99, 5178, Not Active, Not Active, Not Active
2026/07/17 10:00:34.281, 1192, 877, 35.49, 46, 44, 99, 5178, Not Active, Not Active, Not Active
2026/07/17 10:00:34.334, 1192, 877, 35.49, 46, 44, 99, 5178, Not Active, Not Active, Not Active
2026/07/17 10:00:34.386, 1192, 877, 35.49, 46, 44, 99, 5178, Not Active, Not Active, Not Active
2026/07/17 10:00:34.439, 1192, 877, 35.49, 46, 44, 99, 5178, Not Active, Not Active, Not Active
2026/07/17 10:00:34.492, 1192, 877, 35.49, 46, 44, 99, 5178, Not Active, Not Active, Not Active
2026/07/17 10:00:34.545, 1192, 877, 35.49, 46, 44, 99, 5178, Not Active, Not Active, Not Active
2026/07/17 10:00:34.597, 1192, 877, 35.49, 46, 44, 99, 5178, Not Active, Not Active, Not Active
2026/07/17 10:00:34.650, 1192, 877, 35.49, 46, 44, 99, 5178, Not Active, Not Active, Not Active
2026/07/17 10:00:34.702, 1192, 877, 35.49, 46, 44, 99, 5178, Not Active, Not Active, Not Active
2026/07/17 10:00:34.755, 1192, 877, 35.49, 46, 44, 99, 5178, Not Active, Not Active, Not Active
2026/07/17 10:00:34.807, 1192, 877, 35.49, 46, 44, 99, 5178, Not Active, Not Active, Not Active
2026/07/17 10:00:34.860, 1192, 877, 35.49, 46, 44, 99, 5178, Not Active, Not Active, Not Active
2026/07/17 10:00:34.914, 1192, 877, 35.49, 46, 44, 99, 5178, Not Active, Not Active, Not Active
2026/07/17 10:00:34.966, 1192, 877, 35.49, 46, 44, 99, 5178, Not Active, Not Active, Not Active
2026/07/17 10:00:35.019, 1192, 877, 35.49, 46, 44, 99, 5178, Not Active, Not Active, Not Active
2026/07/17 10:00:35.071, 1192, 877, 35.49, 46, 44, 99, 5178, Not Active, Not Active, Not Active
2026/07/17 10:00:35.124, 1192, 877, 35.49, 46, 44, 99, 5178, Not Active, Not Active, Not Active
2026/07/17 10:00:35.176, 1192, 877, 35.49, 46, 44, 99, 5178, Not Active, Not Active, Not Active
2026/07/17 10:00:35.229, 1192, 877, 35.97, 46, 44, 99, 5238, Not Active, Not Active, Not Active
2026/07/17 10:00:35.281, 1192, 877, 124.94, 46, 46, 75, 5292, Not Active, Not Active, Not Active
2026/07/17 10:00:35.333, 1192, 877, 41.30, 46, 45, 75, 362, Not Active, Not Active, Not Active
2026/07/17 10:00:35.385, 1192, 877, 37.43, 46, 45, 75, 362, Not Active, Not Active, Not Active
2026/07/17 10:00:35.437, 1192, 877, 37.43, 46, 44, 97, 6, Not Active, Not Active, Not Active
