timestamp,graphics_clock_mhz,memory_clock_mhz,power_w,temperature_c,gpu_util_pct,memory_used_mib,sw_power_cap,sw_thermal_slowdown,hw_thermal_slowdown
2026/07/17 08:56:03.599, 1192, 877, 38.40, 45, 98, 6, Not Active, Not Active, Not Active
2026/07/17 08:56:03.651, 1192, 877, 38.40, 44, 98, 8, Not Active, Not Active, Not Active
2026/07/17 08:56:03.702, 1192, 877, 38.40, 44, 98, 8, Not Active, Not Active, Not Active
2026/07/17 08:56:03.754, 1192, 877, 38.40, 44, 100, 24, Not Active, Not Active, Not Active
2026/07/17 08:56:03.805, 1192, 877, 38.40, 44, 100, 316, Not Active, Not Active, Not Active
2026/07/17 08:56:03.857, 1192, 877, 35.97, 44, 100, 316, Not Active, Not Active, Not Active
2026/07/17 08:56:03.908, 1192, 877, 35.97, 44, 44, 316, Not Active, Not Active, Not Active
2026/07/17 08:56:03.960, 1192, 877, 35.97, 44, 44, 316, Not Active, Not Active, Not Active
2026/07/17 08:56:04.011, 1192, 877, 35.97, 44, 44, 316, Not Active, Not Active, Not Active
2026/07/17 08:56:04.063, 1192, 877, 35.97, 44, 44, 11402, Not Active, Not Active, Not Active
2026/07/17 08:56:04.115, 1192, 877, 36.46, 44, 10, 11402, Not Active, Not Active, Not Active
2026/07/17 08:56:04.167, 1192, 877, 36.46, 44, 10, 11402, Not Active, Not Active, Not Active
2026/07/17 08:56:04.219, 1192, 877, 36.46, 44, 10, 11402, Not Active, Not Active, Not Active
2026/07/17 08:56:04.271, 1192, 877, 36.46, 44, 100, 11402, Not Active, Not Active, Not Active
2026/07/17 08:56:04.324, 1192, 877, 36.46, 44, 100, 11402, Not Active, Not Active, Not Active
2026/07/17 08:56:04.376, 1192, 877, 36.46, 44, 100, 11402, Not Active, Not Active, Not Active
2026/07/17 08:56:04.428, 1192, 877, 36.46, 44, 100, 11402, Not Active, Not Active, Not Active
2026/07/17 08:56:04.480, 1192, 877, 36.46, 44, 100, 11402, Not Active, Not Active, Not Active
2026/07/17 08:56:04.532, 1192, 877, 36.46, 44, 100, 11402, Not Active, Not Active, Not Active
2026/07/17 08:56:04.584, 1192, 877, 36.46, 44, 99, 11402, Not Active, Not Active, Not Active
2026/07/17 08:56:04.636, 1192, 877, 36.46, 44, 99, 11402, Not Active, Not Active, Not Active
2026/07/17 08:56:04.689, 1192, 877, 36.46, 44, 99, 11402, Not Active, Not Active, Not Active
2026/07/17 08:56:04.741, 1192, 877, 36.46, 44, 99, 11402, Not Active, Not Active, Not Active
2026/07/17 08:56:04.793, 1192, 877, 36.46, 44, 99, 11402, Not Active, Not Active, Not Active
2026/07/17 08:56:04.845, 1192, 877, 36.46, 44, 99, 11402, Not Active, Not Active, Not Active
2026/07/17 08:56:04.897, 1192, 877, 36.46, 44, 99, 11402, Not Active, Not Active, Not Active
2026/07/17 08:56:04.949, 1192, 877, 36.46, 44, 99, 11402, Not Active, Not Active, Not Active
2026/07/17 08:56:05.001, 1192, 877, 36.46, 44, 99, 11402, Not Active, Not Active, Not Active
2026/07/17 08:56:05.053, 1192, 877, 36.46, 44, 99, 11402, Not Active, Not Active, Not Active
2026/07/17 08:56:05.106, 1192, 877, 36.46, 44, 99, 11402, Not Active, Not Active, Not Active
2026/07/17 08:56:05.158, 1192, 877, 36.46, 44, 99, 11402, Not Active, Not Active, Not Active
2026/07/17 08:56:05.210, 1192, 877, 36.46, 44, 99, 11402, Not Active, Not Active, Not Active
2026/07/17 08:56:05.262, 1192, 877, 36.46, 44, 99, 11402, Not Active, Not Active, Not Active
2026/07/17 08:56:05.314, 1192, 877, 36.46, 44, 99, 11402, Not Active, Not Active, Not Active
2026/07/17 08:56:05.366, 1192, 877, 36.46, 44, 99, 11402, Not Active, Not Active, Not Active
2026/07/17 08:56:05.418, 1192, 877, 36.46, 44, 99, 11402, Not Active, Not Active, Not Active
2026/07/17 08:56:05.470, 1192, 877, 36.46, 44, 99, 11402, Not Active, Not Active, Not Active
2026/07/17 08:56:05.522, 1192, 877, 36.46, 44, 99, 11402, Not Active, Not Active, Not Active
2026/07/17 08:56:05.575, 1192, 877, 36.46, 44, 99, 11402, Not Active, Not Active, Not Active
2026/07/17 08:56:05.627, 1192, 877, 36.46, 44, 99, 11402, Not Active, Not Active, Not Active
2026/07/17 08:56:05.679, 1192, 877, 36.46, 44, 99, 11402, Not Active, Not Active, Not Active
2026/07/17 08:56:05.731, 1192, 877, 36.46, 44, 99, 11402, Not Active, Not Active, Not Active
2026/07/17 08:56:05.784, 1192, 877, 36.46, 44, 99, 11402, Not Active, Not Active, Not Active
2026/07/17 08:56:05.836, 1192, 877, 36.46, 44, 99, 11402, Not Active, Not Active, Not Active
