timestamp,graphics_clock_mhz,memory_clock_mhz,power_w,gpu_temperature_c,memory_temperature_c,gpu_util_pct,memory_used_mib,sw_power_cap,sw_thermal_slowdown,hw_thermal_slowdown
2026/07/17 10:01:08.288, 1192, 877, 35.00, 46, 44, 0, 6, Not Active, Not Active, Not Active
2026/07/17 10:01:08.341, 1192, 877, 35.00, 46, 44, 0, 8, Not Active, Not Active, Not Active
2026/07/17 10:01:08.393, 1192, 877, 35.00, 46, 44, 0, 8, Not Active, Not Active, Not Active
2026/07/17 10:01:08.445, 1192, 877, 35.49, 46, 44, 0, 316, Not Active, Not Active, Not Active
2026/07/17 10:01:08.497, 1192, 877, 35.00, 46, 44, 0, 316, Not Active, Not Active, Not Active
2026/07/17 10:01:08.549, 1192, 877, 35.00, 46, 44, 0, 316, Not Active, Not Active, Not Active
2026/07/17 10:01:08.601, 1192, 877, 35.00, 46, 44, 3, 316, Not Active, Not Active, Not Active
2026/07/17 10:01:08.653, 1192, 877, 35.00, 46, 44, 3, 316, Not Active, Not Active, Not Active
2026/07/17 10:01:08.704, 1192, 877, 35.49, 46, 44, 3, 11402, Not Active, Not Active, Not Active
2026/07/17 10:01:08.757, 1192, 877, 35.97, 46, 44, 30, 11402, Not Active, Not Active, Not Active
2026/07/17 10:01:08.810, 1192, 877, 35.97, 46, 44, 30, 11402, Not Active, Not Active, Not Active
2026/07/17 10:01:08.862, 1192, 877, 35.97, 46, 44, 30, 11402, Not Active, Not Active, Not Active
2026/07/17 10:01:08.914, 1192, 877, 35.97, 46, 44, 100, 11402, Not Active, Not Active, Not Active
2026/07/17 10:01:08.967, 1192, 877, 35.97, 46, 44, 100, 11402, Not Active, Not Active, Not Active
2026/07/17 10:01:09.019, 1192, 877, 35.97, 46, 44, 100, 11402, Not Active, Not Active, Not Active
2026/07/17 10:01:09.072, 1192, 877, 35.97, 46, 44, 100, 11402, Not Active, Not Active, Not Active
2026/07/17 10:01:09.125, 1192, 877, 35.97, 46, 44, 99, 11402, Not Active, Not Active, Not Active
2026/07/17 10:01:09.177, 1192, 877, 35.97, 46, 44, 99, 11402, Not Active, Not Active, Not Active
2026/07/17 10:01:09.230, 1192, 877, 35.97, 46, 44, 99, 11402, Not Active, Not Active, Not Active
2026/07/17 10:01:09.282, 1192, 877, 35.97, 46, 44, 99, 11402, Not Active, Not Active, Not Active
2026/07/17 10:01:09.335, 1192, 877, 35.97, 46, 44, 99, 11402, Not Active, Not Active, Not Active
2026/07/17 10:01:09.387, 1192, 877, 35.97, 46, 44, 99, 11402, Not Active, Not Active, Not Active
2026/07/17 10:01:09.440, 1192, 877, 35.97, 46, 44, 99, 11402, Not Active, Not Active, Not Active
2026/07/17 10:01:09.493, 1192, 877, 35.97, 46, 44, 99, 11402, Not Active, Not Active, Not Active
2026/07/17 10:01:09.545, 1192, 877, 35.97, 46, 44, 99, 11402, Not Active, Not Active, Not Active
2026/07/17 10:01:09.597, 1192, 877, 35.97, 46, 44, 99, 11402, Not Active, Not Active, Not Active
2026/07/17 10:01:09.650, 1192, 877, 35.97, 46, 44, 99, 11402, Not Active, Not Active, Not Active
2026/07/17 10:01:09.702, 1192, 877, 35.97, 46, 44, 99, 11402, Not Active, Not Active, Not Active
2026/07/17 10:01:09.756, 1192, 877, 35.97, 46, 44, 99, 11402, Not Active, Not Active, Not Active
2026/07/17 10:01:09.808, 1192, 877, 35.97, 46, 44, 99, 11402, Not Active, Not Active, Not Active
2026/07/17 10:01:09.861, 1192, 877, 35.97, 46, 44, 99, 11402, Not Active, Not Active, Not Active
2026/07/17 10:01:09.913, 1192, 877, 35.97, 46, 44, 99, 11402, Not Active, Not Active, Not Active
2026/07/17 10:01:09.966, 1192, 877, 35.97, 46, 44, 99, 11402, Not Active, Not Active, Not Active
2026/07/17 10:01:10.018, 1192, 877, 35.97, 46, 44, 99, 11402, Not Active, Not Active, Not Active
2026/07/17 10:01:10.071, 1192, 877, 35.97, 46, 44, 99, 11402, Not Active, Not Active, Not Active
2026/07/17 10:01:10.124, 1192, 877, 35.97, 46, 44, 99, 11402, Not Active, Not Active, Not Active
2026/07/17 10:01:10.177, 1192, 877, 35.97, 46, 44, 99, 11402, Not Active, Not Active, Not Active
2026/07/17 10:01:10.229, 1192, 877, 35.97, 46, 44, 99, 11402, Not Active, Not Active, Not Active
2026/07/17 10:01:10.282, 1192, 877, 35.97, 46, 44, 99, 11402, Not Active, Not Active, Not Active
2026/07/17 10:01:10.334, 1192, 877, 35.97, 46, 44, 99, 11402, Not Active, Not Active, Not Active
2026/07/17 10:01:10.386, 1192, 877, 35.97, 46, 44, 99, 11402, Not Active, Not Active, Not Active
2026/07/17 10:01:10.439, 1192, 877, 35.97, 46, 44, 99, 11402, Not Active, Not Active, Not Active
2026/07/17 10:01:10.492, 1192, 877, 35.97, 46, 44, 99, 11402, Not Active, Not Active, Not Active
2026/07/17 10:01:10.544, 1192, 877, 35.97, 46, 44, 99, 11402, Not Active, Not Active, Not Active
2026/07/17 10:01:10.597, 1192, 877, 35.97, 46, 44, 99, 11402, Not Active, Not Active, Not Active
2026/07/17 10:01:10.649, 1192, 877, 35.97, 46, 44, 99, 11402, Not Active, Not Active, Not Active
2026/07/17 10:01:10.702, 1192, 877, 35.97, 46, 44, 99, 11402, Not Active, Not Active, Not Active
2026/07/17 10:01:10.754, 1192, 877, 35.97, 46, 44, 99, 11402, Not Active, Not Active, Not Active
2026/07/17 10:01:10.807, 1192, 877, 35.97, 46, 44, 99, 11402, Not Active, Not Active, Not Active
2026/07/17 10:01:10.859, 1192, 877, 35.97, 46, 44, 99, 11402, Not Active, Not Active, Not Active
2026/07/17 10:01:10.912, 1192, 877, 35.97, 46, 44, 99, 11402, Not Active, Not Active, Not Active
2026/07/17 10:01:10.965, 1192, 877, 35.97, 46, 44, 99, 11402, Not Active, Not Active, Not Active
2026/07/17 10:01:11.017, 1192, 877, 35.97, 46, 44, 99, 11402, Not Active, Not Active, Not Active
2026/07/17 10:01:11.070, 1192, 877, 35.97, 46, 44, 99, 11402, Not Active, Not Active, Not Active
2026/07/17 10:01:11.122, 1192, 877, 35.97, 46, 44, 99, 11402, Not Active, Not Active, Not Active
2026/07/17 10:01:11.174, 1192, 877, 35.97, 46, 44, 99, 11402, Not Active, Not Active, Not Active
2026/07/17 10:01:11.229, 1192, 877, 35.97, 46, 44, 99, 11402, Not Active, Not Active, Not Active
2026/07/17 10:01:11.282, 1192, 877, 35.97, 46, 44, 99, 11402, Not Active, Not Active, Not Active
2026/07/17 10:01:11.334, 1192, 877, 35.97, 46, 44, 99, 11402, Not Active, Not Active, Not Active
2026/07/17 10:01:11.387, 1192, 877, 35.97, 46, 44, 99, 11402, Not Active, Not Active, Not Active
2026/07/17 10:01:11.439, 1192, 877, 35.97, 46, 44, 99, 11402, Not Active, Not Active, Not Active
2026/07/17 10:01:11.492, 1192, 877, 35.97, 46, 44, 99, 11402, Not Active, Not Active, Not Active
2026/07/17 10:01:11.544, 1192, 877, 35.97, 46, 44, 99, 11402, Not Active, Not Active, Not Active
2026/07/17 10:01:11.597, 1192, 877, 35.97, 46, 44, 99, 11402, Not Active, Not Active, Not Active
2026/07/17 10:01:11.649, 1192, 877, 35.97, 46, 44, 99, 11402, Not Active, Not Active, Not Active
2026/07/17 10:01:11.702, 1192, 877, 35.97, 46, 44, 99, 11402, Not Active, Not Active, Not Active
2026/07/17 10:01:11.755, 1192, 877, 35.97, 46, 44, 99, 11402, Not Active, Not Active, Not Active
2026/07/17 10:01:11.808, 1192, 877, 35.97, 46, 44, 99, 11402, Not Active, Not Active, Not Active
2026/07/17 10:01:11.860, 1192, 877, 35.97, 46, 44, 99, 11402, Not Active, Not Active, Not Active
2026/07/17 10:01:11.912, 1192, 877, 35.97, 46, 44, 99, 11402, Not Active, Not Active, Not Active
2026/07/17 10:01:11.965, 1192, 877, 35.97, 46, 44, 99, 11402, Not Active, Not Active, Not Active
