timestamp,graphics_clock_mhz,memory_clock_mhz,power_w,gpu_temperature_c,memory_temperature_c,gpu_util_pct,memory_used_mib,sw_power_cap,sw_thermal_slowdown,hw_thermal_slowdown
2026/07/17 10:01:31.360, 1192, 877, 35.00, 46, 44, 0, 6, Not Active, Not Active, Not Active
2026/07/17 10:01:31.413, 1192, 877, 35.00, 46, 44, 0, 8, Not Active, Not Active, Not Active
2026/07/17 10:01:31.465, 1192, 877, 35.00, 46, 44, 0, 20, Not Active, Not Active, Not Active
2026/07/17 10:01:31.524, 1192, 877, 35.00, 46, 44, 0, 316, Not Active, Not Active, Not Active
2026/07/17 10:01:31.576, 1192, 877, 35.00, 46, 44, 0, 316, Not Active, Not Active, Not Active
2026/07/17 10:01:31.627, 1192, 877, 35.49, 46, 44, 3, 316, Not Active, Not Active, Not Active
2026/07/17 10:01:31.680, 1192, 877, 35.00, 46, 44, 3, 316, Not Active, Not Active, Not Active
2026/07/17 10:01:31.732, 1192, 877, 35.00, 46, 44, 3, 316, Not Active, Not Active, Not Active
2026/07/17 10:01:31.783, 1192, 877, 35.97, 46, 44, 11, 11402, Not Active, Not Active, Not Active
2026/07/17 10:01:31.836, 1192, 877, 35.97, 46, 44, 11, 11402, Not Active, Not Active, Not Active
2026/07/17 10:01:31.889, 1192, 877, 35.97, 46, 44, 11, 11402, Not Active, Not Active, Not Active
2026/07/17 10:01:31.941, 1192, 877, 35.97, 46, 44, 100, 11402, Not Active, Not Active, Not Active
2026/07/17 10:01:31.994, 1192, 877, 35.97, 46, 44, 100, 11402, Not Active, Not Active, Not Active
2026/07/17 10:01:32.046, 1192, 877, 35.97, 46, 44, 100, 11402, Not Active, Not Active, Not Active
2026/07/17 10:01:32.099, 1192, 877, 35.97, 46, 44, 100, 11402, Not Active, Not Active, Not Active
2026/07/17 10:01:32.151, 1192, 877, 35.97, 46, 44, 100, 11402, Not Active, Not Active, Not Active
2026/07/17 10:01:32.204, 1192, 877, 35.97, 46, 44, 100, 11402, Not Active, Not Active, Not Active
2026/07/17 10:01:32.257, 1192, 877, 35.97, 46, 44, 100, 11402, Not Active, Not Active, Not Active
2026/07/17 10:01:32.309, 1192, 877, 35.97, 46, 44, 99, 11402, Not Active, Not Active, Not Active
2026/07/17 10:01:32.363, 1192, 877, 35.97, 46, 44, 99, 11402, Not Active, Not Active, Not Active
2026/07/17 10:01:32.415, 1192, 877, 35.97, 46, 44, 99, 11402, Not Active, Not Active, Not Active
2026/07/17 10:01:32.468, 1192, 877, 35.97, 46, 44, 99, 11402, Not Active, Not Active, Not Active
2026/07/17 10:01:32.520, 1192, 877, 35.97, 46, 44, 99, 11402, Not Active, Not Active, Not Active
2026/07/17 10:01:32.573, 1192, 877, 35.97, 46, 44, 99, 11402, Not Active, Not Active, Not Active
2026/07/17 10:01:32.625, 1192, 877, 35.97, 46, 44, 99, 11402, Not Active, Not Active, Not Active
2026/07/17 10:01:32.678, 1192, 877, 35.97, 46, 44, 99, 11402, Not Active, Not Active, Not Active
2026/07/17 10:01:32.730, 1192, 877, 35.97, 46, 44, 99, 11402, Not Active, Not Active, Not Active
2026/07/17 10:01:32.784, 1192, 877, 35.97, 46, 44, 99, 11402, Not Active, Not Active, Not Active
2026/07/17 10:01:32.836, 1192, 877, 35.97, 46, 44, 99, 11402, Not Active, Not Active, Not Active
2026/07/17 10:01:32.889, 1192, 877, 35.97, 46, 44, 99, 11402, Not Active, Not Active, Not Active
2026/07/17 10:01:32.941, 1192, 877, 35.97, 46, 44, 99, 11402, Not Active, Not Active, Not Active
2026/07/17 10:01:32.994, 1192, 877, 35.97, 46, 44, 99, 11402, Not Active, Not Active, Not Active
2026/07/17 10:01:33.046, 1192, 877, 35.97, 46, 44, 99, 11402, Not Active, Not Active, Not Active
