timestamp,graphics_clock_mhz,memory_clock_mhz,power_w,gpu_temperature_c,memory_temperature_c,gpu_util_pct,memory_used_mib,sw_power_cap,sw_thermal_slowdown,hw_thermal_slowdown
2026/07/17 10:01:23.850, 1192, 877, 35.00, 46, 44, 0, 6, Not Active, Not Active, Not Active
2026/07/17 10:01:23.902, 1192, 877, 35.00, 46, 44, 0, 8, Not Active, Not Active, Not Active
2026/07/17 10:01:23.954, 1192, 877, 35.00, 46, 44, 0, 8, Not Active, Not Active, Not Active
2026/07/17 10:01:24.006, 1192, 877, 35.00, 46, 44, 0, 316, Not Active, Not Active, Not Active
2026/07/17 10:01:24.058, 1192, 877, 35.00, 46, 44, 0, 316, Not Active, Not Active, Not Active
2026/07/17 10:01:24.110, 1192, 877, 35.00, 46, 44, 3, 316, Not Active, Not Active, Not Active
2026/07/17 10:01:24.162, 1192, 877, 35.00, 46, 44, 3, 316, Not Active, Not Active, Not Active
2026/07/17 10:01:24.213, 1192, 877, 35.00, 46, 44, 3, 316, Not Active, Not Active, Not Active
2026/07/17 10:01:24.265, 1192, 877, 35.00, 46, 44, 0, 11402, Not Active, Not Active, Not Active
2026/07/17 10:01:24.318, 1192, 877, 35.49, 46, 44, 0, 11402, Not Active, Not Active, Not Active
2026/07/17 10:01:24.370, 1192, 877, 35.49, 46, 44, 0, 11402, Not Active, Not Active, Not Active
2026/07/17 10:01:24.423, 1192, 877, 35.49, 46, 44, 82, 11402, Not Active, Not Active, Not Active
2026/07/17 10:01:24.476, 1192, 877, 35.49, 46, 44, 82, 11402, Not Active, Not Active, Not Active
2026/07/17 10:01:24.528, 1192, 877, 35.49, 46, 44, 82, 11402, Not Active, Not Active, Not Active
2026/07/17 10:01:24.581, 1192, 877, 35.49, 46, 44, 100, 11402, Not Active, Not Active, Not Active
2026/07/17 10:01:24.633, 1192, 877, 35.49, 46, 44, 100, 11402, Not Active, Not Active, Not Active
2026/07/17 10:01:24.686, 1192, 877, 35.49, 46, 44, 100, 11402, Not Active, Not Active, Not Active
2026/07/17 10:01:24.739, 1192, 877, 35.49, 46, 44, 99, 11402, Not Active, Not Active, Not Active
2026/07/17 10:01:24.791, 1192, 877, 35.49, 46, 44, 99, 11402, Not Active, Not Active, Not Active
2026/07/17 10:01:24.844, 1192, 877, 35.49, 46, 44, 99, 11402, Not Active, Not Active, Not Active
2026/07/17 10:01:24.896, 1192, 877, 35.49, 46, 44, 99, 11402, Not Active, Not Active, Not Active
2026/07/17 10:01:24.949, 1192, 877, 35.49, 46, 44, 99, 11402, Not Active, Not Active, Not Active
2026/07/17 10:01:25.002, 1192, 877, 35.49, 46, 44, 99, 11402, Not Active, Not Active, Not Active
