timestamp, clocks.current.graphics [MHz], clocks.current.memory [MHz], power.draw [W], temperature.gpu, temperature.memory, utilization.gpu [%], memory.used [MiB], clocks_event_reasons.sw_power_cap, clocks_event_reasons.sw_thermal_slowdown, clocks_event_reasons.hw_thermal_slowdown
2026/07/17 09:53:22.159, 1192, 877, 35.49, 49, 47, 0, 6, Not Active, Not Active, Not Active
2026/07/17 09:53:22.211, 1192, 877, 35.49, 49, 47, 0, 8, Not Active, Not Active, Not Active
2026/07/17 09:53:22.263, 1192, 877, 35.49, 49, 47, 0, 8, Not Active, Not Active, Not Active
2026/07/17 09:53:22.315, 1192, 877, 35.49, 49, 47, 0, 316, Not Active, Not Active, Not Active
2026/07/17 09:53:22.367, 1192, 877, 35.49, 49, 48, 3, 316, Not Active, Not Active, Not Active
2026/07/17 09:53:22.419, 1192, 877, 35.49, 49, 47, 3, 316, Not Active, Not Active, Not Active
2026/07/17 09:53:22.470, 1192, 877, 35.49, 49, 47, 3, 316, Not Active, Not Active, Not Active
2026/07/17 09:53:22.522, 1192, 877, 35.49, 49, 47, 0, 316, Not Active, Not Active, Not Active
2026/07/17 09:53:22.574, 1192, 877, 35.97, 49, 47, 0, 11402, Not Active, Not Active, Not Active
2026/07/17 09:53:22.627, 1192, 877, 36.46, 49, 47, 0, 11402, Not Active, Not Active, Not Active
2026/07/17 09:53:22.679, 1192, 877, 36.46, 49, 47, 55, 11402, Not Active, Not Active, Not Active
2026/07/17 09:53:22.732, 1192, 877, 36.46, 49, 47, 55, 11402, Not Active, Not Active, Not Active
2026/07/17 09:53:22.784, 1192, 877, 36.46, 49, 47, 55, 11402, Not Active, Not Active, Not Active
2026/07/17 09:53:22.837, 1192, 877, 36.46, 49, 47, 100, 11402, Not Active, Not Active, Not Active
2026/07/17 09:53:22.890, 1192, 877, 36.46, 49, 47, 100, 11402, Not Active, Not Active, Not Active
2026/07/17 09:53:22.942, 1192, 877, 36.46, 49, 47, 100, 11402, Not Active, Not Active, Not Active
2026/07/17 09:53:22.995, 1192, 877, 36.46, 49, 47, 100, 11402, Not Active, Not Active, Not Active
2026/07/17 09:53:23.047, 1192, 877, 36.46, 49, 47, 99, 11402, Not Active, Not Active, Not Active
2026/07/17 09:53:23.100, 1192, 877, 36.46, 49, 47, 99, 11402, Not Active, Not Active, Not Active
2026/07/17 09:53:23.153, 1192, 877, 36.46, 49, 47, 99, 11402, Not Active, Not Active, Not Active
2026/07/17 09:53:23.205, 1192, 877, 36.46, 49, 47, 99, 11402, Not Active, Not Active, Not Active
2026/07/17 09:53:23.258, 1192, 877, 36.46, 49, 47, 99, 11402, Not Active, Not Active, Not Active
2026/07/17 09:53:23.310, 1192, 877, 36.46, 49, 47, 99, 11402, Not Active, Not Active, Not Active
2026/07/17 09:53:23.363, 1192, 877, 36.46, 49, 47, 99, 11402, Not Active, Not Active, Not Active
2026/07/17 09:53:23.415, 1192, 877, 36.46, 49, 47, 99, 11402, Not Active, Not Active, Not Active
2026/07/17 09:53:23.468, 1192, 877, 36.46, 49, 47, 99, 11402, Not Active, Not Active, Not Active
2026/07/17 09:53:23.520, 1192, 877, 36.46, 49, 47, 99, 11402, Not Active, Not Active, Not Active
2026/07/17 09:53:23.573, 1192, 877, 36.46, 49, 47, 99, 11402, Not Active, Not Active, Not Active
2026/07/17 09:53:23.625, 1192, 877, 36.46, 49, 47, 99, 11402, Not Active, Not Active, Not Active
2026/07/17 09:53:23.678, 1192, 877, 36.46, 49, 47, 99, 11402, Not Active, Not Active, Not Active
2026/07/17 09:53:23.730, 1192, 877, 36.46, 49, 47, 99, 11402, Not Active, Not Active, Not Active
2026/07/17 09:53:23.783, 1192, 877, 36.46, 49, 47, 99, 11402, Not Active, Not Active, Not Active
2026/07/17 09:53:23.835, 1192, 877, 36.46, 49, 47, 99, 11402, Not Active, Not Active, Not Active
2026/07/17 09:53:23.888, 1192, 877, 36.46, 49, 47, 99, 11402, Not Active, Not Active, Not Active
2026/07/17 09:53:23.940, 1192, 877, 36.46, 49, 47, 99, 11402, Not Active, Not Active, Not Active
2026/07/17 09:53:23.993, 1192, 877, 36.46, 49, 47, 99, 11402, Not Active, Not Active, Not Active
2026/07/17 09:53:24.046, 1192, 877, 36.46, 49, 47, 99, 11402, Not Active, Not Active, Not Active
2026/07/17 09:53:24.098, 1192, 877, 36.46, 49, 47, 99, 11402, Not Active, Not Active, Not Active
2026/07/17 09:53:24.151, 1192, 877, 36.46, 49, 47, 99, 11402, Not Active, Not Active, Not Active
2026/07/17 09:53:24.203, 1192, 877, 36.46, 49, 47, 99, 11402, Not Active, Not Active, Not Active
2026/07/17 09:53:24.256, 1192, 877, 36.46, 49, 47, 99, 11402, Not Active, Not Active, Not Active
2026/07/17 09:53:24.308, 1192, 877, 36.46, 49, 47, 99, 11402, Not Active, Not Active, Not Active
2026/07/17 09:53:24.360, 1192, 877, 36.46, 49, 48, 99, 11402, Not Active, Not Active, Not Active
2026/07/17 09:53:24.417, 1192, 877, 36.46, 49, 47, 99, 11402, Not Active, Not Active, Not Active
2026/07/17 09:53:24.469, 1192, 877, 36.46, 49, 47, 99, 11402, Not Active, Not Active, Not Active
2026/07/17 09:53:24.522, 1192, 877, 36.46, 49, 47, 99, 11402, Not Active, Not Active, Not Active
2026/07/17 09:53:24.574, 1192, 877, 36.46, 49, 47, 99, 11402, Not Active, Not Active, Not Active
2026/07/17 09:53:24.627, 1192, 877, 36.46, 49, 47, 99, 11402, Not Active, Not Active, Not Active
2026/07/17 09:53:24.680, 1192, 877, 36.46, 49, 47, 99, 11402, Not Active, Not Active, Not Active
2026/07/17 09:53:24.732, 1192, 877, 36.46, 49, 47, 99, 11402, Not Active, Not Active, Not Active
2026/07/17 09:53:24.785, 1192, 877, 36.46, 49, 47, 99, 11402, Not Active, Not Active, Not Active
2026/07/17 09:53:24.837, 1192, 877, 36.46, 49, 47, 99, 11402, Not Active, Not Active, Not Active
2026/07/17 09:53:24.890, 1192, 877, 36.46, 49, 47, 99, 11402, Not Active, Not Active, Not Active
2026/07/17 09:53:24.943, 1192, 877, 36.46, 49, 47, 99, 11402, Not Active, Not Active, Not Active
2026/07/17 09:53:24.995, 1192, 877, 36.46, 49, 47, 99, 11402, Not Active, Not Active, Not Active
2026/07/17 09:53:25.048, 1192, 877, 36.46, 49, 47, 99, 11402, Not Active, Not Active, Not Active
2026/07/17 09:53:25.100, 1192, 877, 36.46, 49, 47, 99, 11402, Not Active, Not Active, Not Active
2026/07/17 09:53:25.153, 1192, 877, 36.46, 49, 47, 99, 11402, Not Active, Not Active, Not Active
2026/07/17 09:53:25.205, 1192, 877, 36.46, 49, 47, 99, 11402, Not Active, Not Active, Not Active
2026/07/17 09:53:25.280, 1192, 877, 36.46, 49, 47, 99, 11402, Not Active, Not Active, Not Active
2026/07/17 09:53:25.335, 1192, 877, 36.46, 49, 47, 99, 11402, Not Active, Not Active, Not Active
2026/07/17 09:53:25.388, 1192, 877, 36.46, 49, 47, 99, 11402, Not Active, Not Active, Not Active
2026/07/17 09:53:25.440, 1192, 877, 36.46, 49, 48, 99, 11402, Not Active, Not Active, Not Active
2026/07/17 09:53:25.493, 1192, 877, 36.46, 49, 47, 99, 11402, Not Active, Not Active, Not Active
2026/07/17 09:53:25.545, 1192, 877, 36.46, 49, 47, 99, 11402, Not Active, Not Active, Not Active
2026/07/17 09:53:25.598, 1192, 877, 36.46, 49, 47, 99, 11402, Not Active, Not Active, Not Active
