timestamp,power.draw_w,power.limit_w,clocks.sm_mhz,clocks.mem_mhz,utilization.gpu_percent,memory.used_mib,temperature_gpu_c
2026/07/13 20:47:57.771, 21.79, 150.00, 135, 877, 0, 6, 45
2026/07/13 20:47:58.772, 21.79, 150.00, 135, 877, 0, 6, 44
2026/07/13 20:47:59.774, 21.79, 150.00, 135, 877, 0, 6, 44
2026/07/13 20:48:00.776, 21.79, 150.00, 135, 877, 0, 6, 44
2026/07/13 20:48:01.777, 21.79, 150.00, 135, 877, 0, 6, 44
2026/07/13 20:48:02.779, 21.79, 150.00, 135, 877, 0, 6, 44
2026/07/13 20:48:03.781, 21.79, 150.00, 135, 877, 0, 8, 44
2026/07/13 20:48:04.782, 51.22, 150.00, 1530, 877, 99, 6708, 45
2026/07/13 20:48:05.784, 51.70, 150.00, 1530, 877, 99, 6708, 45
2026/07/13 20:48:06.786, 50.74, 150.00, 1530, 877, 0, 7406, 46
2026/07/13 20:48:07.787, 144.58, 150.00, 1050, 877, 95, 7582, 49
2026/07/13 20:48:08.799, 153.12, 150.00, 1042, 877, 99, 7582, 50
2026/07/13 20:48:09.806, 45.93, 150.00, 1447, 877, 0, 6964, 47
2026/07/13 20:48:10.807, 145.63, 150.00, 1267, 877, 98, 6966, 50
2026/07/13 20:48:11.811, 145.44, 150.00, 1267, 877, 98, 6966, 50
2026/07/13 20:48:12.813, 147.08, 150.00, 1267, 877, 98, 6966, 51
2026/07/13 20:48:13.820, 144.00, 150.00, 1252, 877, 98, 6966, 52
2026/07/13 20:48:14.825, 142.94, 150.00, 1245, 877, 98, 6966, 52
2026/07/13 20:48:15.827, 147.08, 150.00, 1260, 877, 98, 6966, 53
2026/07/13 20:48:16.828, 146.78, 150.00, 1260, 877, 98, 6966, 53
2026/07/13 20:48:17.829, 149.76, 150.00, 1260, 877, 98, 6966, 54
2026/07/13 20:48:18.834, 143.14, 150.00, 1245, 877, 98, 6966, 54
2026/07/13 20:48:19.838, 53.63, 150.00, 1530, 877, 84, 6, 52
2026/07/13 20:48:20.840, 53.15, 150.00, 1530, 877, 0, 6, 52
2026/07/13 20:48:21.842, 53.15, 150.00, 1530, 877, 0, 6, 51
2026/07/13 20:48:22.843, 52.67, 150.00, 1530, 877, 0, 6, 51
^C
