timestamp,power.draw_w,power.limit_w,clocks.sm_mhz,clocks.mem_mhz,utilization.gpu_percent,memory.used_mib,temperature_gpu_c
2026/07/13 20:48:58.238, 21.79, 150.00, 135, 877, 0, 6, 43
2026/07/13 20:48:59.239, 21.79, 150.00, 135, 877, 0, 6, 43
2026/07/13 20:49:00.242, 21.30, 150.00, 135, 877, 0, 6, 43
2026/07/13 20:49:01.244, 21.30, 150.00, 135, 877, 0, 6, 43
2026/07/13 20:49:02.245, 21.30, 150.00, 135, 877, 0, 6, 43
2026/07/13 20:49:03.248, 21.79, 150.00, 135, 877, 0, 6, 43
2026/07/13 20:49:04.250, 21.30, 150.00, 135, 877, 0, 6, 43
2026/07/13 20:49:05.252, 21.30, 150.00, 135, 877, 0, 6, 43
2026/07/13 20:49:06.254, 21.30, 150.00, 135, 877, 0, 6, 42
2026/07/13 20:49:07.256, 21.30, 150.00, 135, 877, 0, 6, 42
2026/07/13 20:49:08.258, 21.30, 150.00, 135, 877, 0, 6, 42
2026/07/13 20:49:09.260, 21.30, 150.00, 135, 877, 0, 6, 42
2026/07/13 20:49:10.262, 21.30, 150.00, 135, 877, 0, 6, 42
2026/07/13 20:49:11.263, 21.30, 150.00, 135, 877, 0, 6, 42
2026/07/13 20:49:12.265, 21.30, 150.00, 135, 877, 0, 6, 42
2026/07/13 20:49:13.267, 38.68, 100.00, 1312, 877, 3, 316, 43
2026/07/13 20:49:14.268, 50.74, 100.00, 1530, 877, 99, 6708, 44
2026/07/13 20:49:15.270, 50.74, 100.00, 1530, 877, 99, 6708, 44
2026/07/13 20:49:16.272, 49.77, 100.00, 1530, 877, 0, 7406, 44
2026/07/13 20:49:17.273, 104.03, 100.00, 720, 877, 100, 7582, 46
2026/07/13 20:49:18.288, 93.85, 100.00, 667, 877, 100, 7582, 46
2026/07/13 20:49:19.321, 101.75, 100.00, 682, 877, 100, 7582, 47
2026/07/13 20:49:20.346, 38.68, 100.00, 1312, 877, 0, 6964, 45
2026/07/13 20:49:21.348, 99.89, 100.00, 930, 877, 98, 6966, 46
2026/07/13 20:49:22.357, 101.55, 100.00, 930, 877, 98, 6966, 47
2026/07/13 20:49:23.371, 102.51, 100.00, 952, 877, 98, 6966, 47
2026/07/13 20:49:24.410, 101.68, 100.00, 937, 877, 98, 6966, 48
2026/07/13 20:49:25.427, 102.03, 100.00, 922, 877, 98, 6966, 48
2026/07/13 20:49:26.441, 101.62, 100.00, 930, 877, 99, 6966, 48
2026/07/13 20:49:27.452, 102.58, 100.00, 930, 877, 98, 6966, 49
2026/07/13 20:49:28.468, 101.20, 100.00, 930, 877, 98, 6966, 49
2026/07/13 20:49:29.484, 102.99, 100.00, 915, 877, 99, 6966, 49
2026/07/13 20:49:30.498, 101.55, 100.00, 915, 877, 98, 6966, 49
2026/07/13 20:49:31.511, 45.45, 100.00, 922, 877, 98, 354, 50
2026/07/13 20:49:32.520, 53.15, 150.00, 1530, 877, 99, 6708, 49
2026/07/13 20:49:33.523, 52.67, 150.00, 1530, 877, 99, 6708, 49
2026/07/13 20:49:34.524, 51.70, 150.00, 1530, 877, 0, 7406, 49
2026/07/13 20:49:35.526, 146.50, 150.00, 1050, 877, 98, 7582, 51
2026/07/13 20:49:36.528, 141.21, 150.00, 1027, 877, 100, 7582, 52
