timestamp, index, uuid, power.draw [W], power.limit [W], clocks.current.sm [MHz], clocks.current.memory [MHz], utilization.gpu [%], memory.used [MiB], temperature.gpu
2026/07/13 21:28:37.505, 1, ${V100_GPU_1_UUID}, 20.33, 150.00, 135, 877, 0, 6, 38
2026/07/13 21:28:37.706, 1, ${V100_GPU_1_UUID}, 36.77, 150.00, 1312, 877, 4, 316, 39
2026/07/13 21:28:37.908, 1, ${V100_GPU_1_UUID}, 47.38, 150.00, 1530, 877, 47, 844, 39
2026/07/13 21:28:38.109, 1, ${V100_GPU_1_UUID}, 113.51, 150.00, 1530, 877, 84, 946, 41
2026/07/13 21:28:38.311, 1, ${V100_GPU_1_UUID}, 116.87, 150.00, 1530, 877, 96, 946, 42
2026/07/13 21:28:38.512, 1, ${V100_GPU_1_UUID}, 119.60, 150.00, 1530, 877, 97, 946, 43
2026/07/13 21:28:38.713, 1, ${V100_GPU_1_UUID}, 121.20, 150.00, 1530, 877, 97, 946, 43
2026/07/13 21:28:38.914, 1, ${V100_GPU_1_UUID}, 149.08, 150.00, 1477, 877, 83, 994, 43
2026/07/13 21:28:39.116, 1, ${V100_GPU_1_UUID}, 146.68, 150.00, 1477, 877, 97, 994, 44
2026/07/13 21:28:39.317, 1, ${V100_GPU_1_UUID}, 146.98, 150.00, 1470, 877, 97, 994, 44
2026/07/13 21:28:39.518, 1, ${V100_GPU_1_UUID}, 126.41, 150.00, 1417, 877, 94, 1024, 44
2026/07/13 21:28:39.719, 1, ${V100_GPU_1_UUID}, 141.12, 150.00, 1402, 877, 97, 1024, 44
2026/07/13 21:28:39.921, 1, ${V100_GPU_1_UUID}, 147.64, 150.00, 1417, 877, 95, 1056, 45
2026/07/13 21:28:40.123, 1, ${V100_GPU_1_UUID}, 143.62, 150.00, 1402, 877, 97, 1056, 45
2026/07/13 21:28:40.326, 1, ${V100_GPU_1_UUID}, 150.34, 150.00, 1357, 877, 97, 1116, 45
2026/07/13 21:28:40.532, 1, ${V100_GPU_1_UUID}, 137.76, 150.00, 1342, 877, 95, 1116, 45
2026/07/13 21:28:40.734, 1, ${V100_GPU_1_UUID}, 143.81, 150.00, 1327, 877, 97, 1178, 45
2026/07/13 21:28:40.940, 1, ${V100_GPU_1_UUID}, 144.29, 150.00, 1320, 877, 96, 1300, 45
2026/07/13 21:28:41.145, 1, ${V100_GPU_1_UUID}, 153.12, 150.00, 1297, 877, 97, 1300, 45
2026/07/13 21:28:41.352, 1, ${V100_GPU_1_UUID}, 155.21, 150.00, 1297, 877, 95, 1422, 46
2026/07/13 21:28:41.555, 1, ${V100_GPU_1_UUID}, 42.07, 150.00, 1402, 877, 97, 8, 43
2026/07/13 21:28:41.756, 1, ${V100_GPU_1_UUID}, 41.58, 150.00, 1402, 877, 12, 316, 43
2026/07/13 21:28:41.958, 1, ${V100_GPU_1_UUID}, 48.35, 150.00, 1530, 877, 83, 1080, 43
2026/07/13 21:28:42.159, 1, ${V100_GPU_1_UUID}, 121.12, 150.00, 1530, 877, 84, 1182, 44
2026/07/13 21:28:42.361, 1, ${V100_GPU_1_UUID}, 124.09, 150.00, 1530, 877, 95, 1182, 45
2026/07/13 21:28:42.562, 1, ${V100_GPU_1_UUID}, 127.76, 150.00, 1530, 877, 97, 1182, 45
2026/07/13 21:28:42.763, 1, ${V100_GPU_1_UUID}, 126.41, 150.00, 1530, 877, 96, 1182, 46
2026/07/13 21:28:42.964, 1, ${V100_GPU_1_UUID}, 142.46, 150.00, 1440, 877, 83, 1230, 46
2026/07/13 21:28:43.166, 1, ${V100_GPU_1_UUID}, 146.68, 150.00, 1440, 877, 96, 1230, 46
2026/07/13 21:28:43.367, 1, ${V100_GPU_1_UUID}, 145.54, 150.00, 1455, 877, 96, 1230, 46
2026/07/13 21:28:43.568, 1, ${V100_GPU_1_UUID}, 148.80, 150.00, 1372, 877, 94, 1260, 47
2026/07/13 21:28:43.769, 1, ${V100_GPU_1_UUID}, 146.02, 150.00, 1387, 877, 96, 1260, 47
2026/07/13 21:28:43.971, 1, ${V100_GPU_1_UUID}, 149.18, 150.00, 1357, 877, 94, 1292, 47
2026/07/13 21:28:44.173, 1, ${V100_GPU_1_UUID}, 90.54, 150.00, 1342, 877, 96, 1352, 47
2026/07/13 21:28:44.375, 1, ${V100_GPU_1_UUID}, 138.81, 150.00, 1312, 877, 94, 1352, 47
2026/07/13 21:28:44.577, 1, ${V100_GPU_1_UUID}, 140.55, 150.00, 1297, 877, 97, 1414, 47
2026/07/13 21:28:44.783, 1, ${V100_GPU_1_UUID}, 148.90, 150.00, 1312, 877, 95, 1536, 47
2026/07/13 21:28:44.984, 1, ${V100_GPU_1_UUID}, 142.85, 150.00, 1275, 877, 97, 1536, 47
