timestamp, index, uuid, power.draw [W], power.limit [W], clocks.current.sm [MHz], clocks.current.memory [MHz], utilization.gpu [%], memory.used [MiB], temperature.gpu
2026/07/13 21:31:40.475, 1, ${V100_GPU_1_UUID}, 21.30, 150.00, 135, 877, 0, 6, 41
2026/07/13 21:31:40.676, 1, ${V100_GPU_1_UUID}, 36.29, 150.00, 1312, 877, 4, 316, 41
2026/07/13 21:31:40.878, 1, ${V100_GPU_1_UUID}, 38.20, 150.00, 1312, 877, 0, 316, 42
2026/07/13 21:31:41.079, 1, ${V100_GPU_1_UUID}, 39.17, 150.00, 1312, 877, 9, 11402, 42
2026/07/13 21:31:41.281, 1, ${V100_GPU_1_UUID}, 44.97, 150.00, 1447, 877, 100, 11402, 42
2026/07/13 21:31:41.483, 1, ${V100_GPU_1_UUID}, 49.77, 150.00, 1530, 877, 100, 11402, 42
2026/07/13 21:31:41.686, 1, ${V100_GPU_1_UUID}, 50.25, 150.00, 1530, 877, 99, 11402, 42
2026/07/13 21:31:41.887, 1, ${V100_GPU_1_UUID}, 50.25, 150.00, 1530, 877, 99, 11402, 43
2026/07/13 21:31:42.089, 1, ${V100_GPU_1_UUID}, 50.25, 150.00, 1530, 877, 99, 11402, 43
2026/07/13 21:31:42.291, 1, ${V100_GPU_1_UUID}, 50.25, 150.00, 1530, 877, 99, 11402, 43
2026/07/13 21:31:42.493, 1, ${V100_GPU_1_UUID}, 50.25, 150.00, 1530, 877, 99, 11402, 43
2026/07/13 21:31:42.695, 1, ${V100_GPU_1_UUID}, 50.25, 150.00, 1530, 877, 99, 11402, 43
2026/07/13 21:31:42.896, 1, ${V100_GPU_1_UUID}, 50.25, 150.00, 1530, 877, 99, 11402, 43
2026/07/13 21:31:43.098, 1, ${V100_GPU_1_UUID}, 50.25, 150.00, 1530, 877, 99, 11402, 43
2026/07/13 21:31:43.300, 1, ${V100_GPU_1_UUID}, 50.25, 150.00, 1530, 877, 99, 11402, 43
2026/07/13 21:31:43.502, 1, ${V100_GPU_1_UUID}, 50.25, 150.00, 1530, 877, 99, 11402, 43
2026/07/13 21:31:43.704, 1, ${V100_GPU_1_UUID}, 50.29, 150.00, 1530, 877, 99, 11402, 43
2026/07/13 21:31:43.905, 1, ${V100_GPU_1_UUID}, 50.29, 150.00, 1530, 877, 99, 11402, 43
2026/07/13 21:31:44.107, 1, ${V100_GPU_1_UUID}, 50.25, 150.00, 1530, 877, 99, 11402, 43
2026/07/13 21:31:44.309, 1, ${V100_GPU_1_UUID}, 50.25, 150.00, 1530, 877, 99, 11402, 43
2026/07/13 21:31:44.513, 1, ${V100_GPU_1_UUID}, 50.25, 150.00, 1530, 877, 99, 11402, 43
2026/07/13 21:31:44.714, 1, ${V100_GPU_1_UUID}, 199.23, 150.00, 1192, 877, 29, 12326, 45
2026/07/13 21:31:44.926, 1, ${V100_GPU_1_UUID}, 143.62, 150.00, 990, 877, 97, 12326, 46
2026/07/13 21:31:45.132, 1, ${V100_GPU_1_UUID}, 148.42, 150.00, 1005, 877, 100, 12326, 46
2026/07/13 21:31:45.333, 1, ${V100_GPU_1_UUID}, 144.48, 150.00, 1005, 877, 99, 12326, 47
2026/07/13 21:31:45.537, 1, ${V100_GPU_1_UUID}, 143.04, 150.00, 990, 877, 95, 12326, 47
2026/07/13 21:31:45.740, 1, ${V100_GPU_1_UUID}, 142.95, 150.00, 1005, 877, 100, 12326, 47
2026/07/13 21:31:45.941, 1, ${V100_GPU_1_UUID}, 147.94, 150.00, 1005, 877, 100, 12326, 47
2026/07/13 21:31:46.142, 1, ${V100_GPU_1_UUID}, 151.20, 150.00, 990, 877, 100, 12326, 47
2026/07/13 21:31:46.349, 1, ${V100_GPU_1_UUID}, 143.04, 150.00, 997, 877, 99, 12326, 47
2026/07/13 21:31:46.551, 1, ${V100_GPU_1_UUID}, 148.32, 150.00, 997, 877, 100, 12326, 48
2026/07/13 21:31:46.755, 1, ${V100_GPU_1_UUID}, 149.96, 150.00, 1005, 877, 100, 12326, 48
2026/07/13 21:31:46.959, 1, ${V100_GPU_1_UUID}, 160.32, 150.00, 1005, 877, 100, 12326, 48
2026/07/13 21:31:47.165, 1, ${V100_GPU_1_UUID}, 149.28, 150.00, 990, 877, 99, 12326, 48
2026/07/13 21:31:47.375, 1, ${V100_GPU_1_UUID}, 144.96, 150.00, 982, 877, 100, 12326, 48
2026/07/13 21:31:47.576, 1, ${V100_GPU_1_UUID}, 147.26, 150.00, 982, 877, 100, 12326, 48
2026/07/13 21:31:47.784, 1, ${V100_GPU_1_UUID}, 153.50, 150.00, 1095, 877, 93, 11736, 48
2026/07/13 21:31:47.985, 1, ${V100_GPU_1_UUID}, 146.60, 150.00, 1110, 877, 99, 11736, 48
2026/07/13 21:31:48.186, 1, ${V100_GPU_1_UUID}, 148.80, 150.00, 1102, 877, 99, 11736, 49
2026/07/13 21:31:48.394, 1, ${V100_GPU_1_UUID}, 146.88, 150.00, 1102, 877, 99, 11736, 49
