timestamp, index, uuid, power.draw [W], power.limit [W], clocks.current.sm [MHz], clocks.current.memory [MHz], utilization.gpu [%], memory.used [MiB], temperature.gpu
2026/07/13 21:34:17.050, 1, ${V100_GPU_1_UUID}, 21.30, 150.00, 135, 877, 0, 6, 42
2026/07/13 21:34:17.251, 1, ${V100_GPU_1_UUID}, 23.72, 150.00, 1312, 877, 0, 24, 42
2026/07/13 21:34:17.453, 1, ${V100_GPU_1_UUID}, 38.20, 150.00, 1312, 877, 3, 316, 42
2026/07/13 21:34:17.654, 1, ${V100_GPU_1_UUID}, 43.52, 150.00, 1447, 877, 86, 6708, 42
2026/07/13 21:34:17.856, 1, ${V100_GPU_1_UUID}, 49.29, 150.00, 1530, 877, 99, 6708, 43
2026/07/13 21:34:18.057, 1, ${V100_GPU_1_UUID}, 50.25, 150.00, 1530, 877, 99, 6708, 43
2026/07/13 21:34:18.259, 1, ${V100_GPU_1_UUID}, 50.25, 150.00, 1530, 877, 99, 6708, 43
2026/07/13 21:34:18.461, 1, ${V100_GPU_1_UUID}, 50.25, 150.00, 1530, 877, 99, 6708, 43
2026/07/13 21:34:18.663, 1, ${V100_GPU_1_UUID}, 50.25, 150.00, 1530, 877, 99, 6708, 43
2026/07/13 21:34:18.865, 1, ${V100_GPU_1_UUID}, 50.25, 150.00, 1530, 877, 99, 6708, 43
2026/07/13 21:34:19.066, 1, ${V100_GPU_1_UUID}, 50.25, 150.00, 1530, 877, 99, 6708, 43
2026/07/13 21:34:19.268, 1, ${V100_GPU_1_UUID}, 50.25, 150.00, 1530, 877, 99, 6708, 43
2026/07/13 21:34:19.470, 1, ${V100_GPU_1_UUID}, 50.25, 150.00, 1530, 877, 99, 6708, 43
2026/07/13 21:34:19.672, 1, ${V100_GPU_1_UUID}, 186.35, 150.00, 1080, 877, 73, 7582, 46
2026/07/13 21:34:19.873, 1, ${V100_GPU_1_UUID}, 145.54, 150.00, 1065, 877, 97, 7582, 46
2026/07/13 21:34:20.075, 1, ${V100_GPU_1_UUID}, 143.62, 150.00, 1035, 877, 94, 7582, 47
2026/07/13 21:34:20.276, 1, ${V100_GPU_1_UUID}, 142.56, 150.00, 1042, 877, 100, 7582, 47
2026/07/13 21:34:20.481, 1, ${V100_GPU_1_UUID}, 148.32, 150.00, 1042, 877, 99, 7582, 47
2026/07/13 21:34:20.685, 1, ${V100_GPU_1_UUID}, 153.88, 150.00, 1065, 877, 100, 7582, 47
2026/07/13 21:34:20.893, 1, ${V100_GPU_1_UUID}, 149.18, 150.00, 1050, 877, 100, 7582, 47
2026/07/13 21:34:21.097, 1, ${V100_GPU_1_UUID}, 153.60, 150.00, 1282, 877, 99, 6966, 47
