timestamp, index, uuid, power.draw [W], power.limit [W], clocks.current.sm [MHz], clocks.current.memory [MHz], utilization.gpu [%], memory.used [MiB], temperature.gpu
2026/07/13 22:02:03.135, 1, ${V100_GPU_1_UUID}, 21.79, 150.00, 135, 877, 0, 6, 43
2026/07/13 22:02:03.337, 1, ${V100_GPU_1_UUID}, 32.90, 150.00, 1312, 877, 0, 316, 43
2026/07/13 22:02:03.538, 1, ${V100_GPU_1_UUID}, 39.17, 150.00, 1312, 877, 0, 316, 44
2026/07/13 22:02:03.739, 1, ${V100_GPU_1_UUID}, 45.45, 150.00, 1447, 877, 75, 6708, 44
2026/07/13 22:02:03.941, 1, ${V100_GPU_1_UUID}, 50.25, 150.00, 1530, 877, 99, 6708, 44
2026/07/13 22:02:04.142, 1, ${V100_GPU_1_UUID}, 51.22, 150.00, 1530, 877, 99, 6708, 45
2026/07/13 22:02:04.359, 1, ${V100_GPU_1_UUID}, 51.22, 150.00, 1530, 877, 99, 6708, 45
2026/07/13 22:02:04.561, 1, ${V100_GPU_1_UUID}, 51.22, 150.00, 1530, 877, 99, 6708, 45
2026/07/13 22:02:04.763, 1, ${V100_GPU_1_UUID}, 51.22, 150.00, 1530, 877, 99, 6708, 45
2026/07/13 22:02:04.964, 1, ${V100_GPU_1_UUID}, 51.22, 150.00, 1530, 877, 99, 6708, 45
2026/07/13 22:02:05.166, 1, ${V100_GPU_1_UUID}, 51.22, 150.00, 1530, 877, 99, 6708, 45
2026/07/13 22:02:05.368, 1, ${V100_GPU_1_UUID}, 51.22, 150.00, 1530, 877, 99, 6708, 45
2026/07/13 22:02:05.569, 1, ${V100_GPU_1_UUID}, 51.22, 150.00, 1530, 877, 99, 6708, 45
2026/07/13 22:02:05.771, 1, ${V100_GPU_1_UUID}, 156.38, 150.00, 1027, 877, 73, 7582, 47
2026/07/13 22:02:05.972, 1, ${V100_GPU_1_UUID}, 142.08, 150.00, 1072, 877, 97, 7582, 47
2026/07/13 22:02:06.174, 1, ${V100_GPU_1_UUID}, 142.65, 150.00, 1035, 877, 93, 7582, 48
2026/07/13 22:02:06.375, 1, ${V100_GPU_1_UUID}, 132.26, 150.00, 1065, 877, 99, 7582, 48
2026/07/13 22:02:06.577, 1, ${V100_GPU_1_UUID}, 144.96, 150.00, 1057, 877, 100, 7582, 48
2026/07/13 22:02:06.778, 1, ${V100_GPU_1_UUID}, 147.16, 150.00, 1042, 877, 99, 7582, 49
2026/07/13 22:02:06.984, 1, ${V100_GPU_1_UUID}, 148.60, 150.00, 1057, 877, 100, 7582, 49
2026/07/13 22:02:07.186, 1, ${V100_GPU_1_UUID}, 142.65, 150.00, 1027, 877, 99, 7582, 49
2026/07/13 22:02:07.387, 1, ${V100_GPU_1_UUID}, 143.62, 150.00, 1042, 877, 100, 7582, 49
2026/07/13 22:02:07.588, 1, ${V100_GPU_1_UUID}, 146.02, 150.00, 1050, 877, 100, 7582, 49
2026/07/13 22:02:07.790, 1, ${V100_GPU_1_UUID}, 139.77, 150.00, 1312, 877, 99, 6966, 48
2026/07/13 22:02:07.991, 1, ${V100_GPU_1_UUID}, 146.98, 150.00, 1267, 877, 98, 6966, 49
2026/07/13 22:02:08.192, 1, ${V100_GPU_1_UUID}, 147.74, 150.00, 1267, 877, 98, 6966, 49
2026/07/13 22:02:08.394, 1, ${V100_GPU_1_UUID}, 148.12, 150.00, 1260, 877, 98, 6966, 49
2026/07/13 22:02:08.595, 1, ${V100_GPU_1_UUID}, 146.31, 150.00, 1252, 877, 98, 6966, 49
2026/07/13 22:02:08.797, 1, ${V100_GPU_1_UUID}, 143.13, 150.00, 1267, 877, 98, 6966, 49
2026/07/13 22:02:08.998, 1, ${V100_GPU_1_UUID}, 148.62, 150.00, 1267, 877, 98, 6966, 50
2026/07/13 22:02:09.200, 1, ${V100_GPU_1_UUID}, 152.84, 150.00, 1267, 877, 98, 6966, 50
2026/07/13 22:02:09.402, 1, ${V100_GPU_1_UUID}, 144.67, 150.00, 1267, 877, 98, 6966, 50
2026/07/13 22:02:09.604, 1, ${V100_GPU_1_UUID}, 144.96, 150.00, 1245, 877, 98, 6966, 50
