timestamp, index, uuid, power.draw [W], power.limit [W], clocks.current.sm [MHz], clocks.current.memory [MHz], utilization.gpu [%], memory.used [MiB], temperature.gpu
2026/07/13 22:01:19.960, 1, ${V100_GPU_1_UUID}, 20.82, 150.00, 135, 877, 0, 6, 40
2026/07/13 22:01:20.161, 1, ${V100_GPU_1_UUID}, 37.26, 150.00, 1312, 877, 3, 316, 41
2026/07/13 22:01:20.363, 1, ${V100_GPU_1_UUID}, 38.22, 150.00, 1312, 877, 3, 316, 41
2026/07/13 22:01:20.564, 1, ${V100_GPU_1_UUID}, 38.22, 150.00, 1312, 877, 0, 316, 41
2026/07/13 22:01:20.765, 1, ${V100_GPU_1_UUID}, 39.17, 150.00, 1312, 877, 0, 11402, 41
2026/07/13 22:01:20.967, 1, ${V100_GPU_1_UUID}, 44.97, 150.00, 1447, 877, 90, 11402, 41
2026/07/13 22:01:21.169, 1, ${V100_GPU_1_UUID}, 50.25, 150.00, 1530, 877, 99, 11402, 42
2026/07/13 22:01:21.370, 1, ${V100_GPU_1_UUID}, 50.25, 150.00, 1530, 877, 99, 11402, 42
2026/07/13 22:01:21.572, 1, ${V100_GPU_1_UUID}, 50.25, 150.00, 1530, 877, 99, 11402, 42
2026/07/13 22:01:21.774, 1, ${V100_GPU_1_UUID}, 50.25, 150.00, 1530, 877, 99, 11402, 42
2026/07/13 22:01:21.976, 1, ${V100_GPU_1_UUID}, 50.25, 150.00, 1530, 877, 99, 11402, 42
2026/07/13 22:01:22.178, 1, ${V100_GPU_1_UUID}, 50.25, 150.00, 1530, 877, 99, 11402, 42
2026/07/13 22:01:22.379, 1, ${V100_GPU_1_UUID}, 50.25, 150.00, 1530, 877, 99, 11402, 42
2026/07/13 22:01:22.583, 1, ${V100_GPU_1_UUID}, 50.25, 150.00, 1530, 877, 99, 11402, 42
2026/07/13 22:01:22.784, 1, ${V100_GPU_1_UUID}, 50.25, 150.00, 1530, 877, 99, 11402, 42
2026/07/13 22:01:22.986, 1, ${V100_GPU_1_UUID}, 50.25, 150.00, 1530, 877, 99, 11402, 42
2026/07/13 22:01:23.188, 1, ${V100_GPU_1_UUID}, 50.25, 150.00, 1530, 877, 99, 11402, 42
2026/07/13 22:01:23.390, 1, ${V100_GPU_1_UUID}, 50.25, 150.00, 1530, 877, 99, 11402, 42
2026/07/13 22:01:23.591, 1, ${V100_GPU_1_UUID}, 50.25, 150.00, 1530, 877, 99, 11402, 42
2026/07/13 22:01:23.793, 1, ${V100_GPU_1_UUID}, 50.29, 150.00, 1530, 877, 99, 11402, 42
2026/07/13 22:01:23.995, 1, ${V100_GPU_1_UUID}, 50.25, 150.00, 1530, 877, 99, 11402, 42
2026/07/13 22:01:24.197, 1, ${V100_GPU_1_UUID}, 50.25, 150.00, 1530, 877, 99, 11402, 42
2026/07/13 22:01:24.399, 1, ${V100_GPU_1_UUID}, 49.32, 150.00, 1530, 877, 45, 12090, 42
2026/07/13 22:01:24.600, 1, ${V100_GPU_1_UUID}, 49.32, 150.00, 1530, 877, 0, 12090, 42
2026/07/13 22:01:24.801, 1, ${V100_GPU_1_UUID}, 170.65, 150.00, 1005, 877, 0, 12326, 45
2026/07/13 22:01:25.003, 1, ${V100_GPU_1_UUID}, 148.80, 150.00, 1005, 877, 74, 12326, 45
2026/07/13 22:01:25.204, 1, ${V100_GPU_1_UUID}, 150.24, 150.00, 997, 877, 100, 14566, 46
2026/07/13 22:01:25.405, 1, ${V100_GPU_1_UUID}, 144.00, 150.00, 1005, 877, 100, 14566, 46
2026/07/13 22:01:25.607, 1, ${V100_GPU_1_UUID}, 210.35, 150.00, 1050, 877, 100, 14566, 46
2026/07/13 22:01:25.808, 1, ${V100_GPU_1_UUID}, 144.96, 150.00, 982, 877, 93, 14566, 46
2026/07/13 22:01:26.010, 1, ${V100_GPU_1_UUID}, 150.24, 150.00, 990, 877, 100, 14566, 46
2026/07/13 22:01:26.211, 1, ${V100_GPU_1_UUID}, 151.20, 150.00, 1005, 877, 100, 14566, 47
2026/07/13 22:01:26.412, 1, ${V100_GPU_1_UUID}, 227.11, 150.00, 1357, 877, 100, 14566, 46
2026/07/13 22:01:26.613, 1, ${V100_GPU_1_UUID}, 147.36, 150.00, 1005, 877, 93, 14566, 47
2026/07/13 22:01:26.815, 1, ${V100_GPU_1_UUID}, 154.08, 150.00, 997, 877, 100, 14566, 47
2026/07/13 22:01:27.016, 1, ${V100_GPU_1_UUID}, 148.90, 150.00, 1005, 877, 100, 14566, 47
2026/07/13 22:01:27.217, 1, ${V100_GPU_1_UUID}, 51.25, 150.00, 1447, 877, 100, 14566, 46
2026/07/13 22:01:27.418, 1, ${V100_GPU_1_UUID}, 136.23, 150.00, 990, 877, 93, 14566, 47
2026/07/13 22:01:27.620, 1, ${V100_GPU_1_UUID}, 151.20, 150.00, 1005, 877, 100, 14566, 48
2026/07/13 22:01:27.821, 1, ${V100_GPU_1_UUID}, 147.26, 150.00, 997, 877, 100, 14566, 48
2026/07/13 22:01:28.022, 1, ${V100_GPU_1_UUID}, 39.67, 150.00, 1312, 877, 100, 14566, 46
2026/07/13 22:01:28.224, 1, ${V100_GPU_1_UUID}, 140.64, 150.00, 982, 877, 93, 14566, 48
2026/07/13 22:01:28.425, 1, ${V100_GPU_1_UUID}, 149.00, 150.00, 990, 877, 100, 14566, 48
2026/07/13 22:01:28.626, 1, ${V100_GPU_1_UUID}, 147.94, 150.00, 990, 877, 100, 14566, 48
2026/07/13 22:01:28.827, 1, ${V100_GPU_1_UUID}, 44.48, 150.00, 1207, 877, 100, 14566, 47
2026/07/13 22:01:29.029, 1, ${V100_GPU_1_UUID}, 136.02, 150.00, 960, 877, 100, 14566, 48
2026/07/13 22:01:29.231, 1, ${V100_GPU_1_UUID}, 150.72, 150.00, 997, 877, 100, 14566, 49
2026/07/13 22:01:29.432, 1, ${V100_GPU_1_UUID}, 147.16, 150.00, 1020, 877, 100, 14566, 49
2026/07/13 22:01:29.638, 1, ${V100_GPU_1_UUID}, 111.66, 150.00, 1050, 877, 100, 14566, 49
2026/07/13 22:01:29.839, 1, ${V100_GPU_1_UUID}, 132.18, 150.00, 945, 877, 93, 14566, 49
2026/07/13 22:01:30.043, 1, ${V100_GPU_1_UUID}, 143.13, 150.00, 997, 877, 100, 14566, 49
2026/07/13 22:01:30.244, 1, ${V100_GPU_1_UUID}, 139.68, 150.00, 990, 877, 100, 14566, 49
2026/07/13 22:01:30.446, 1, ${V100_GPU_1_UUID}, 145.54, 150.00, 990, 877, 100, 14566, 49
2026/07/13 22:01:30.647, 1, ${V100_GPU_1_UUID}, 150.34, 150.00, 907, 877, 93, 14566, 50
2026/07/13 22:01:30.850, 1, ${V100_GPU_1_UUID}, 147.94, 150.00, 997, 877, 100, 14566, 50
2026/07/13 22:01:31.051, 1, ${V100_GPU_1_UUID}, 147.94, 150.00, 997, 877, 100, 14566, 50
2026/07/13 22:01:31.252, 1, ${V100_GPU_1_UUID}, 146.88, 150.00, 997, 877, 100, 14566, 50
2026/07/13 22:01:31.454, 1, ${V100_GPU_1_UUID}, 50.29, 150.00, 1447, 877, 88, 354, 48
