timestamp, index, uuid, power.draw [W], power.limit [W], clocks.current.sm [MHz], clocks.current.memory [MHz], utilization.gpu [%], memory.used [MiB], temperature.gpu
2026/07/13 22:02:23.718, 1, ${V100_GPU_1_UUID}, 53.63, 150.00, 1530, 877, 95, 6, 54
2026/07/13 22:02:23.919, 1, ${V100_GPU_1_UUID}, 53.15, 150.00, 1530, 877, 11, 316, 53
2026/07/13 22:02:24.120, 1, ${V100_GPU_1_UUID}, 53.15, 150.00, 1530, 877, 0, 316, 53
2026/07/13 22:02:24.323, 1, ${V100_GPU_1_UUID}, 54.12, 150.00, 1530, 877, 61, 11402, 52
2026/07/13 22:02:24.525, 1, ${V100_GPU_1_UUID}, 54.12, 150.00, 1530, 877, 100, 11402, 52
2026/07/13 22:02:24.727, 1, ${V100_GPU_1_UUID}, 53.63, 150.00, 1530, 877, 99, 11402, 52
2026/07/13 22:02:24.928, 1, ${V100_GPU_1_UUID}, 53.63, 150.00, 1530, 877, 99, 11402, 52
2026/07/13 22:02:25.130, 1, ${V100_GPU_1_UUID}, 53.63, 150.00, 1530, 877, 99, 11402, 52
2026/07/13 22:02:25.332, 1, ${V100_GPU_1_UUID}, 53.63, 150.00, 1530, 877, 99, 11402, 52
2026/07/13 22:02:25.534, 1, ${V100_GPU_1_UUID}, 53.63, 150.00, 1530, 877, 99, 11402, 52
2026/07/13 22:02:25.736, 1, ${V100_GPU_1_UUID}, 53.63, 150.00, 1530, 877, 99, 11402, 52
2026/07/13 22:02:25.937, 1, ${V100_GPU_1_UUID}, 53.63, 150.00, 1530, 877, 99, 11402, 52
2026/07/13 22:02:26.139, 1, ${V100_GPU_1_UUID}, 53.63, 150.00, 1530, 877, 99, 11402, 52
2026/07/13 22:02:26.341, 1, ${V100_GPU_1_UUID}, 53.63, 150.00, 1530, 877, 99, 11402, 52
2026/07/13 22:02:26.543, 1, ${V100_GPU_1_UUID}, 53.63, 150.00, 1530, 877, 99, 11402, 52
2026/07/13 22:02:26.745, 1, ${V100_GPU_1_UUID}, 53.63, 150.00, 1530, 877, 99, 11402, 51
2026/07/13 22:02:26.947, 1, ${V100_GPU_1_UUID}, 53.63, 150.00, 1530, 877, 99, 11402, 51
2026/07/13 22:02:27.149, 1, ${V100_GPU_1_UUID}, 53.63, 150.00, 1530, 877, 99, 11402, 51
2026/07/13 22:02:27.351, 1, ${V100_GPU_1_UUID}, 53.63, 150.00, 1530, 877, 99, 11402, 51
2026/07/13 22:02:27.553, 1, ${V100_GPU_1_UUID}, 53.63, 150.00, 1530, 877, 99, 11402, 51
2026/07/13 22:02:27.755, 1, ${V100_GPU_1_UUID}, 53.63, 150.00, 1530, 877, 99, 11402, 51
2026/07/13 22:02:27.956, 1, ${V100_GPU_1_UUID}, 179.64, 150.00, 990, 877, 74, 12326, 54
2026/07/13 22:02:28.165, 1, ${V100_GPU_1_UUID}, 139.59, 150.00, 990, 877, 100, 12326, 54
2026/07/13 22:02:28.366, 1, ${V100_GPU_1_UUID}, 144.67, 150.00, 997, 877, 100, 12326, 54
2026/07/13 22:02:28.568, 1, ${V100_GPU_1_UUID}, 154.56, 150.00, 1012, 877, 98, 12326, 54
2026/07/13 22:02:28.769, 1, ${V100_GPU_1_UUID}, 151.78, 150.00, 975, 877, 94, 12326, 55
2026/07/13 22:02:28.971, 1, ${V100_GPU_1_UUID}, 144.58, 150.00, 990, 877, 100, 12326, 55
2026/07/13 22:02:29.172, 1, ${V100_GPU_1_UUID}, 143.52, 150.00, 982, 877, 100, 12326, 55
2026/07/13 22:02:29.373, 1, ${V100_GPU_1_UUID}, 113.51, 150.00, 990, 877, 100, 12326, 55
2026/07/13 22:02:29.574, 1, ${V100_GPU_1_UUID}, 142.46, 150.00, 990, 877, 99, 12326, 55
2026/07/13 22:02:29.775, 1, ${V100_GPU_1_UUID}, 144.48, 150.00, 997, 877, 100, 12326, 55
2026/07/13 22:02:29.977, 1, ${V100_GPU_1_UUID}, 144.38, 150.00, 990, 877, 100, 12326, 55
2026/07/13 22:02:30.178, 1, ${V100_GPU_1_UUID}, 155.52, 150.00, 990, 877, 99, 12326, 55
2026/07/13 22:02:30.379, 1, ${V100_GPU_1_UUID}, 146.78, 150.00, 990, 877, 100, 12326, 55
2026/07/13 22:02:30.580, 1, ${V100_GPU_1_UUID}, 143.13, 150.00, 990, 877, 100, 12326, 55
2026/07/13 22:02:30.782, 1, ${V100_GPU_1_UUID}, 144.48, 150.00, 967, 877, 100, 12326, 56
2026/07/13 22:02:30.983, 1, ${V100_GPU_1_UUID}, 143.71, 150.00, 967, 877, 100, 12326, 56
