timestamp, index, uuid, power.draw [W], power.limit [W], clocks.current.sm [MHz], clocks.current.memory [MHz], utilization.gpu [%], memory.used [MiB], temperature.gpu
2026/07/13 21:57:51.544, 1, ${V100_GPU_1_UUID}, 20.82, 150.00, 135, 877, 0, 6, 41
2026/07/13 21:57:51.746, 1, ${V100_GPU_1_UUID}, 37.26, 150.00, 1312, 877, 4, 316, 41
2026/07/13 21:57:51.947, 1, ${V100_GPU_1_UUID}, 37.74, 150.00, 1312, 877, 0, 316, 41
2026/07/13 21:57:52.148, 1, ${V100_GPU_1_UUID}, 38.68, 150.00, 1312, 877, 5, 11402, 41
2026/07/13 21:57:52.350, 1, ${V100_GPU_1_UUID}, 44.48, 150.00, 1447, 877, 100, 11402, 42
2026/07/13 21:57:52.552, 1, ${V100_GPU_1_UUID}, 49.77, 150.00, 1530, 877, 99, 11402, 42
2026/07/13 21:57:52.754, 1, ${V100_GPU_1_UUID}, 49.77, 150.00, 1530, 877, 99, 11402, 42
2026/07/13 21:57:52.955, 1, ${V100_GPU_1_UUID}, 49.77, 150.00, 1530, 877, 99, 11402, 42
2026/07/13 21:57:53.157, 1, ${V100_GPU_1_UUID}, 49.77, 150.00, 1530, 877, 99, 11402, 42
2026/07/13 21:57:53.359, 1, ${V100_GPU_1_UUID}, 49.77, 150.00, 1530, 877, 99, 11402, 42
2026/07/13 21:57:53.561, 1, ${V100_GPU_1_UUID}, 49.77, 150.00, 1530, 877, 99, 11402, 42
2026/07/13 21:57:53.763, 1, ${V100_GPU_1_UUID}, 49.77, 150.00, 1530, 877, 99, 11402, 42
2026/07/13 21:57:53.966, 1, ${V100_GPU_1_UUID}, 49.77, 150.00, 1530, 877, 99, 11402, 42
2026/07/13 21:57:54.167, 1, ${V100_GPU_1_UUID}, 49.80, 150.00, 1530, 877, 99, 11402, 42
2026/07/13 21:57:54.369, 1, ${V100_GPU_1_UUID}, 50.29, 150.00, 1530, 877, 99, 11402, 42
2026/07/13 21:57:54.571, 1, ${V100_GPU_1_UUID}, 50.25, 150.00, 1530, 877, 99, 11402, 43
2026/07/13 21:57:54.773, 1, ${V100_GPU_1_UUID}, 50.25, 150.00, 1530, 877, 99, 11402, 43
2026/07/13 21:57:54.974, 1, ${V100_GPU_1_UUID}, 50.25, 150.00, 1530, 877, 99, 11402, 43
2026/07/13 21:57:55.176, 1, ${V100_GPU_1_UUID}, 50.25, 150.00, 1530, 877, 99, 11402, 43
2026/07/13 21:57:55.378, 1, ${V100_GPU_1_UUID}, 50.29, 150.00, 1530, 877, 99, 11402, 43
2026/07/13 21:57:55.580, 1, ${V100_GPU_1_UUID}, 50.29, 150.00, 1530, 877, 99, 11402, 43
2026/07/13 21:57:55.782, 1, ${V100_GPU_1_UUID}, 151.20, 150.00, 1095, 877, 37, 11736, 45
2026/07/13 21:57:55.983, 1, ${V100_GPU_1_UUID}, 143.13, 150.00, 1095, 877, 98, 11736, 45
2026/07/13 21:57:56.184, 1, ${V100_GPU_1_UUID}, 146.78, 150.00, 1102, 877, 99, 11736, 46
2026/07/13 21:57:56.386, 1, ${V100_GPU_1_UUID}, 151.58, 150.00, 1102, 877, 99, 11736, 46
2026/07/13 21:57:56.587, 1, ${V100_GPU_1_UUID}, 148.12, 150.00, 1102, 877, 99, 11736, 46
2026/07/13 21:57:56.788, 1, ${V100_GPU_1_UUID}, 149.66, 150.00, 1102, 877, 99, 11736, 46
2026/07/13 21:57:56.989, 1, ${V100_GPU_1_UUID}, 146.98, 150.00, 1095, 877, 99, 11736, 46
2026/07/13 21:57:57.190, 1, ${V100_GPU_1_UUID}, 147.94, 150.00, 1095, 877, 99, 11736, 47
2026/07/13 21:57:57.392, 1, ${V100_GPU_1_UUID}, 144.96, 150.00, 1087, 877, 99, 11736, 47
2026/07/13 21:57:57.593, 1, ${V100_GPU_1_UUID}, 148.32, 150.00, 1102, 877, 99, 11736, 47
2026/07/13 21:57:57.794, 1, ${V100_GPU_1_UUID}, 144.38, 150.00, 1095, 877, 99, 11736, 47
2026/07/13 21:57:57.995, 1, ${V100_GPU_1_UUID}, 146.59, 150.00, 1095, 877, 99, 11736, 47
2026/07/13 21:57:58.197, 1, ${V100_GPU_1_UUID}, 146.02, 150.00, 1095, 877, 99, 11736, 47
2026/07/13 21:57:58.398, 1, ${V100_GPU_1_UUID}, 146.78, 150.00, 1102, 877, 99, 11736, 48
2026/07/13 21:57:58.599, 1, ${V100_GPU_1_UUID}, 145.92, 150.00, 1095, 877, 99, 11736, 48
2026/07/13 21:57:58.800, 1, ${V100_GPU_1_UUID}, 147.36, 150.00, 1102, 877, 99, 11736, 48
2026/07/13 21:57:59.002, 1, ${V100_GPU_1_UUID}, 149.58, 150.00, 1095, 877, 99, 11736, 48
2026/07/13 21:57:59.203, 1, ${V100_GPU_1_UUID}, 152.26, 150.00, 1102, 877, 99, 11736, 48
2026/07/13 21:57:59.404, 1, ${V100_GPU_1_UUID}, 148.22, 150.00, 1095, 877, 99, 11736, 48
2026/07/13 21:57:59.606, 1, ${V100_GPU_1_UUID}, 146.88, 150.00, 1102, 877, 99, 11736, 48
2026/07/13 21:57:59.807, 1, ${V100_GPU_1_UUID}, 143.90, 150.00, 1102, 877, 99, 11736, 48
2026/07/13 21:58:00.019, 1, ${V100_GPU_1_UUID}, 146.98, 150.00, 1102, 877, 99, 11736, 49
2026/07/13 21:58:00.223, 1, ${V100_GPU_1_UUID}, 145.25, 150.00, 1095, 877, 99, 11736, 49
2026/07/13 21:58:00.424, 1, ${V100_GPU_1_UUID}, 143.90, 150.00, 1102, 877, 99, 11736, 49
2026/07/13 21:58:00.706, 1, ${V100_GPU_1_UUID}, 148.80, 150.00, 1102, 877, 99, 11736, 49
2026/07/13 21:58:00.915, 1, ${V100_GPU_1_UUID}, 147.84, 150.00, 1095, 877, 99, 11736, 49
2026/07/13 21:58:01.116, 1, ${V100_GPU_1_UUID}, 144.48, 150.00, 1102, 877, 99, 11736, 49
2026/07/13 21:58:01.317, 1, ${V100_GPU_1_UUID}, 150.24, 150.00, 1095, 877, 99, 11736, 49
2026/07/13 21:58:01.519, 1, ${V100_GPU_1_UUID}, 147.56, 150.00, 1095, 877, 99, 11736, 49
2026/07/13 21:58:01.720, 1, ${V100_GPU_1_UUID}, 144.77, 150.00, 1087, 877, 99, 11736, 50
2026/07/13 21:58:01.921, 1, ${V100_GPU_1_UUID}, 145.34, 150.00, 1102, 877, 99, 11736, 50
2026/07/13 21:58:02.123, 1, ${V100_GPU_1_UUID}, 147.26, 150.00, 1095, 877, 99, 11736, 50
2026/07/13 21:58:02.324, 1, ${V100_GPU_1_UUID}, 145.15, 150.00, 1102, 877, 99, 11736, 50
2026/07/13 21:58:02.534, 1, ${V100_GPU_1_UUID}, 145.15, 150.00, 1087, 877, 99, 11736, 50
2026/07/13 21:58:02.736, 1, ${V100_GPU_1_UUID}, 144.58, 150.00, 1087, 877, 99, 11736, 50
2026/07/13 21:58:02.937, 1, ${V100_GPU_1_UUID}, 145.82, 150.00, 1087, 877, 99, 11736, 50
2026/07/13 21:58:03.138, 1, ${V100_GPU_1_UUID}, 153.02, 150.00, 1102, 877, 99, 11736, 50
