timestamp, index, uuid, power.draw [W], power.limit [W], clocks.current.sm [MHz], clocks.current.memory [MHz], utilization.gpu [%], memory.used [MiB], temperature.gpu
2026/07/13 22:06:01.821, 1, ${V100_GPU_1_UUID}, 21.30, 150.00, 135, 877, 0, 6, 42
2026/07/13 22:06:02.022, 1, ${V100_GPU_1_UUID}, 37.26, 150.00, 1312, 877, 0, 316, 42
2026/07/13 22:06:02.224, 1, ${V100_GPU_1_UUID}, 38.20, 150.00, 1312, 877, 0, 316, 42
2026/07/13 22:06:02.425, 1, ${V100_GPU_1_UUID}, 49.29, 150.00, 1530, 877, 49, 11402, 43
2026/07/13 22:06:02.627, 1, ${V100_GPU_1_UUID}, 50.25, 150.00, 1530, 877, 100, 11402, 43
2026/07/13 22:06:02.828, 1, ${V100_GPU_1_UUID}, 50.25, 150.00, 1530, 877, 99, 11402, 43
2026/07/13 22:06:03.030, 1, ${V100_GPU_1_UUID}, 50.25, 150.00, 1530, 877, 99, 11402, 43
2026/07/13 22:06:03.232, 1, ${V100_GPU_1_UUID}, 50.25, 150.00, 1530, 877, 99, 11402, 43
2026/07/13 22:06:03.434, 1, ${V100_GPU_1_UUID}, 50.25, 150.00, 1530, 877, 99, 11402, 44
2026/07/13 22:06:03.635, 1, ${V100_GPU_1_UUID}, 50.25, 150.00, 1530, 877, 99, 11402, 43
2026/07/13 22:06:03.838, 1, ${V100_GPU_1_UUID}, 50.25, 150.00, 1530, 877, 99, 11402, 43
2026/07/13 22:06:04.040, 1, ${V100_GPU_1_UUID}, 50.25, 150.00, 1530, 877, 99, 11402, 44
2026/07/13 22:06:04.241, 1, ${V100_GPU_1_UUID}, 50.25, 150.00, 1530, 877, 99, 11402, 44
2026/07/13 22:06:04.444, 1, ${V100_GPU_1_UUID}, 50.25, 150.00, 1530, 877, 99, 11402, 44
2026/07/13 22:06:04.646, 1, ${V100_GPU_1_UUID}, 50.25, 150.00, 1530, 877, 99, 11402, 44
2026/07/13 22:06:04.848, 1, ${V100_GPU_1_UUID}, 50.25, 150.00, 1530, 877, 99, 11402, 44
2026/07/13 22:06:05.050, 1, ${V100_GPU_1_UUID}, 50.25, 150.00, 1530, 877, 99, 11402, 44
2026/07/13 22:06:05.252, 1, ${V100_GPU_1_UUID}, 50.25, 150.00, 1530, 877, 99, 11402, 44
2026/07/13 22:06:05.453, 1, ${V100_GPU_1_UUID}, 50.25, 150.00, 1530, 877, 99, 11402, 44
2026/07/13 22:06:05.655, 1, ${V100_GPU_1_UUID}, 50.25, 150.00, 1530, 877, 99, 11402, 44
2026/07/13 22:06:05.857, 1, ${V100_GPU_1_UUID}, 50.25, 150.00, 1530, 877, 99, 11402, 44
2026/07/13 22:06:06.060, 1, ${V100_GPU_1_UUID}, 152.16, 150.00, 1080, 877, 51, 11736, 46
2026/07/13 22:06:06.266, 1, ${V100_GPU_1_UUID}, 142.18, 150.00, 1080, 877, 99, 11736, 46
2026/07/13 22:06:06.468, 1, ${V100_GPU_1_UUID}, 145.54, 150.00, 1102, 877, 99, 11736, 47
2026/07/13 22:06:06.669, 1, ${V100_GPU_1_UUID}, 145.15, 150.00, 1080, 877, 99, 11736, 47
2026/07/13 22:06:06.873, 1, ${V100_GPU_1_UUID}, 142.08, 150.00, 1087, 877, 99, 11736, 47
2026/07/13 22:06:07.074, 1, ${V100_GPU_1_UUID}, 143.52, 150.00, 1087, 877, 99, 11736, 47
2026/07/13 22:06:07.276, 1, ${V100_GPU_1_UUID}, 148.22, 150.00, 1102, 877, 99, 11736, 47
2026/07/13 22:06:07.478, 1, ${V100_GPU_1_UUID}, 148.22, 150.00, 1087, 877, 99, 11736, 48
2026/07/13 22:06:07.680, 1, ${V100_GPU_1_UUID}, 140.83, 150.00, 1087, 877, 99, 11736, 48
2026/07/13 22:06:07.884, 1, ${V100_GPU_1_UUID}, 142.65, 150.00, 1095, 877, 99, 11736, 48
2026/07/13 22:06:08.086, 1, ${V100_GPU_1_UUID}, 141.12, 150.00, 1087, 877, 99, 11736, 48
2026/07/13 22:06:08.288, 1, ${V100_GPU_1_UUID}, 144.48, 150.00, 1087, 877, 99, 11736, 48
2026/07/13 22:06:08.493, 1, ${V100_GPU_1_UUID}, 143.62, 150.00, 1087, 877, 99, 11736, 48
2026/07/13 22:06:08.695, 1, ${V100_GPU_1_UUID}, 146.12, 150.00, 1087, 877, 99, 11736, 48
2026/07/13 22:06:08.896, 1, ${V100_GPU_1_UUID}, 144.96, 150.00, 1087, 877, 99, 11736, 49
2026/07/13 22:06:09.099, 1, ${V100_GPU_1_UUID}, 142.27, 150.00, 1087, 877, 99, 11736, 49
2026/07/13 22:06:09.374, 1, ${V100_GPU_1_UUID}, 141.69, 150.00, 1095, 877, 99, 11736, 49
2026/07/13 22:06:09.575, 1, ${V100_GPU_1_UUID}, 145.54, 150.00, 1095, 877, 99, 11736, 49
2026/07/13 22:06:09.776, 1, ${V100_GPU_1_UUID}, 141.79, 150.00, 1080, 877, 99, 11736, 49
2026/07/13 22:06:09.978, 1, ${V100_GPU_1_UUID}, 143.90, 150.00, 1095, 877, 99, 11736, 49
