timestamp, index, uuid, power.draw [W], power.limit [W], clocks.current.sm [MHz], clocks.current.memory [MHz], utilization.gpu [%], memory.used [MiB], temperature.gpu
2026/07/13 22:04:39.075, 1, ${V100_GPU_1_UUID}, 20.82, 150.00, 135, 877, 0, 6, 40
2026/07/13 22:04:39.276, 1, ${V100_GPU_1_UUID}, 37.72, 150.00, 1312, 877, 4, 316, 41
2026/07/13 22:04:39.477, 1, ${V100_GPU_1_UUID}, 37.74, 150.00, 1312, 877, 0, 316, 41
2026/07/13 22:04:39.678, 1, ${V100_GPU_1_UUID}, 38.71, 150.00, 1312, 877, 3, 11402, 41
2026/07/13 22:04:39.880, 1, ${V100_GPU_1_UUID}, 44.48, 150.00, 1447, 877, 100, 11402, 42
2026/07/13 22:04:40.082, 1, ${V100_GPU_1_UUID}, 49.77, 150.00, 1530, 877, 99, 11402, 42
2026/07/13 22:04:40.284, 1, ${V100_GPU_1_UUID}, 49.77, 150.00, 1530, 877, 99, 11402, 42
2026/07/13 22:04:40.486, 1, ${V100_GPU_1_UUID}, 49.77, 150.00, 1530, 877, 99, 11402, 42
2026/07/13 22:04:40.688, 1, ${V100_GPU_1_UUID}, 49.77, 150.00, 1530, 877, 99, 11402, 42
2026/07/13 22:04:40.890, 1, ${V100_GPU_1_UUID}, 49.77, 150.00, 1530, 877, 99, 11402, 42
2026/07/13 22:04:41.092, 1, ${V100_GPU_1_UUID}, 49.77, 150.00, 1530, 877, 99, 11402, 42
2026/07/13 22:04:41.294, 1, ${V100_GPU_1_UUID}, 49.77, 150.00, 1530, 877, 99, 11402, 42
2026/07/13 22:04:41.495, 1, ${V100_GPU_1_UUID}, 49.77, 150.00, 1530, 877, 99, 11402, 42
2026/07/13 22:04:41.697, 1, ${V100_GPU_1_UUID}, 49.77, 150.00, 1530, 877, 99, 11402, 42
2026/07/13 22:04:41.899, 1, ${V100_GPU_1_UUID}, 49.80, 150.00, 1530, 877, 99, 11402, 42
2026/07/13 22:04:42.101, 1, ${V100_GPU_1_UUID}, 49.77, 150.00, 1530, 877, 99, 11402, 42
2026/07/13 22:04:42.303, 1, ${V100_GPU_1_UUID}, 49.77, 150.00, 1530, 877, 99, 11402, 42
2026/07/13 22:04:42.505, 1, ${V100_GPU_1_UUID}, 49.80, 150.00, 1530, 877, 99, 11402, 42
2026/07/13 22:04:42.707, 1, ${V100_GPU_1_UUID}, 50.29, 150.00, 1530, 877, 99, 11402, 43
2026/07/13 22:04:42.908, 1, ${V100_GPU_1_UUID}, 49.80, 150.00, 1530, 877, 99, 11402, 42
2026/07/13 22:04:43.110, 1, ${V100_GPU_1_UUID}, 49.80, 150.00, 1530, 877, 99, 11402, 42
