experiment	variant	model	repetitions	pp512_tok_s	change_pct	result
legacy_algorithm	default_99	qwen35-0.8b-q4_0	100	14436.36	0.00	control
legacy_algorithm	algorithm_101	qwen35-0.8b-q4_0	100	14191.20	-1.70	rejected
q8_dequant_pack	control	qwen35-0.8b-q8_0	100	14768.56	0.00	control
q8_dequant_pack	two_warps	qwen35-0.8b-q8_0	100	14777.09	0.06	rejected
q8_dequant_pack	control	qwen36-27b-q2_k	30	719.65	0.00	control
q8_dequant_pack	two_warps	qwen36-27b-q2_k	30	720.56	0.13	rejected
q8_dequant_pack	syncwarp_only	qwen35-0.8b-q8_0	100	14763.29	-0.04	rejected
cublaslt_integration	legacy_control	qwen35-0.8b-q4_0	100	14473.26	0.00	control
cublaslt_integration	k2048_k3584_mean	qwen35-0.8b-q4_0	200	14479.90	0.05	rejected
cublaslt_integration	k2048_only	qwen35-0.8b-q4_0	100	14405.12	-0.47	rejected
cublaslt_integration	k3584_only	qwen35-0.8b-q4_0	100	14463.06	-0.07	rejected
cublaslt_integration	five_shapes	qwen35-0.8b-q4_0	100	14382.38	-0.63	rejected
cublaslt_integration	legacy_control	qwen35-0.8b-q8_0	100	14763.83	0.00	control
cublaslt_integration	k2048_k3584_mean	qwen35-0.8b-q8_0	200	14806.72	0.29	rejected
cublaslt_integration	k2048_only	qwen35-0.8b-q8_0	100	14765.22	0.01	rejected
cublaslt_integration	k3584_only	qwen35-0.8b-q8_0	100	14780.31	0.11	rejected
cublaslt_integration	five_shapes	qwen35-0.8b-q8_0	100	14704.34	-0.40	rejected
