area	variant	model_or_case	repetitions	metric	value	stddev	change_pct	result
prompt	candidate_a	qwen35-0.8b-q4_0	100	pp512_tok_s	14557.63	32.39	0.92	retained
prompt	control	qwen35-0.8b-q4_0	100	pp512_tok_s	14425.28	35.07	0.00	control
prompt	candidate_b	qwen35-0.8b-q4_0	100	pp512_tok_s	14557.19	26.80	0.91	retained
prompt	candidate_a	qwen35-0.8b-q8_0	100	pp512_tok_s	14895.46	36.61	0.85	retained
prompt	control	qwen35-0.8b-q8_0	100	pp512_tok_s	14769.94	24.29	0.00	control
prompt	candidate_b	qwen35-0.8b-q8_0	100	pp512_tok_s	14893.52	39.27	0.84	retained
generation	candidate_a	qwen35-0.8b-q4_0	30	tg128_tok_s	270.481847	0.160519	0.72	retained
generation	control	qwen35-0.8b-q4_0	30	tg128_tok_s	268.537186	0.076559	0.00	control
generation	candidate_b	qwen35-0.8b-q4_0	30	tg128_tok_s	270.467974	0.098333	0.72	retained
generation	candidate_a	qwen35-0.8b-q8_0	30	tg128_tok_s	250.087468	0.060567	0.61	retained
generation	control	qwen35-0.8b-q8_0	30	tg128_tok_s	248.563686	0.088771	0.00	control
generation	candidate_b	qwen35-0.8b-q8_0	30	tg128_tok_s	250.075163	0.120548	0.61	retained
profile	control	qwen35-0.8b-q4_0	18	prompt_fattn_avg_us	179.1390	2.9625	0.00	control
profile	retained	qwen35-0.8b-q4_0	18	prompt_fattn_avg_us	125.2997	0.5843	-30.05	retained
profile	control	qwen35-0.8b-q4_0	2304	generation_fattn_avg_us	11.4027	0.7242	0.00	control
profile	retained	qwen35-0.8b-q4_0	2304	generation_fattn_avg_us	7.3284	0.3171	-35.73	retained
swizzle	ggml_xor	qwen35-0.8b-q4_0	100	pp512_tok_s	14454.916551	24.209742	-0.70	rejected
swizzle	ggml_xor	qwen35-0.8b-q8_0	100	pp512_tok_s	14794.329705	15.218001	-0.67	rejected
swizzle	ggml_xor	qwen35-0.8b-q4_0	18	prompt_fattn_avg_us	162.8706	1.9090	29.98	rejected
external	unpadded	d128-m128-n128-h1	2000	kernel_avg_us	27.332	-	0.00	control
external	padded	d128-m128-n128-h1	2000	kernel_avg_us	16.350	-	-40.18	control
external	xor_swizzle	d128-m128-n128-h1	2000	kernel_avg_us	14.674	-	-46.31	inspiration
external	padded	d256-m512-n512-h1	2000	kernel_avg_us	105.970	-	0.00	control
external	xor_swizzle	d256-m512-n512-h1	2000	kernel_avg_us	86.790	-	-18.10	inspiration
external	padded	d256-m512-n512-h8	2000	kernel_avg_us	166.310	-	0.00	control
external	xor_swizzle	d256-m512-n512-h8	2000	kernel_avg_us	138.010	-	-17.02	inspiration
correctness	retained	qwen35-0.8b-q4_0	8	ppl	21.8608	1.50867	-	pass
correctness	retained	qwen35-0.8b-q8_0	8	ppl	18.3635	1.23693	-	pass
correctness	retained	qwen36-27b-q2_k	8	ppl	7.1735	0.40719	-	pass
correctness	retained	gemma4-12b-q4_0	8	ppl	308.2710	38.70664	-	pass
correctness	retained	fattn-ext-d256-f16	112	backend_cases	112	0	-	pass
correctness	retained	qwen35-0.8b-q4_0	1	memcheck_errors	0	0	-	pass
