area	variant	model_or_case	repetitions	metric	value	stddev	change_pct	result
generation	candidate_a	qwen35-0.8b-q8_0	30	tg128_tok_s	262.630980	0.086255	5.83	retained
generation	control	qwen35-0.8b-q8_0	30	tg128_tok_s	248.166668	0.084905	0.00	control
generation	candidate_b	qwen35-0.8b-q8_0	30	tg128_tok_s	262.021143	0.069423	5.58	retained
generation	candidate_a	qwen35-0.8b-q4_0	30	tg128_tok_s	276.665875	0.088102	3.59	retained
generation	control	qwen35-0.8b-q4_0	30	tg128_tok_s	267.079265	0.115565	0.00	control
generation	candidate_b	qwen35-0.8b-q4_0	30	tg128_tok_s	276.700633	0.225931	3.60	retained
sweep	rows_2_all	qwen35-0.8b-q8_0	60	tg128_tok_s	261.224540	0	5.26	refine
sweep	rows_3_all	qwen35-0.8b-q8_0	20	tg128_tok_s	261.396287	0.064225	5.33	refine
sweep	rows_4_all	qwen35-0.8b-q8_0	20	tg128_tok_s	258.617358	0.079186	4.21	rejected
sweep	rows_3_nonfused	qwen35-0.8b-q8_0	30	tg128_tok_s	262.787190	0.065335	5.89	rejected
profile	control	q8_0-nonfused	41856	kernel_avg_us	10.6707	-	0.00	control
profile	retained	q8_0-nonfused	41856	kernel_avg_us	8.6004	-	-19.40	retained
profile	control	q8_0-output-grid	384	kernel_avg_us	442.0143	-	0.00	control
profile	retained	q8_0-output-grid	384	kernel_avg_us	313.4167	-	-29.09	retained
profile	control	q8_0-fused	20736	kernel_avg_us	11.4189	-	0.00	control
profile	retained	q8_0-fused	20736	kernel_avg_us	11.3976	-	-0.19	unchanged
cross_model	candidate_a	qwen36-27b-q2_k	3	tg128_tok_s	31.262973	0.031823	0.64	smoke
cross_model	control	qwen36-27b-q2_k	5	tg128_tok_s	31.065052	0.107538	0.00	control
cross_model	candidate_b	qwen36-27b-q2_k	5	tg128_tok_s	31.008424	0.105685	-0.18	smoke
cross_model	candidate_a	gemma4-12b-q4_k_xl	3	tg128_tok_s	68.637305	0.036273	-0.08	smoke
cross_model	control	gemma4-12b-q4_k_xl	5	tg128_tok_s	68.689042	0.024237	0.00	control
cross_model	candidate_b	gemma4-12b-q4_k_xl	5	tg128_tok_s	68.623153	0.019550	-0.10	smoke
correctness	retained	q8_0-mul-mat	16	backend_cases	16	0	-	pass
correctness	retained	q8_0-odd-tail	1	backend_cases	1	0	-	pass
correctness	retained	qwen35-0.8b-q8_0	1	memcheck_errors	0	0	-	pass
correctness	retained	qwen35-0.8b-q8_0	8	ppl	18.3635	1.23693	-	pass
correctness	retained	qwen35-0.8b-q4_0	8	ppl	21.8608	1.50867	-	pass
