area	variant	model_or_case	repetitions	metric	value	stddev	change_pct	result
get_rows	candidate_a	qwen35-0.8b-q8_0	30	tg128_tok_s	263.260385	0.143279	0.28	retained
get_rows	control	qwen35-0.8b-q8_0	30	tg128_tok_s	262.519619	0.107124	0.00	control
get_rows	candidate_b	qwen35-0.8b-q8_0	30	tg128_tok_s	263.300932	0.142963	0.30	retained
get_rows	candidate_a	qwen35-0.8b-q4_0	30	tg128_tok_s	277.139439	0.163855	0.22	retained
get_rows	control	qwen35-0.8b-q4_0	30	tg128_tok_s	276.536770	0.097565	0.00	control
get_rows	candidate_b	qwen35-0.8b-q4_0	30	tg128_tok_s	276.575080	0.167172	0.01	retained
get_rows	candidate_a	qwen36-27b-q2_k	5	tg128_tok_s	31.337033	0.101528	0.84	retained
get_rows	control	qwen36-27b-q2_k	5	tg128_tok_s	31.075226	0.086098	0.00	control
get_rows	candidate_b	qwen36-27b-q2_k	5	tg128_tok_s	31.441491	0.091853	1.18	retained
get_rows	vec8	qwen35-0.8b-q8_0	30	tg128_tok_s	262.921239	0.093396	0.15	rejected
get_rows	vec8	qwen35-0.8b-q4_0	30	tg128_tok_s	276.295382	0.194592	-0.09	rejected
profile	control	get_rows_float_f32	14208	total_ms	59.678814	-	0.00	control
profile	retained	get_rows_float_f32	14208	total_ms	50.762353	-	-14.94	retained
profile	control	get_rows_dominant_grid	6912	total_ms	38.511110	-	0.00	control
profile	retained	get_rows_dominant_grid	6912	total_ms	29.463005	-	-23.49	retained
fused_q8	explicit_reuse	qwen35-0.8b-q8_0	30	tg128_tok_s	260.298441	0.144659	-0.77	rejected
fused_q8	explicit_reuse	q8_0-fused	20736	kernel_avg_us	12.1693	-	6.77	rejected
fused_q8	split_warps	qwen35-0.8b-q8_0	30	tg128_tok_s	261.456739	0.110924	-0.33	rejected
fused_q8	split_warps	q8_0-fused	20736	kernel_avg_us	11.7770	-	3.33	rejected
fused_q8	split_warps_ilp2	qwen35-0.8b-q8_0	30	tg128_tok_s	260.361002	0.120733	-0.75	rejected
quantize	vec2	qwen35-0.8b-q8_0	30	tg128_tok_s	262.424682	0.101065	0.04	rejected
quantize	vec2	qwen35-0.8b-q4_0	30	tg128_tok_s	276.215848	0.095060	-0.17	rejected
quantize	vec2	q8_1-quantizer	62592	total_ms	131.978401	-	1.45	rejected
quantize	vec4	qwen35-0.8b-q8_0	30	tg128_tok_s	262.352185	0.093317	0.01	rejected
quantize	vec4	qwen35-0.8b-q4_0	30	tg128_tok_s	276.025555	0.173654	-0.24	rejected
quantize	vec4	q8_1-quantizer	62592	total_ms	133.993968	-	3.00	rejected
correctness	retained	get_rows	47	backend_cases	47	0	-	pass
correctness	retained	qwen35-0.8b-q8_0	1	memcheck_errors	0	0	-	pass
correctness	retained	qwen35-0.8b-q8_0	8	ppl	18.3635	1.23693	-	pass
correctness	retained	qwen35-0.8b-q4_0	8	ppl	21.8608	1.50867	-	pass
