area	variant	model_or_case	repetitions	metric	value	stddev	change_pct	result
generation	candidate_a	qwen35-0.8b-q8_0	30	tg128_tok_s	265.613845	0.071652	0.88	retained
generation	control	qwen35-0.8b-q8_0	30	tg128_tok_s	263.288139	0.087614	0.00	control
generation	candidate_b	qwen35-0.8b-q8_0	30	tg128_tok_s	265.596715	0.152651	0.88	retained
generation	candidate_a	qwen35-0.8b-q4_0	30	tg128_tok_s	279.442832	0.197294	1.01	retained
generation	control	qwen35-0.8b-q4_0	30	tg128_tok_s	276.651721	0.101062	0.00	control
generation	candidate_b	qwen35-0.8b-q4_0	30	tg128_tok_s	279.188292	0.250729	0.92	retained
generation	candidate_a	qwen36-27b-q2_k	5	tg128_tok_s	31.607257	0.131409	0.91	retained
generation	control	qwen36-27b-q2_k	5	tg128_tok_s	31.320814	0.150504	0.00	control
generation	candidate_b	qwen36-27b-q2_k	5	tg128_tok_s	31.419635	0.103787	0.32	retained
generation	candidate_a	gemma4-12b-q4_k_xl	5	tg128_tok_s	68.928171	0.053622	0.51	retained
generation	control	gemma4-12b-q4_k_xl	5	tg128_tok_s	68.575387	0.023898	0.00	control
generation	candidate_b	gemma4-12b-q4_k_xl	5	tg128_tok_s	68.892311	0.029974	0.46	retained
sweep	vec2_512	qwen35-0.8b-q8_0	30	tg128_tok_s	265.282423	0.088881	0.76	rejected
sweep	vec2_512	qwen35-0.8b-q4_0	30	tg128_tok_s	278.555000	0.090738	0.69	rejected
sweep	vec8_128	qwen35-0.8b-q8_0	30	tg128_tok_s	265.364586	0.089412	0.79	rejected
sweep	vec8_128	qwen35-0.8b-q4_0	30	tg128_tok_s	278.633487	0.194315	0.72	rejected
profile	control	rms-norm-mul-large	18816	kernel_total_ms	65.953806	-	0.00	control
profile	retained	rms-norm-mul-large	18816	kernel_total_ms	51.244083	-	-22.30	retained
profile	control	rms-norm-mul-large	18816	kernel_avg_us	3.5052	-	0.00	control
profile	retained	rms-norm-mul-large	18816	kernel_avg_us	2.7234	-	-22.31	retained
correctness	retained	rms_norm	21	backend_cases	21	0	-	pass
correctness	retained	rms_norm_mul_rope	72	backend_cases	72	0	-	pass
correctness	retained	qwen35-0.8b-q8_0	1	memcheck_errors	0	0	-	pass
correctness	retained	qwen35-0.8b-q8_0	8	ppl	18.3641	1.23699	-	pass
correctness	retained	qwen35-0.8b-q4_0	8	ppl	21.8604	1.50866	-	pass
