area	variant	model_or_case	repetitions	metric	value	stddev	change_pct	result
generation	candidate_a	qwen35-0.8b-q8_0	30	tg128_tok_s	270.288132	0.113024	1.79	retained
generation	control	qwen35-0.8b-q8_0	30	tg128_tok_s	265.539164	0.106116	0.00	control
generation	candidate_b	qwen35-0.8b-q8_0	30	tg128_tok_s	270.241858	0.087477	1.77	retained
generation	final_narrow	qwen35-0.8b-q8_0	30	tg128_tok_s	270.407565	0.131966	1.83	retained
generation	candidate_a	qwen35-0.8b-q4_0	30	tg128_tok_s	284.697730	0.301005	2.01	retained
generation	control	qwen35-0.8b-q4_0	30	tg128_tok_s	279.091027	0.074301	0.00	control
generation	candidate_b	qwen35-0.8b-q4_0	30	tg128_tok_s	284.353841	0.114753	1.89	retained
generation	final_narrow	qwen35-0.8b-q4_0	30	tg128_tok_s	284.709464	0.241087	2.01	retained
prompt	candidate_a	qwen35-0.8b-q8_0	30	pp512_tok_s	15188.492599	47.080146	0.14	retained
prompt	control	qwen35-0.8b-q8_0	30	pp512_tok_s	15167.441965	39.915632	0.00	control
prompt	candidate_b	qwen35-0.8b-q8_0	30	pp512_tok_s	15225.363788	62.180365	0.38	retained
prompt	final_narrow	qwen35-0.8b-q8_0	30	pp512_tok_s	15199.822860	42.390193	0.21	retained
prompt	candidate_a	qwen35-0.8b-q4_0	30	pp512_tok_s	14846.893149	14.323862	0.03	retained
prompt	control	qwen35-0.8b-q4_0	30	pp512_tok_s	14841.820386	15.462728	0.00	control
prompt	candidate_b	qwen35-0.8b-q4_0	30	pp512_tok_s	14896.798868	17.099682	0.37	retained
prompt	final_narrow	qwen35-0.8b-q4_0	30	pp512_tok_s	14860.099165	14.420247	0.12	retained
cross_model	candidate_a	qwen36-27b-q2_k	10	tg128_tok_s	31.426142	0.275892	0.72	retained
cross_model	control	qwen36-27b-q2_k	10	tg128_tok_s	31.201691	0.205442	0.00	control
cross_model	candidate_b	qwen36-27b-q2_k	10	tg128_tok_s	31.311124	0.223987	0.35	retained
cross_model	smoke	gemma4-12b-q4_k_xl	5	tg128_tok_s	68.805405	0.042038	-	unchanged
profile	control	l2-norm-single	13824	kernel_total_ms	30.899565	-	0.00	control
profile	retained	l2-norm-pair	6912	kernel_total_ms	16.534242	-	-46.49	retained
profile	control	l2-norm-single	13824	kernel_avg_us	2.2352	-	0.00	control
profile	retained	l2-norm-pair	6912	kernel_avg_us	2.3921	-	-	retained
correctness	retained	l2_norm	20	backend_cases	20	0	-	pass
correctness	retained	gated_delta_net	36	backend_cases	36	0	-	pass
correctness	retained	qwen35-0.8b-q8_0	2	memcheck_errors	0	0	-	pass
correctness	retained	qwen35-0.8b-q8_0	8	ppl	18.3641	1.23699	-	pass
correctness	retained	qwen35-0.8b-q4_0	8	ppl	21.8604	1.50866	-	pass
