area	variant	model_or_case	repetitions	metric	value	stddev	change_pct	result
generation	candidate_a	qwen35-0.8b-q8_0	30	tg128_tok_s	273.306879	0.064494	1.0462	retained
generation	control	qwen35-0.8b-q8_0	30	tg128_tok_s	270.477029	0.105196	0.0000	control
generation	candidate_b	qwen35-0.8b-q8_0	30	tg128_tok_s	273.367274	0.096654	1.0686	retained
generation	candidate_a	qwen35-0.8b-q4_0	30	tg128_tok_s	288.063833	0.111560	1.2738	retained
generation	control	qwen35-0.8b-q4_0	30	tg128_tok_s	284.440593	0.091693	0.0000	control
generation	candidate_b	qwen35-0.8b-q4_0	30	tg128_tok_s	288.214076	0.105792	1.3266	retained
cross_model	retained	qwen36-27b-q2_k	10	tg128_tok_s	31.501124	0.137533	0.4224	retained
cross_model	smoke	gemma4-12b-q4_k_xl	5	tg128_tok_s	69.071792	0.011230	-	unchanged
prompt	retained	qwen35-0.8b-q8_0	30	pp512_tok_s	15198.037782	40.932317	-0.0117	unchanged
prompt	retained	qwen35-0.8b-q4_0	30	pp512_tok_s	14856.672468	16.119072	-0.0231	unchanged
profile	control	add	13824	kernel_total_ms	35.928863	-	0.0000	control
profile	control	softplus_mul	6912	kernel_total_ms	13.072472	-	0.0000	control
profile	retained	remaining_add	6912	kernel_total_ms	17.247394	-	-51.9957	retained
profile	retained	add_softplus_mul	6912	kernel_total_ms	12.857369	-	-1.6455	retained
profile	control	gate_chain	20736	kernel_total_ms	49.001335	-	0.0000	control
profile	retained	gate_chain	13824	kernel_total_ms	30.104763	-	-38.5634	retained
correctness	retained	softplus	4	backend_cases	4	0	-	pass
correctness	retained	gated_delta_net	36	backend_cases	36	0	-	pass
correctness	retained	qwen35-0.8b-q8_0	1	memcheck_errors	0	0	-	pass
correctness	retained	qwen35-0.8b-q8_0	8	ppl	18.3641	1.23699	-	pass
correctness	retained	qwen35-0.8b-q4_0	8	ppl	21.8604	1.50866	-	pass
