area	variant	model_or_case	repetitions	metric	value	stddev	change_pct	result
generation	control	qwen35-0.8b-q8_0	20	tg128_tok_s	277.347692	2.269740	0.0000	control
generation	retained	qwen35-0.8b-q8_0	20	tg128_tok_s	280.164533	2.283081	1.0156	retained
generation	control	qwen35-0.8b-q4_0	20	tg128_tok_s	292.816709	2.804857	0.0000	control
generation	retained	qwen35-0.8b-q4_0	20	tg128_tok_s	295.692042	2.829332	0.9820	retained
generation	final_guarded	qwen35-0.8b-q8_0	10	tg128_tok_s	279.621035	3.513065	-	retained
prompt	generic	qwen35-0.8b-q8_0	10	pp512_tok_s	14434.103017	2723.536962	0.0000	control
prompt	retained	qwen35-0.8b-q8_0	10	pp512_tok_s	14382.396506	2759.611859	-0.3582	noise
prompt	generic	qwen35-0.8b-q4_0	10	pp512_tok_s	14100.537250	2666.125247	0.0000	control
prompt	retained	qwen35-0.8b-q4_0	10	pp512_tok_s	14101.118718	2655.578305	0.0041	unchanged
cross_model	retained	qwen36-27b-q2_k	5	tg128_tok_s	31.822183	0.045861	0.2891	retained
cross_model	smoke	gemma4-12b-q4_k_xl	5	tg128_tok_s	68.851794	0.312194	0.1734	unchanged
profile	generic	concat_cpy_dim0_f32	6912	kernel_total_ms	41.659548	-	0.0000	control
profile	retained	concat_cpy_dim0_tail_f32	6912	kernel_total_ms	27.596555	-	-33.7570	retained
profile	generic	concat_cpy_dim0_f32	6912	kernel_avg_us	6.0271	-	0.0000	control
profile	retained	concat_cpy_dim0_tail_f32	6912	kernel_avg_us	3.9926	-	-33.7570	retained
correctness	retained	concat_cpy_multidim	3	backend_cases	3	0	-	pass
correctness	retained	fusion_focus	82	backend_cases	82	0	-	pass
correctness	retained	concat_cpy_full	370	backend_cases	370	0	-	pass
correctness	retained	concat_cpy_multidim	1	memcheck_errors	0	0	-	pass
correctness	retained	qwen35-0.8b-q8_0	1	memcheck_errors	0	0	-	pass
correctness	retained	qwen35-0.8b-q8_0	8	ppl	18.3641	1.23699	-	pass
correctness	retained	qwen35-0.8b-q4_0	8	ppl	21.8604	1.50866	-	pass
