area	variant	model_or_case	repetitions	metric	value	stddev	change_pct	result
generation	control_a	qwen35-0.8b-q8_0	20	tg128_tok_s	280.164819	2.471193	0.0000	control
generation	candidate_a	qwen35-0.8b-q8_0	20	tg128_tok_s	283.453221	2.499507	1.1737	retained
generation	control_b	qwen35-0.8b-q8_0	20	tg128_tok_s	280.112615	2.441146	0.0000	control
generation	candidate_b	qwen35-0.8b-q8_0	20	tg128_tok_s	283.430678	2.495491	1.1845	retained
generation	control_mean	qwen35-0.8b-q8_0	40	tg128_tok_s	280.138717	-	0.0000	control
generation	candidate_mean	qwen35-0.8b-q8_0	40	tg128_tok_s	283.441950	-	1.1791	retained
generation	final	qwen35-0.8b-q8_0	20	tg128_tok_s	283.535009	2.489734	1.2123	retained
generation	rows4	qwen35-0.8b-q8_0	10	tg128_tok_s	278.514743	3.174407	-0.5798	rejected
generation	generic_warp_rows_control	qwen35-0.8b-q8_0	20	tg128_tok_s	280.152702	2.443719	0.0000	control
generation	generic_warp_rows_mean	qwen35-0.8b-q8_0	40	tg128_tok_s	282.414636	-	0.8074	candidate
generation	occupancy_constrained	qwen35-0.8b-q8_0	10	tg128_tok_s	280.003242	-	-1.2125	rejected
prompt	final	qwen35-0.8b-q8_0	10	pp512_tok_s	14410.443931	2750.656910	-	unchanged
prompt	final	qwen35-0.8b-q4_0	10	pp512_tok_s	14094.404656	2660.804917	-	unchanged
cross_model	final	qwen36-27b-q2_k	5	tg128_tok_s	31.779423	0.176914	-0.1344	unchanged
cross_model	final	gemma4-12b-q4_k_xl	5	tg128_tok_s	68.930333	0.322637	0.1141	unchanged
profile	control	q8_0_nonfused_mmvq	41856	kernel_total_ms	359.684153	-	0.0000	control
profile	rows4	q8_0_nonfused_mmvq	41856	kernel_total_ms	365.197393	-	1.5328	rejected
profile	generic_warp_rows	q8_0_nonfused_mmvq	41856	kernel_total_ms	350.547803	-	-2.5407	candidate
profile	retained	q8_0_nonfused_mmvq	41856	kernel_total_ms	344.809279	-	-4.1355	retained
profile	control	q8_0_fused_mmvq	20736	kernel_total_ms	236.414627	-	0.0000	control
profile	retained	q8_0_fused_mmvq	20736	kernel_total_ms	236.458765	-	0.0187	unchanged
resources	control	q8_0_nonfused_mmvq	1	registers_per_thread	48	-	-	control
resources	control	q8_0_nonfused_mmvq	1	static_shared_bytes	256	-	-	control
resources	retained	q8_0_warp_rows	1	registers_per_thread	56	-	-	retained
resources	retained	q8_0_warp_rows	1	static_shared_bytes	0	-	-	retained
correctness	retained	q8_0_ncols1	17	backend_cases	17	0	-	pass
correctness	retained	q8_0_ncols1	1	memcheck_errors	0	0	-	pass
correctness	retained	qwen35-0.8b-q8_0	8	ppl	18.3641	1.23699	-	pass
correctness	retained	qwen35-0.8b-q4_0	8	ppl	21.8604	1.50866	-	pass
