area	variant	model_or_case	repetitions	metric	value	stddev	change_pct	result
generation	control_a	qwen35-0.8b-q8_0	30	tg128_tok_s	283.669929	1.964275	0.0000	control
generation	row_base_a	qwen35-0.8b-q8_0	30	tg128_tok_s	284.148437	1.940718	0.1687	retained
generation	control_b	qwen35-0.8b-q8_0	30	tg128_tok_s	283.617414	2.053301	0.0000	control
generation	row_base_b	qwen35-0.8b-q8_0	30	tg128_tok_s	284.091844	1.959378	0.1673	retained
generation	control_mean	qwen35-0.8b-q8_0	60	tg128_tok_s	283.643672	-	0.0000	control
generation	row_base_mean	qwen35-0.8b-q8_0	60	tg128_tok_s	284.120141	-	0.1680	retained
generation	final	qwen35-0.8b-q8_0	20	tg128_tok_s	283.992210	2.481360	0.1229	retained
generation	final	qwen35-0.8b-q4_0	20	tg128_tok_s	295.894044	2.882949	-	unchanged
cross_model	final	qwen36-27b-q2_k	5	tg128_tok_s	31.859643	0.100519	0.1177	retained
cross_model	final	gemma4-12b-q4_k_xl	5	tg128_tok_s	68.757832	0.340083	-0.2503	unchanged
profile	control	q8_0_warp_rows	41856	kernel_total_ms	344.809279	-	0.0000	control
profile	row_base	q8_0_warp_rows	41856	kernel_total_ms	343.340241	-	-0.4260	retained
profile	rows1	q8_0_warp_rows	41856	kernel_total_ms	427.764392	-	24.0583	rejected
profile	rows4	q8_0_warp_rows	41856	kernel_total_ms	347.078574	-	0.6581	rejected
profile	rows8	q8_0_warp_rows	41856	kernel_total_ms	351.015413	-	1.7999	rejected
profile	two_rows_per_warp	q8_0_warp_rows	41856	kernel_total_ms	354.430746	-	2.7904	rejected
profile	ilp2	q8_0_warp_rows	41856	kernel_total_ms	350.803262	-	1.7383	rejected
generation	rows1	qwen35-0.8b-q8_0	10	tg128_tok_s	266.749373	2.934305	-5.9201	rejected
generation	rows4	qwen35-0.8b-q8_0	10	tg128_tok_s	282.757853	3.315600	-0.2741	rejected
generation	rows8	qwen35-0.8b-q8_0	10	tg128_tok_s	281.970379	3.491363	-0.5518	rejected
generation	two_rows_per_warp	qwen35-0.8b-q8_0	10	tg128_tok_s	281.330450	3.473522	-0.7775	rejected
generation	ilp2	qwen35-0.8b-q8_0	10	tg128_tok_s	281.740252	3.321351	-0.6330	rejected
resources	control	q8_0_warp_rows	1	registers_per_thread	56	-	-	control
resources	row_base	q8_0_warp_rows	1	registers_per_thread	48	-	-	retained
resources	two_rows_per_warp	q8_0_warp_rows	1	registers_per_thread	48	-	-	rejected
resources	ilp2	q8_0_warp_rows	1	registers_per_thread	56	-	-	rejected
correctness	retained	q8_0_ncols1	17	backend_cases	17	0	-	pass
correctness	retained	q8_0_ncols1	1	memcheck_errors	0	0	-	pass
correctness	retained	qwen35-0.8b-q8_0	8	ppl	18.3641	1.23699	-	pass
correctness	retained	qwen35-0.8b-q4_0	8	ppl	21.8604	1.50866	-	pass
