area	variant	model_or_case	repetitions	metric	value	stddev	change_pct	result
generation	candidate_a	qwen35-0.8b-q8_0	30	tg128_tok_s	362.254966	1.119384		retained
generation	disabled_control	qwen35-0.8b-q8_0	30	tg128_tok_s	360.370883	0.884018	0.0000	control
generation	candidate_b	qwen35-0.8b-q8_0	30	tg128_tok_s	362.027394	0.546416		retained
generation	candidate_mean	qwen35-0.8b-q8_0	60	tg128_tok_s	362.141180		0.4912	retained
generation	final	qwen35-0.8b-q8_0	30	tg128_tok_s	361.733397	0.628061	0.3781	retained
generation	final	qwen35-0.8b-q4_0	20	tg128_tok_s	344.884775	0.583091		unchanged
prompt	final	qwen35-0.8b-q8_0	10	pp512_tok_s	15119.051243	888.014305		unchanged
profile	control_gate	qwen35-0.8b-q8_0	792	kernel_total_ms	12.555806		0.0000	control
profile	control_q8_1	qwen35-0.8b-q8_0	1584	kernel_total_ms	4.608968		0.0000	control
profile	control_chain	qwen35-0.8b-q8_0	33	kernel_total_ms	17.164774		0.0000	control
profile	fused_gate_q8_1	qwen35-0.8b-q8_0	792	kernel_total_ms	13.563331		8.0244	retained
profile	candidate_q8_1	qwen35-0.8b-q8_0	792	kernel_total_ms	2.553827		-44.5900	retained
profile	candidate_chain	qwen35-0.8b-q8_0	33	kernel_total_ms	16.117158		-6.1033	retained
profile	time_saved	qwen35-0.8b-q8_0	33	us_per_token	31.7459			retained
profile	launches_removed	qwen35-0.8b-q8_0	33	launches_per_token	24			retained
variant	rows1_mean	qwen35-0.8b-q8_0	60	tg128_tok_s	358.051293		-0.6059	rejected
variant	rows1_gate	qwen35-0.8b-q8_0	792	kernel_average_us	18.2838			rejected
variant	rows2_gate	qwen35-0.8b-q8_0	792	kernel_average_us	17.1028			retained
variant	rows4_gate	qwen35-0.8b-q8_0	792	kernel_average_us	17.4643			rejected
variant	rows2_cached_gate	qwen35-0.8b-q8_0	792	kernel_average_us	17.4600			rejected
cross_model	final	qwen36-27b-q2_k	3	tg128_tok_s	32.563470	0.124437		unchanged
cross_model	final	gemma4-12b-q4_k_xl	3	tg128_tok_s	70.511625	0.067683		unchanged
validation	graph_logits	qwen35-0.8b-q8_0	128	sha256	acb248fa3c62d5f085a16556485a9d0d5e3b6bdf5c58a392cf734724f885c274			pass
validation	eager_logits	qwen35-0.8b-q8_0	128	sha256	acb248fa3c62d5f085a16556485a9d0d5e3b6bdf5c58a392cf734724f885c274			pass
validation	no_cache_logits	qwen35-0.8b-q8_0	128	sha256	acb248fa3c62d5f085a16556485a9d0d5e3b6bdf5c58a392cf734724f885c274			pass
validation	graph_logits	qwen35-0.8b-q4_0	128	sha256	385e35ba44725c79a84b3ed86297d71de16280492d40086cb04fa0ed819e14a0			pass
validation	eager_logits	qwen35-0.8b-q4_0	128	sha256	385e35ba44725c79a84b3ed86297d71de16280492d40086cb04fa0ed819e14a0			pass
validation	graph_ppl	qwen35-0.8b-q8_0	1	wikitext2_ppl	11.9470	4.74860		pass
validation	graph_ppl	qwen35-0.8b-q4_0	1	wikitext2_ppl	12.6381	5.02960		pass
validation	backend_ops	rms-and-mmvq-fusion	351	passed	351			pass
validation	memcheck	qwen35-0.8b-q8_0	1	errors	0			pass
validation	initcheck	qwen35-0.8b-q8_0	1	errors	0			pass
validation	synccheck	qwen35-0.8b-q8_0	1	errors	0			pass
validation	llama_archs	all	1	passed	1			pass
validation	ctest_excluding_backend_ops	all	53	passed	53			pass
