area	variant	model_or_case	repetitions	metric	value	stddev	change_pct	result
generation	candidate_a	qwen35-0.8b-q8_0	30	tg128_tok_s	373.572616	0.673676		retained
generation	disabled_control	qwen35-0.8b-q8_0	30	tg128_tok_s	366.063720	0.494524	0.0000	control
generation	candidate_b	qwen35-0.8b-q8_0	30	tg128_tok_s	373.429265	0.569379		retained
generation	candidate_mean	qwen35-0.8b-q8_0	60	tg128_tok_s	373.500941		2.0317	retained
generation	final	qwen35-0.8b-q8_0	30	tg128_tok_s	373.511733	0.660722	2.0346	retained
generation	final	qwen35-0.8b-q4_0	20	tg128_tok_s	344.490628	0.807789		unchanged
prompt	final	qwen35-0.8b-q8_0	10	pp512_tok_s	15105.436850	850.980981		unchanged
profile	control_projection	qwen35-0.8b-q8_0	594	kernel_total_ms	4.556747		0.0000	control
profile	control_residual_add	qwen35-0.8b-q8_0	594	kernel_total_ms	2.137221		0.0000	control
profile	control_chain	qwen35-0.8b-q8_0	33	kernel_total_ms	6.693968		0.0000	control
profile	fused_projection_residual	qwen35-0.8b-q8_0	594	kernel_total_ms	4.689451		-29.9451	retained
profile	time_saved	qwen35-0.8b-q8_0	33	us_per_token	60.7429			retained
profile	launches_removed	qwen35-0.8b-q8_0	33	launches_per_token	18			retained
cross_model	final	qwen36-27b-q2_k	3	tg128_tok_s	32.402055	0.092816		unchanged
cross_model	final	gemma4-12b-q4_k_xl	3	tg128_tok_s	70.439694	0.096136		unchanged
validation	graph_logits	qwen35-0.8b-q8_0	128	sha256	acb248fa3c62d5f085a16556485a9d0d5e3b6bdf5c58a392cf734724f885c274			pass
validation	disabled_logits	qwen35-0.8b-q8_0	128	sha256	acb248fa3c62d5f085a16556485a9d0d5e3b6bdf5c58a392cf734724f885c274			pass
validation	eager_logits	qwen35-0.8b-q8_0	128	sha256	acb248fa3c62d5f085a16556485a9d0d5e3b6bdf5c58a392cf734724f885c274			pass
validation	no_cache_logits	qwen35-0.8b-q8_0	128	sha256	acb248fa3c62d5f085a16556485a9d0d5e3b6bdf5c58a392cf734724f885c274			pass
validation	graph_logits	qwen35-0.8b-q4_0	128	sha256	385e35ba44725c79a84b3ed86297d71de16280492d40086cb04fa0ed819e14a0			pass
validation	eager_logits	qwen35-0.8b-q4_0	128	sha256	385e35ba44725c79a84b3ed86297d71de16280492d40086cb04fa0ed819e14a0			pass
validation	graph_ppl	qwen35-0.8b-q8_0	1	wikitext2_ppl	11.9470	4.74860		pass
validation	graph_ppl	qwen35-0.8b-q4_0	1	wikitext2_ppl	12.6381	5.02960		pass
validation	backend_ops	rms-and-mmvq-fusion	351	passed	351			pass
validation	memcheck	qwen35-0.8b-q8_0	1	errors	0			pass
validation	initcheck	qwen35-0.8b-q8_0	1	errors	0			pass
validation	synccheck	qwen35-0.8b-q8_0	1	errors	0			pass
validation	llama_archs	all	1	passed	1			pass
validation	ctest_excluding_backend_ops	all	53	passed	53			pass
