area	variant	model_or_case	repetitions	metric	value	stddev	change_pct	result
generation	candidate_a	qwen35-0.8b-q8_0	30	tg128_tok_s	380.415212	0.505933		retained
generation	disabled_control	qwen35-0.8b-q8_0	30	tg128_tok_s	373.704914	0.769818	0.0000	control
generation	candidate_b	qwen35-0.8b-q8_0	30	tg128_tok_s	380.288567	0.508571		retained
generation	candidate_mean	qwen35-0.8b-q8_0	60	tg128_tok_s	380.351889		1.7787	retained
generation	final	qwen35-0.8b-q8_0	30	tg128_tok_s	380.159605	0.761276	1.7272	retained
generation	one_row_per_warp	qwen35-0.8b-q8_0	20	tg128_tok_s	379.202036	0.558884		rejected
generation	final	qwen35-0.8b-q4_0	20	tg128_tok_s	344.502257	0.561730		unchanged
prompt	final	qwen35-0.8b-q8_0	10	pp512_tok_s	15141.017913	872.867503		unchanged
profile	control_gdn_epilogue	qwen35-0.8b-q8_0	576	kernel_total_ms	4.380905		0.0000	control
profile	control_q8_quantizers	qwen35-0.8b-q8_0	768	kernel_total_ms	2.534210		0.0000	control
profile	control_combined	qwen35-0.8b-q8_0	32	kernel_total_ms	6.915115		0.0000	control
profile	fused_gdn_q8	qwen35-0.8b-q8_0	576	kernel_total_ms	4.337222			retained
profile	remaining_q8_quantizers	qwen35-0.8b-q8_0	192	kernel_total_ms	0.553792			retained
profile	candidate_combined	qwen35-0.8b-q8_0	32	kernel_total_ms	4.891014		-29.2707	retained
profile	time_saved	qwen35-0.8b-q8_0	32	us_per_token	63.2532			retained
profile	launches_removed	qwen35-0.8b-q8_0	32	launches_per_token	18			retained
cross_model	final	qwen36-27b-q2_k	3	tg128_tok_s	32.372567	0.147949		unchanged
cross_model	final	gemma4-12b-q4_k_xl	3	tg128_tok_s	70.531521	0.153768		unchanged
validation	graph_logits	qwen35-0.8b-q8_0	128	sha256	acb248fa3c62d5f085a16556485a9d0d5e3b6bdf5c58a392cf734724f885c274			pass
validation	disabled_logits	qwen35-0.8b-q8_0	128	sha256	acb248fa3c62d5f085a16556485a9d0d5e3b6bdf5c58a392cf734724f885c274			pass
validation	eager_logits	qwen35-0.8b-q8_0	128	sha256	acb248fa3c62d5f085a16556485a9d0d5e3b6bdf5c58a392cf734724f885c274			pass
validation	no_cache_logits	qwen35-0.8b-q8_0	128	sha256	acb248fa3c62d5f085a16556485a9d0d5e3b6bdf5c58a392cf734724f885c274			pass
validation	graph_logits	qwen35-0.8b-q4_0	128	sha256	385e35ba44725c79a84b3ed86297d71de16280492d40086cb04fa0ed819e14a0			pass
validation	eager_logits	qwen35-0.8b-q4_0	128	sha256	385e35ba44725c79a84b3ed86297d71de16280492d40086cb04fa0ed819e14a0			pass
validation	graph_ppl	qwen35-0.8b-q8_0	1	wikitext2_ppl	11.9470	4.74860		pass
validation	graph_ppl	qwen35-0.8b-q4_0	1	wikitext2_ppl	12.6381	5.02960		pass
validation	backend_ops	rms-and-mmvq-fusion	351	passed	351			pass
validation	memcheck	qwen35-0.8b-q8_0	1	errors	0			pass
validation	initcheck	qwen35-0.8b-q8_0	1	errors	0			pass
validation	synccheck	qwen35-0.8b-q8_0	1	errors	0			pass
validation	llama_archs	all	1	passed	1			pass
validation	ctest_excluding_backend_ops	all	53	passed	53			pass
