area	variant	model_or_case	repetitions	metric	value	stddev	change_pct	result
generation	candidate_a	qwen35-0.8b-q8_0	30	tg128_tok_s	383.517946	0.547795		retained
generation	disabled_control	qwen35-0.8b-q8_0	30	tg128_tok_s	380.369144	0.575244	0.0000	control
generation	candidate_b	qwen35-0.8b-q8_0	30	tg128_tok_s	382.997390	0.512013		retained
generation	candidate_mean	qwen35-0.8b-q8_0	60	tg128_tok_s	383.257668		0.7594	retained
generation	final	qwen35-0.8b-q8_0	30	tg128_tok_s	383.110666	0.579729	0.7208	retained
generation	candidate_a	qwen35-0.8b-q4_0	20	tg128_tok_s	346.907777	0.579069		retained
generation	disabled_control	qwen35-0.8b-q4_0	20	tg128_tok_s	344.712021	0.537778	0.0000	control
generation	candidate_b	qwen35-0.8b-q4_0	20	tg128_tok_s	347.199214	0.543757		retained
generation	candidate_mean	qwen35-0.8b-q4_0	40	tg128_tok_s	347.053496		0.6793	retained
prompt	final	qwen35-0.8b-q8_0	10	pp512_tok_s	15127.737108	890.610934		unchanged
profile	control_attn_gate	qwen35-0.8b-q8_0	192	kernel_total_ms	0.550398		0.0000	control
profile	control_q8_quantizers	qwen35-0.8b-q8_0	192	kernel_total_ms	0.554527		0.0000	control
profile	control_combined	qwen35-0.8b-q8_0	32	kernel_total_ms	1.104925		0.0000	control
profile	fused_attn_gate_q8	qwen35-0.8b-q8_0	192	kernel_total_ms	0.640541			retained
profile	remaining_q8_quantizers	qwen35-0.8b-q8_0	0	kernel_total_ms	0.000000			retained
profile	candidate_combined	qwen35-0.8b-q8_0	32	kernel_total_ms	0.640541		-42.0286	retained
profile	time_saved	qwen35-0.8b-q8_0	32	us_per_token	14.5120			retained
profile	launches_removed	qwen35-0.8b-q8_0	32	launches_per_token	6			retained
cross_model	final	qwen36-27b-q2_k	3	tg128_tok_s	32.243961	0.172881		unchanged
cross_model	final	gemma4-12b-q4_k_xl	3	tg128_tok_s	70.550445	0.090255		unchanged
validation	graph_logits	qwen35-0.8b-q8_0	128	sha256	acb248fa3c62d5f085a16556485a9d0d5e3b6bdf5c58a392cf734724f885c274			pass
validation	disabled_logits	qwen35-0.8b-q8_0	128	sha256	acb248fa3c62d5f085a16556485a9d0d5e3b6bdf5c58a392cf734724f885c274			pass
validation	eager_logits	qwen35-0.8b-q8_0	128	sha256	acb248fa3c62d5f085a16556485a9d0d5e3b6bdf5c58a392cf734724f885c274			pass
validation	no_cache_logits	qwen35-0.8b-q8_0	128	sha256	acb248fa3c62d5f085a16556485a9d0d5e3b6bdf5c58a392cf734724f885c274			pass
validation	graph_logits	qwen35-0.8b-q4_0	128	sha256	385e35ba44725c79a84b3ed86297d71de16280492d40086cb04fa0ed819e14a0			pass
validation	eager_logits	qwen35-0.8b-q4_0	128	sha256	385e35ba44725c79a84b3ed86297d71de16280492d40086cb04fa0ed819e14a0			pass
validation	graph_ppl	qwen35-0.8b-q8_0	1	wikitext2_ppl	11.9470	4.74860		pass
validation	graph_ppl	qwen35-0.8b-q4_0	1	wikitext2_ppl	12.6381	5.02960		pass
validation	backend_ops	rms-and-mmvq-fusion	351	passed	351			pass
validation	memcheck	qwen35-0.8b-q8_0	1	errors	0			pass
validation	initcheck	qwen35-0.8b-q8_0	1	errors	0			pass
validation	synccheck	qwen35-0.8b-q8_0	1	errors	0			pass
validation	llama_archs	all	1	passed	1			pass
validation	ctest_excluding_backend_ops	all	53	passed	53			pass
