area	variant	model_or_case	repetitions	metric	value	stddev	change_pct	result
generation	candidate_a	qwen35-0.8b-q8_0	30	tg128_tok_s	418.767067	1.104328		retained
generation	disabled_control	qwen35-0.8b-q8_0	30	tg128_tok_s	409.789562	0.482319	0.0000	control
generation	candidate_b	qwen35-0.8b-q8_0	30	tg128_tok_s	417.780236	1.026890		retained
generation	candidate_mean	qwen35-0.8b-q8_0	60	tg128_tok_s	418.273652		2.0704	retained
generation	final	qwen35-0.8b-q8_0	30	tg128_tok_s	419.425010	0.948535	2.3513	retained
generation	candidate	qwen35-0.8b-q4_0	10	tg128_tok_s	357.653532	1.038877		fallback
generation	disabled_control	qwen35-0.8b-q4_0	10	tg128_tok_s	360.360133	1.256237	0.0000	control
prompt	candidate	qwen35-0.8b-q8_0	10	pp512_tok_s	15119.162607	874.635289	-0.2563	fallback
prompt	disabled_control	qwen35-0.8b-q8_0	10	pp512_tok_s	15158.014144	932.973603	0.0000	control
profile	control_fused_core	qwen35-0.8b-q8_0	594	kernel_total_ms	8.591086		0.0000	control
profile	control_conv_state_get_rows	qwen35-0.8b-q8_0	594	kernel_total_ms	2.834036		0.0000	control
profile	control_combined	qwen35-0.8b-q8_0	33	kernel_total_ms	11.425122		0.0000	control
profile	direct_state_fused_core	qwen35-0.8b-q8_0	594	kernel_total_ms	8.820649			retained
profile	remaining_conv_state_get_rows	qwen35-0.8b-q8_0	0	kernel_total_ms	0.000000			retained
profile	candidate_combined	qwen35-0.8b-q8_0	33	kernel_total_ms	8.820649		-22.7960	retained
profile	final_direct_state_fused_core	qwen35-0.8b-q8_0	594	kernel_total_ms	8.840850			retained
profile	time_saved	qwen35-0.8b-q8_0	33	us_per_token	78.9234			retained
profile	launches_removed	qwen35-0.8b-q8_0	33	launches_per_token	18			retained
cross_model	final	qwen36-27b-q2_k	3	tg128_tok_s	32.269087	0.257048		fallback
cross_model	final	gemma4-12b-q4_k_xl	3	tg128_tok_s	70.494935	0.097717		fallback
validation	final_logits	qwen35-0.8b-q8_0	128	sha256	acb248fa3c62d5f085a16556485a9d0d5e3b6bdf5c58a392cf734724f885c274			pass
validation	disabled_logits	qwen35-0.8b-q8_0	128	sha256	acb248fa3c62d5f085a16556485a9d0d5e3b6bdf5c58a392cf734724f885c274			pass
validation	eager_logits	qwen35-0.8b-q8_0	128	sha256	acb248fa3c62d5f085a16556485a9d0d5e3b6bdf5c58a392cf734724f885c274			pass
validation	batched_fallback_logits	qwen35-0.8b-q8_0	256	sha256	58f244f417288747e3b2951b610cf2e04719559fbd91b251756ebd68e07d18b9			pass
validation	final_logits	qwen35-0.8b-q4_0	128	sha256	385e35ba44725c79a84b3ed86297d71de16280492d40086cb04fa0ed819e14a0			pass
validation	graph_ppl	qwen35-0.8b-q8_0	1	wikitext2_ppl	11.9470	4.74860		pass
validation	graph_ppl	qwen35-0.8b-q4_0	1	wikitext2_ppl	12.6381	5.02960		pass
validation	backend_ops	rms-mmvq-gdn	387	passed	387			pass
validation	memcheck	qwen35-0.8b-q8_0	1	errors	0			pass
validation	initcheck	qwen35-0.8b-q8_0	1	errors	0			pass
validation	synccheck	qwen35-0.8b-q8_0	1	errors	0			pass
validation	llama_archs	all	1	passed	1			pass
validation	ctest_excluding_backend_ops	all	53	passed	53			pass
