area	variant	model_or_case	repetitions	metric	value	stddev	change_pct	result
generation	candidate_a	qwen35-0.8b-q8_0	30	tg128_tok_s	423.964055	0.948599		retained
generation	disabled_control	qwen35-0.8b-q8_0	30	tg128_tok_s	418.079878	1.221648	0.0000	control
generation	candidate_b	qwen35-0.8b-q8_0	30	tg128_tok_s	423.629740	0.899365		retained
generation	candidate_mean	qwen35-0.8b-q8_0	60	tg128_tok_s	423.796898		1.3674	retained
generation	final	qwen35-0.8b-q8_0	30	tg128_tok_s	424.281570	0.761659	1.4834	retained
generation	candidate_a	qwen35-0.8b-q4_0	10	tg128_tok_s	360.785034	0.817494		retained
generation	disabled_control	qwen35-0.8b-q4_0	10	tg128_tok_s	358.896124	0.868914	0.0000	control
generation	candidate_b	qwen35-0.8b-q4_0	10	tg128_tok_s	360.711301	0.896733		retained
generation	candidate_mean	qwen35-0.8b-q4_0	20	tg128_tok_s	360.748168		0.5160	retained
prompt	candidate	qwen35-0.8b-q8_0	10	pp512_tok_s	15100.024500	865.655520	-0.1522	fallback
prompt	disabled_control	qwen35-0.8b-q8_0	10	pp512_tok_s	15123.047548	926.999678	0.0000	control
profile	control_combine	qwen35-0.8b-q8_0	198	kernel_total_ms	1.065346		0.0000	control
profile	control_gate_q8	qwen35-0.8b-q8_0	198	kernel_total_ms	0.653600		0.0000	control
profile	control_combined	qwen35-0.8b-q8_0	33	kernel_total_ms	1.718946		0.0000	control
profile	final_fused_combine_gate_q8	qwen35-0.8b-q8_0	198	kernel_total_ms	1.246413		-27.4897	retained
profile	time_saved	qwen35-0.8b-q8_0	33	us_per_token	14.3192			retained
profile	launches_removed	qwen35-0.8b-q8_0	33	launches_per_token	6			retained
profile	control_all_kernels	qwen35-0.8b-q8_0	33	kernel_total_ms	74.459963		0.0000	control
profile	final_all_kernels	qwen35-0.8b-q8_0	33	kernel_total_ms	73.568418		-1.1973	retained
profile	control_all_launches	qwen35-0.8b-q8_0	33	launches	8454		0.0000	control
profile	final_all_launches	qwen35-0.8b-q8_0	33	launches	8256		-2.3421	retained
cross_model	final	qwen36-27b-q2_k	3	tg128_tok_s	32.559085	0.124933		fallback
cross_model	final	gemma4-12b-q4_k_xl	3	tg128_tok_s	70.479877	0.084010		fallback
validation	final_logits	qwen35-0.8b-q8_0	128	sha256	acb248fa3c62d5f085a16556485a9d0d5e3b6bdf5c58a392cf734724f885c274			pass
validation	disabled_logits	qwen35-0.8b-q8_0	128	sha256	acb248fa3c62d5f085a16556485a9d0d5e3b6bdf5c58a392cf734724f885c274			pass
validation	eager_logits	qwen35-0.8b-q8_0	128	sha256	acb248fa3c62d5f085a16556485a9d0d5e3b6bdf5c58a392cf734724f885c274			pass
validation	cache_disabled_logits	qwen35-0.8b-q8_0	128	sha256	acb248fa3c62d5f085a16556485a9d0d5e3b6bdf5c58a392cf734724f885c274			pass
validation	np2_logits	qwen35-0.8b-q8_0	256	sha256	58f244f417288747e3b2951b610cf2e04719559fbd91b251756ebd68e07d18b9			pass
validation	final_logits	qwen35-0.8b-q4_0	128	sha256	385e35ba44725c79a84b3ed86297d71de16280492d40086cb04fa0ed819e14a0			pass
validation	graph_ppl	qwen35-0.8b-q8_0	1	wikitext2_ppl	11.9470	4.74860		pass
validation	graph_ppl	qwen35-0.8b-q4_0	1	wikitext2_ppl	12.6381	5.02960		pass
validation	backend_ops	rms-mmvq-gdn-fattn	3267	passed	3267			pass
validation	memcheck	qwen35-0.8b-q8_0	1	errors	0			pass
validation	initcheck	qwen35-0.8b-q8_0	1	errors	0			pass
validation	synccheck	qwen35-0.8b-q8_0	1	errors	0			pass
validation	llama_archs	all	1	passed	1			pass
validation	ctest_excluding_backend_ops	all	53	passed	53			pass
