area	variant	model_or_case	repetitions	metric	value	stddev	change_pct	result
generation	candidate_a	qwen35-9b-q4_k_m	1	tg1024_tok_s	100.148795			retained
generation	disabled_control	qwen35-9b-q4_k_m	1	tg1024_tok_s	100.096161		0.0000	control
generation	candidate_b	qwen35-9b-q4_k_m	1	tg1024_tok_s	100.354407			retained
generation	candidate_mean	qwen35-9b-q4_k_m	2	tg1024_tok_s	100.251601		0.1553	retained
generation	production	qwen35-9b-q4_k_m	1	tg1024_tok_s	100.165961		0.0697	retained
prompt	candidate_a	qwen35-9b-q4_k_m	1	pp32768_tok_s	1997.847176			retained
prompt	disabled_control	qwen35-9b-q4_k_m	1	pp32768_tok_s	1997.408054		0.0000	control
prompt	candidate_b	qwen35-9b-q4_k_m	1	pp32768_tok_s	1998.254287			retained
prompt	candidate_mean	qwen35-9b-q4_k_m	2	pp32768_tok_s	1998.050732		0.0322	retained
regression	candidate_a	gemma4-12b-q4_k_xl	1	tg1024_tok_s_1230mhz	70.333108			pass
regression	disabled_control	gemma4-12b-q4_k_xl	1	tg1024_tok_s_1230mhz	70.241058		0.0000	control
regression	candidate_b	gemma4-12b-q4_k_xl	1	tg1024_tok_s_1230mhz	70.296346			pass
regression	candidate_mean	gemma4-12b-q4_k_xl	2	tg1024_tok_s_1230mhz	70.314727		0.1049	pass
regression	production	gemma4-12b-q4_k_xl	1	pp32768_tok_s	1318.107017			pass
regression	production	gemma4-12b-q4_k_xl	1	tg1024_tok_s	69.339006			pass
profile	control_kv_mrope	qwen35-0.8b-q8_0	198	kernel_total_ms	0.947740		0.0000	control
profile	control_q_mrope	qwen35-0.8b-q8_0	198	kernel_total_ms	0.785082		0.0000	control
profile	candidate_qkv_mrope	qwen35-0.8b-q8_0	198	kernel_total_ms	0.981836		-43.3380	retained
profile	time_saved	qwen35-0.8b-q8_0	33	us_per_eval	22.1112			retained
profile	launches_removed	qwen35-0.8b-q8_0	33	launches_per_eval	6			retained
profile	control_all_kernels	qwen35-0.8b-q8_0	33	kernel_total_ms	72.877057		0.0000	control
profile	candidate_all_kernels	qwen35-0.8b-q8_0	33	kernel_total_ms	72.147386		-1.0012	retained
profile	control_all_launches	qwen35-0.8b-q8_0	33	launches	7860		0.0000	control
profile	candidate_all_launches	qwen35-0.8b-q8_0	33	launches	7662		-2.5191	retained
prototype	shared_q_branch	qwen35-0.8b-q8_0	1	wikitext2_ppl	12.0110			rejected
prototype	block_32	qwen35-0.8b-q8_0	1	tg128_tok_s	426.546374			rejected
prototype	block_64	qwen35-0.8b-q8_0	1	tg128_tok_s	426.831181			rejected
prototype	block_128	qwen35-0.8b-q8_0	1	tg128_tok_s	427.089068			rejected
prototype	block_256	qwen35-0.8b-q8_0	1	tg128_tok_s	427.116239			retained
clock	trial	gemma4-12b-q4_k_xl	1	1530mhz_busy_range	1522-1530			rejected
clock	trial	gemma4-12b-q4_k_xl	1	1515mhz_busy_range	1230-1515			rejected
clock	trial	gemma4-12b-q4_k_xl	2	1380mhz_sw_thermal_samples	287			rejected
clock	trial	gemma4-12b-q4_k_xl	2	1275mhz_sw_thermal_samples	110			rejected
clock	trial	gemma4-12b-q4_k_xl	3	1230mhz_sw_thermal_samples	74			rejected
clock	trial	gemma4-12b-q4_k_xl	2	1200mhz_busy_range	1200-1200			pass
clock	canonical	qwen35-9b-q4_k_m	6	1192mhz_busy_range	1192-1192			pass
validation	candidate_logits	qwen35-9b-q4_k_m	128	sha256	be3f0c3b86215d5be67b9bba474d19156c3a9b6bfd87a55196772fd434fb5bd0			pass
validation	disabled_logits	qwen35-9b-q4_k_m	128	sha256	be3f0c3b86215d5be67b9bba474d19156c3a9b6bfd87a55196772fd434fb5bd0			pass
validation	production_logits	qwen35-9b-q4_k_m	128	sha256	be3f0c3b86215d5be67b9bba474d19156c3a9b6bfd87a55196772fd434fb5bd0			pass
validation	graph_ppl	qwen35-9b-q4_k_m	1	wikitext2_ppl	5.9046	1.87941		pass
validation	np2_logits	qwen35-9b-q4_k_m	256	sha256	4dff4a6846610731d43b303125c3ed5b1726c87eacffe271ef46ce94608c9a62			pass
validation	np2_ppl	qwen35-9b-q4_k_m	2	wikitext2_ppl	8.9254	2.24662		pass
validation	all_fusions_disabled	qwen35-9b-q4_k_m	1	wikitext2_ppl	5.9200	1.88517		pass
validation	backend_ops	focused	679	cases_passed	679			pass
validation	backend_ops	full_cuda	12995	cases_passed	12995			pass
validation	memcheck	qwen35-0.8b-q8_0	1	errors	0			pass
validation	initcheck	qwen35-0.8b-q8_0	1	errors	0			pass
validation	synccheck	qwen35-0.8b-q8_0	1	errors	0			pass
validation	racecheck	qwen35-0.8b-q8_0	1	hazards	0			pass
validation	test_llama_archs	all	1	exit_code	0			pass
validation	ctest_no_backend	all	53	cases_passed	53			pass
