timestamp,index,uuid,pci_bus_id,graphics_clock_mhz,memory_clock_mhz,power_w,power_limit_w,gpu_temperature_c,memory_temperature_c,gpu_util_pct,memory_used_mib,pstate,sw_power_cap,sw_thermal_slowdown,hw_thermal_slowdown
2026/07/20 00:47:28.097, 0, ${V100_GPU_0_UUID}, 00000000:01:00.0, 900, 877, 32.37, 150.00, 55, 54, 0, 5, P0, Not Active, Not Active, Not Active
2026/07/20 00:47:28.103, 1, ${V100_GPU_1_UUID}, 00000000:02:00.0, 900, 877, 30.76, 150.00, 54, 52, 0, 5, P0, Not Active, Not Active, Not Active
2026/07/20 00:47:28.239, 0, ${V100_GPU_0_UUID}, 00000000:01:00.0, 900, 877, 32.37, 150.00, 55, 54, 0, 5, P0, Not Active, Not Active, Not Active
2026/07/20 00:47:28.244, 1, ${V100_GPU_1_UUID}, 00000000:02:00.0, 900, 877, 30.78, 150.00, 54, 52, 0, 5, P0, Not Active, Not Active, Not Active
2026/07/20 00:47:28.376, 0, ${V100_GPU_0_UUID}, 00000000:01:00.0, 900, 877, 32.37, 150.00, 55, 54, 0, 5, P0, Not Active, Not Active, Not Active
2026/07/20 00:47:28.382, 1, ${V100_GPU_1_UUID}, 00000000:02:00.0, 900, 877, 30.76, 150.00, 54, 52, 0, 5, P0, Not Active, Not Active, Not Active
2026/07/20 00:47:28.543, 0, ${V100_GPU_0_UUID}, 00000000:01:00.0, 900, 877, 32.37, 150.00, 55, 54, 0, 5, P0, Not Active, Not Active, Not Active
2026/07/20 00:47:28.550, 1, ${V100_GPU_1_UUID}, 00000000:02:00.0, 900, 877, 30.78, 150.00, 54, 52, 0, 5, P0, Not Active, Not Active, Not Active
2026/07/20 00:47:28.684, 0, ${V100_GPU_0_UUID}, 00000000:01:00.0, 900, 877, 32.35, 150.00, 55, 54, 0, 5, P0, Not Active, Not Active, Not Active
2026/07/20 00:47:28.690, 1, ${V100_GPU_1_UUID}, 00000000:02:00.0, 900, 877, 30.76, 150.00, 54, 52, 0, 5, P0, Not Active, Not Active, Not Active
2026/07/20 00:47:28.851, 0, ${V100_GPU_0_UUID}, 00000000:01:00.0, 900, 877, 32.37, 150.00, 55, 54, 0, 5, P0, Not Active, Not Active, Not Active
2026/07/20 00:47:28.859, 1, ${V100_GPU_1_UUID}, 00000000:02:00.0, 900, 877, 30.76, 150.00, 54, 52, 0, 5, P0, Not Active, Not Active, Not Active
2026/07/20 00:47:28.991, 0, ${V100_GPU_0_UUID}, 00000000:01:00.0, 900, 877, 32.37, 150.00, 55, 54, 0, 5, P0, Not Active, Not Active, Not Active
2026/07/20 00:47:28.997, 1, ${V100_GPU_1_UUID}, 00000000:02:00.0, 900, 877, 30.76, 150.00, 53, 52, 0, 5, P0, Not Active, Not Active, Not Active
2026/07/20 00:47:29.139, 0, ${V100_GPU_0_UUID}, 00000000:01:00.0, 900, 877, 32.37, 150.00, 55, 54, 0, 5, P0, Not Active, Not Active, Not Active
2026/07/20 00:47:29.144, 1, ${V100_GPU_1_UUID}, 00000000:02:00.0, 900, 877, 30.76, 150.00, 53, 52, 0, 5, P0, Not Active, Not Active, Not Active
2026/07/20 00:47:29.279, 0, ${V100_GPU_0_UUID}, 00000000:01:00.0, 900, 877, 32.37, 150.00, 55, 54, 0, 8, P0, Not Active, Not Active, Not Active
2026/07/20 00:47:29.285, 1, ${V100_GPU_1_UUID}, 00000000:02:00.0, 900, 877, 30.76, 150.00, 54, 52, 0, 8, P0, Not Active, Not Active, Not Active
2026/07/20 00:47:29.417, 0, ${V100_GPU_0_UUID}, 00000000:01:00.0, 900, 877, 32.35, 150.00, 55, 54, 0, 8, P0, Not Active, Not Active, Not Active
2026/07/20 00:47:29.423, 1, ${V100_GPU_1_UUID}, 00000000:02:00.0, 900, 877, 30.74, 150.00, 54, 52, 0, 8, P0, Not Active, Not Active, Not Active
2026/07/20 00:47:29.555, 0, ${V100_GPU_0_UUID}, 00000000:01:00.0, 900, 877, 32.35, 150.00, 55, 54, 0, 8, P0, Not Active, Not Active, Not Active
2026/07/20 00:47:29.560, 1, ${V100_GPU_1_UUID}, 00000000:02:00.0, 900, 877, 30.76, 150.00, 54, 52, 0, 8, P0, Not Active, Not Active, Not Active
2026/07/20 00:47:29.693, 0, ${V100_GPU_0_UUID}, 00000000:01:00.0, 900, 877, 32.37, 150.00, 55, 54, 1, 316, P0, Not Active, Not Active, Not Active
2026/07/20 00:47:29.700, 1, ${V100_GPU_1_UUID}, 00000000:02:00.0, 900, 877, 30.76, 150.00, 54, 52, 0, 20, P0, Not Active, Not Active, Not Active
2026/07/20 00:47:29.852, 0, ${V100_GPU_0_UUID}, 00000000:01:00.0, 900, 877, 32.37, 150.00, 55, 54, 2, 316, P0, Not Active, Not Active, Not Active
2026/07/20 00:47:29.857, 1, ${V100_GPU_1_UUID}, 00000000:02:00.0, 900, 877, 30.78, 150.00, 54, 52, 0, 316, P0, Not Active, Not Active, Not Active
2026/07/20 00:47:29.990, 0, ${V100_GPU_0_UUID}, 00000000:01:00.0, 900, 877, 32.37, 150.00, 55, 54, 0, 316, P0, Not Active, Not Active, Not Active
2026/07/20 00:47:29.996, 1, ${V100_GPU_1_UUID}, 00000000:02:00.0, 900, 877, 30.76, 150.00, 54, 52, 3, 316, P0, Not Active, Not Active, Not Active
2026/07/20 00:47:30.127, 0, ${V100_GPU_0_UUID}, 00000000:01:00.0, 900, 877, 32.37, 150.00, 55, 54, 0, 316, P0, Not Active, Not Active, Not Active
2026/07/20 00:47:30.133, 1, ${V100_GPU_1_UUID}, 00000000:02:00.0, 900, 877, 30.76, 150.00, 54, 52, 0, 316, P0, Not Active, Not Active, Not Active
2026/07/20 00:47:30.265, 0, ${V100_GPU_0_UUID}, 00000000:01:00.0, 900, 877, 32.37, 150.00, 55, 54, 0, 316, P0, Not Active, Not Active, Not Active
2026/07/20 00:47:30.271, 1, ${V100_GPU_1_UUID}, 00000000:02:00.0, 900, 877, 30.76, 150.00, 54, 52, 0, 316, P0, Not Active, Not Active, Not Active
2026/07/20 00:47:30.415, 0, ${V100_GPU_0_UUID}, 00000000:01:00.0, 900, 877, 32.37, 150.00, 55, 54, 0, 316, P0, Not Active, Not Active, Not Active
2026/07/20 00:47:30.431, 1, ${V100_GPU_1_UUID}, 00000000:02:00.0, 900, 877, 30.78, 150.00, 54, 52, 0, 316, P0, Not Active, Not Active, Not Active
2026/07/20 00:47:30.571, 0, ${V100_GPU_0_UUID}, 00000000:01:00.0, 900, 877, 32.37, 150.00, 55, 54, 0, 316, P0, Not Active, Not Active, Not Active
2026/07/20 00:47:30.578, 1, ${V100_GPU_1_UUID}, 00000000:02:00.0, 900, 877, 30.78, 150.00, 54, 52, 0, 316, P0, Not Active, Not Active, Not Active
2026/07/20 00:47:30.732, 0, ${V100_GPU_0_UUID}, 00000000:01:00.0, 900, 877, 32.37, 150.00, 55, 54, 0, 316, P0, Not Active, Not Active, Not Active
2026/07/20 00:47:30.738, 1, ${V100_GPU_1_UUID}, 00000000:02:00.0, 900, 877, 30.76, 150.00, 54, 52, 0, 316, P0, Not Active, Not Active, Not Active
2026/07/20 00:47:30.871, 0, ${V100_GPU_0_UUID}, 00000000:01:00.0, 900, 877, 32.39, 150.00, 55, 54, 0, 316, P0, Not Active, Not Active, Not Active
2026/07/20 00:47:30.879, 1, ${V100_GPU_1_UUID}, 00000000:02:00.0, 900, 877, 30.78, 150.00, 54, 52, 0, 316, P0, Not Active, Not Active, Not Active
2026/07/20 00:47:31.023, 0, ${V100_GPU_0_UUID}, 00000000:01:00.0, 900, 877, 32.37, 150.00, 55, 54, 0, 316, P0, Not Active, Not Active, Not Active
2026/07/20 00:47:31.029, 1, ${V100_GPU_1_UUID}, 00000000:02:00.0, 900, 877, 30.76, 150.00, 53, 52, 0, 316, P0, Not Active, Not Active, Not Active
2026/07/20 00:47:31.191, 0, ${V100_GPU_0_UUID}, 00000000:01:00.0, 900, 877, 32.39, 150.00, 55, 54, 0, 316, P0, Not Active, Not Active, Not Active
2026/07/20 00:47:31.198, 1, ${V100_GPU_1_UUID}, 00000000:02:00.0, 900, 877, 30.78, 150.00, 54, 52, 0, 316, P0, Not Active, Not Active, Not Active
2026/07/20 00:47:31.334, 0, ${V100_GPU_0_UUID}, 00000000:01:00.0, 900, 877, 32.37, 150.00, 55, 54, 0, 316, P0, Not Active, Not Active, Not Active
2026/07/20 00:47:31.339, 1, ${V100_GPU_1_UUID}, 00000000:02:00.0, 900, 877, 30.76, 150.00, 54, 52, 0, 316, P0, Not Active, Not Active, Not Active
2026/07/20 00:47:31.484, 0, ${V100_GPU_0_UUID}, 00000000:01:00.0, 900, 877, 32.37, 150.00, 55, 54, 0, 316, P0, Not Active, Not Active, Not Active
2026/07/20 00:47:31.490, 1, ${V100_GPU_1_UUID}, 00000000:02:00.0, 900, 877, 30.78, 150.00, 54, 52, 0, 316, P0, Not Active, Not Active, Not Active
