timestamp,index,uuid,pci_bus_id,graphics_clock_mhz,memory_clock_mhz,power_w,power_limit_w,gpu_temperature_c,memory_temperature_c,gpu_util_pct,memory_used_mib,pstate,sw_power_cap,sw_thermal_slowdown,hw_thermal_slowdown
2026/07/20 00:45:27.414, 0, ${V100_GPU_0_UUID}, 00000000:01:00.0, 900, 877, 32.37, 150.00, 55, 54, 0, 5, P0, Not Active, Not Active, Not Active
2026/07/20 00:45:27.420, 1, ${V100_GPU_1_UUID}, 00000000:02:00.0, 900, 877, 30.76, 150.00, 53, 52, 0, 5, P0, Not Active, Not Active, Not Active
2026/07/20 00:45:27.583, 0, ${V100_GPU_0_UUID}, 00000000:01:00.0, 900, 877, 32.39, 150.00, 55, 54, 0, 5, P0, Not Active, Not Active, Not Active
2026/07/20 00:45:27.591, 1, ${V100_GPU_1_UUID}, 00000000:02:00.0, 900, 877, 30.78, 150.00, 53, 52, 0, 5, P0, Not Active, Not Active, Not Active
2026/07/20 00:45:27.725, 0, ${V100_GPU_0_UUID}, 00000000:01:00.0, 900, 877, 32.37, 150.00, 55, 54, 0, 5, P0, Not Active, Not Active, Not Active
2026/07/20 00:45:27.730, 1, ${V100_GPU_1_UUID}, 00000000:02:00.0, 900, 877, 30.76, 150.00, 53, 52, 0, 5, P0, Not Active, Not Active, Not Active
2026/07/20 00:45:27.893, 0, ${V100_GPU_0_UUID}, 00000000:01:00.0, 900, 877, 32.37, 150.00, 55, 54, 0, 5, P0, Not Active, Not Active, Not Active
2026/07/20 00:45:27.900, 1, ${V100_GPU_1_UUID}, 00000000:02:00.0, 900, 877, 30.78, 150.00, 53, 52, 0, 5, P0, Not Active, Not Active, Not Active
2026/07/20 00:45:28.047, 0, ${V100_GPU_0_UUID}, 00000000:01:00.0, 900, 877, 32.39, 150.00, 55, 54, 0, 5, P0, Not Active, Not Active, Not Active
2026/07/20 00:45:28.058, 1, ${V100_GPU_1_UUID}, 00000000:02:00.0, 900, 877, 30.78, 150.00, 53, 52, 0, 5, P0, Not Active, Not Active, Not Active
2026/07/20 00:45:28.202, 0, ${V100_GPU_0_UUID}, 00000000:01:00.0, 900, 877, 32.37, 150.00, 55, 54, 0, 5, P0, Not Active, Not Active, Not Active
2026/07/20 00:45:28.208, 1, ${V100_GPU_1_UUID}, 00000000:02:00.0, 900, 877, 30.76, 150.00, 53, 52, 0, 5, P0, Not Active, Not Active, Not Active
2026/07/20 00:45:28.371, 0, ${V100_GPU_0_UUID}, 00000000:01:00.0, 900, 877, 32.37, 150.00, 55, 54, 0, 5, P0, Not Active, Not Active, Not Active
2026/07/20 00:45:28.376, 1, ${V100_GPU_1_UUID}, 00000000:02:00.0, 900, 877, 30.76, 150.00, 53, 52, 0, 5, P0, Not Active, Not Active, Not Active
2026/07/20 00:45:28.509, 0, ${V100_GPU_0_UUID}, 00000000:01:00.0, 900, 877, 32.37, 150.00, 55, 54, 0, 5, P0, Not Active, Not Active, Not Active
2026/07/20 00:45:28.514, 1, ${V100_GPU_1_UUID}, 00000000:02:00.0, 900, 877, 30.76, 150.00, 53, 52, 0, 5, P0, Not Active, Not Active, Not Active
2026/07/20 00:45:28.677, 0, ${V100_GPU_0_UUID}, 00000000:01:00.0, 900, 877, 32.39, 150.00, 55, 54, 0, 5, P0, Not Active, Not Active, Not Active
2026/07/20 00:45:28.686, 1, ${V100_GPU_1_UUID}, 00000000:02:00.0, 900, 877, 30.78, 150.00, 53, 52, 0, 5, P0, Not Active, Not Active, Not Active
2026/07/20 00:45:28.818, 0, ${V100_GPU_0_UUID}, 00000000:01:00.0, 900, 877, 32.37, 150.00, 55, 54, 0, 5, P0, Not Active, Not Active, Not Active
2026/07/20 00:45:28.825, 1, ${V100_GPU_1_UUID}, 00000000:02:00.0, 900, 877, 30.78, 150.00, 53, 52, 0, 5, P0, Not Active, Not Active, Not Active
2026/07/20 00:45:28.985, 0, ${V100_GPU_0_UUID}, 00000000:01:00.0, 900, 877, 32.39, 150.00, 55, 54, 0, 5, P0, Not Active, Not Active, Not Active
2026/07/20 00:45:28.991, 1, ${V100_GPU_1_UUID}, 00000000:02:00.0, 900, 877, 30.76, 150.00, 53, 52, 0, 5, P0, Not Active, Not Active, Not Active
2026/07/20 00:45:29.125, 0, ${V100_GPU_0_UUID}, 00000000:01:00.0, 900, 877, 32.37, 150.00, 55, 54, 0, 5, P0, Not Active, Not Active, Not Active
2026/07/20 00:45:29.130, 1, ${V100_GPU_1_UUID}, 00000000:02:00.0, 900, 877, 30.76, 150.00, 53, 52, 0, 5, P0, Not Active, Not Active, Not Active
2026/07/20 00:45:29.287, 0, ${V100_GPU_0_UUID}, 00000000:01:00.0, 900, 877, 32.37, 150.00, 55, 54, 0, 5, P0, Not Active, Not Active, Not Active
2026/07/20 00:45:29.293, 1, ${V100_GPU_1_UUID}, 00000000:02:00.0, 900, 877, 30.76, 150.00, 53, 52, 0, 5, P0, Not Active, Not Active, Not Active
2026/07/20 00:45:29.427, 0, ${V100_GPU_0_UUID}, 00000000:01:00.0, 900, 877, 32.37, 150.00, 55, 54, 0, 5, P0, Not Active, Not Active, Not Active
2026/07/20 00:45:29.433, 1, ${V100_GPU_1_UUID}, 00000000:02:00.0, 900, 877, 30.78, 150.00, 53, 52, 0, 5, P0, Not Active, Not Active, Not Active
2026/07/20 00:45:29.565, 0, ${V100_GPU_0_UUID}, 00000000:01:00.0, 900, 877, 32.37, 150.00, 55, 54, 0, 5, P0, Not Active, Not Active, Not Active
2026/07/20 00:45:29.571, 1, ${V100_GPU_1_UUID}, 00000000:02:00.0, 900, 877, 30.76, 150.00, 53, 52, 0, 5, P0, Not Active, Not Active, Not Active
2026/07/20 00:45:29.704, 0, ${V100_GPU_0_UUID}, 00000000:01:00.0, 900, 877, 32.37, 150.00, 55, 54, 0, 5, P0, Not Active, Not Active, Not Active
2026/07/20 00:45:29.710, 1, ${V100_GPU_1_UUID}, 00000000:02:00.0, 900, 877, 30.76, 150.00, 53, 52, 0, 5, P0, Not Active, Not Active, Not Active
2026/07/20 00:45:29.856, 0, ${V100_GPU_0_UUID}, 00000000:01:00.0, 900, 877, 32.37, 150.00, 55, 54, 0, 5, P0, Not Active, Not Active, Not Active
2026/07/20 00:45:29.862, 1, ${V100_GPU_1_UUID}, 00000000:02:00.0, 900, 877, 30.76, 150.00, 53, 52, 0, 5, P0, Not Active, Not Active, Not Active
2026/07/20 00:45:30.021, 0, ${V100_GPU_0_UUID}, 00000000:01:00.0, 900, 877, 32.39, 150.00, 55, 54, 0, 5, P0, Not Active, Not Active, Not Active
2026/07/20 00:45:30.030, 1, ${V100_GPU_1_UUID}, 00000000:02:00.0, 900, 877, 30.78, 150.00, 53, 52, 0, 5, P0, Not Active, Not Active, Not Active
2026/07/20 00:45:30.165, 0, ${V100_GPU_0_UUID}, 00000000:01:00.0, 900, 877, 32.37, 150.00, 55, 54, 0, 5, P0, Not Active, Not Active, Not Active
2026/07/20 00:45:30.170, 1, ${V100_GPU_1_UUID}, 00000000:02:00.0, 900, 877, 30.76, 150.00, 53, 52, 0, 5, P0, Not Active, Not Active, Not Active
2026/07/20 00:45:30.330, 0, ${V100_GPU_0_UUID}, 00000000:01:00.0, 900, 877, 32.39, 150.00, 55, 54, 0, 5, P0, Not Active, Not Active, Not Active
2026/07/20 00:45:30.338, 1, ${V100_GPU_1_UUID}, 00000000:02:00.0, 900, 877, 30.78, 150.00, 53, 52, 0, 5, P0, Not Active, Not Active, Not Active
2026/07/20 00:45:30.471, 0, ${V100_GPU_0_UUID}, 00000000:01:00.0, 900, 877, 32.39, 150.00, 55, 54, 0, 8, P0, Not Active, Not Active, Not Active
2026/07/20 00:45:30.476, 1, ${V100_GPU_1_UUID}, 00000000:02:00.0, 900, 877, 30.78, 150.00, 53, 52, 0, 8, P0, Not Active, Not Active, Not Active
2026/07/20 00:45:30.609, 0, ${V100_GPU_0_UUID}, 00000000:01:00.0, 900, 877, 32.37, 150.00, 55, 54, 0, 8, P0, Not Active, Not Active, Not Active
2026/07/20 00:45:30.614, 1, ${V100_GPU_1_UUID}, 00000000:02:00.0, 900, 877, 30.76, 150.00, 53, 52, 0, 8, P0, Not Active, Not Active, Not Active
2026/07/20 00:45:30.747, 0, ${V100_GPU_0_UUID}, 00000000:01:00.0, 900, 877, 32.35, 150.00, 55, 54, 0, 8, P0, Not Active, Not Active, Not Active
2026/07/20 00:45:30.753, 1, ${V100_GPU_1_UUID}, 00000000:02:00.0, 900, 877, 30.74, 150.00, 53, 52, 0, 8, P0, Not Active, Not Active, Not Active
2026/07/20 00:45:30.892, 0, ${V100_GPU_0_UUID}, 00000000:01:00.0, 900, 877, 32.35, 150.00, 55, 54, 0, 20, P0, Not Active, Not Active, Not Active
2026/07/20 00:45:30.902, 1, ${V100_GPU_1_UUID}, 00000000:02:00.0, 900, 877, 30.74, 150.00, 53, 52, 0, 8, P0, Not Active, Not Active, Not Active
2026/07/20 00:45:31.039, 0, ${V100_GPU_0_UUID}, 00000000:01:00.0, 900, 877, 32.37, 150.00, 55, 54, 3, 316, P0, Not Active, Not Active, Not Active
2026/07/20 00:45:31.045, 1, ${V100_GPU_1_UUID}, 00000000:02:00.0, 900, 877, 30.76, 150.00, 53, 52, 0, 32, P0, Not Active, Not Active, Not Active
2026/07/20 00:45:31.178, 0, ${V100_GPU_0_UUID}, 00000000:01:00.0, 900, 877, 32.37, 150.00, 55, 54, 3, 316, P0, Not Active, Not Active, Not Active
2026/07/20 00:45:31.184, 1, ${V100_GPU_1_UUID}, 00000000:02:00.0, 900, 877, 30.78, 150.00, 53, 52, 1, 316, P0, Not Active, Not Active, Not Active
2026/07/20 00:45:31.316, 0, ${V100_GPU_0_UUID}, 00000000:01:00.0, 900, 877, 32.37, 150.00, 55, 54, 0, 316, P0, Not Active, Not Active, Not Active
2026/07/20 00:45:31.321, 1, ${V100_GPU_1_UUID}, 00000000:02:00.0, 900, 877, 30.78, 150.00, 53, 52, 2, 316, P0, Not Active, Not Active, Not Active
2026/07/20 00:45:31.454, 0, ${V100_GPU_0_UUID}, 00000000:01:00.0, 900, 877, 32.37, 150.00, 55, 54, 0, 316, P0, Not Active, Not Active, Not Active
2026/07/20 00:45:31.460, 1, ${V100_GPU_1_UUID}, 00000000:02:00.0, 900, 877, 30.78, 150.00, 53, 52, 0, 316, P0, Not Active, Not Active, Not Active
2026/07/20 00:45:31.592, 0, ${V100_GPU_0_UUID}, 00000000:01:00.0, 900, 877, 32.37, 150.00, 55, 54, 0, 316, P0, Not Active, Not Active, Not Active
2026/07/20 00:45:31.598, 1, ${V100_GPU_1_UUID}, 00000000:02:00.0, 900, 877, 30.76, 150.00, 53, 52, 0, 316, P0, Not Active, Not Active, Not Active
2026/07/20 00:45:31.732, 0, ${V100_GPU_0_UUID}, 00000000:01:00.0, 900, 877, 32.39, 150.00, 55, 54, 0, 316, P0, Not Active, Not Active, Not Active
2026/07/20 00:45:31.739, 1, ${V100_GPU_1_UUID}, 00000000:02:00.0, 900, 877, 30.78, 150.00, 53, 52, 0, 316, P0, Not Active, Not Active, Not Active
2026/07/20 00:45:31.877, 0, ${V100_GPU_0_UUID}, 00000000:01:00.0, 900, 877, 32.39, 150.00, 55, 54, 0, 316, P0, Not Active, Not Active, Not Active
2026/07/20 00:45:31.883, 1, ${V100_GPU_1_UUID}, 00000000:02:00.0, 900, 877, 30.78, 150.00, 53, 52, 0, 316, P0, Not Active, Not Active, Not Active
2026/07/20 00:45:32.027, 0, ${V100_GPU_0_UUID}, 00000000:01:00.0, 900, 877, 32.37, 150.00, 55, 54, 0, 316, P0, Not Active, Not Active, Not Active
2026/07/20 00:45:32.034, 1, ${V100_GPU_1_UUID}, 00000000:02:00.0, 900, 877, 30.76, 150.00, 53, 52, 0, 316, P0, Not Active, Not Active, Not Active
2026/07/20 00:45:32.168, 0, ${V100_GPU_0_UUID}, 00000000:01:00.0, 900, 877, 32.39, 150.00, 55, 54, 0, 316, P0, Not Active, Not Active, Not Active
2026/07/20 00:45:32.175, 1, ${V100_GPU_1_UUID}, 00000000:02:00.0, 900, 877, 30.78, 150.00, 53, 52, 0, 316, P0, Not Active, Not Active, Not Active
2026/07/20 00:45:32.309, 0, ${V100_GPU_0_UUID}, 00000000:01:00.0, 900, 877, 32.39, 150.00, 55, 54, 0, 316, P0, Not Active, Not Active, Not Active
2026/07/20 00:45:32.315, 1, ${V100_GPU_1_UUID}, 00000000:02:00.0, 900, 877, 30.78, 150.00, 53, 52, 0, 316, P0, Not Active, Not Active, Not Active
2026/07/20 00:45:32.451, 0, ${V100_GPU_0_UUID}, 00000000:01:00.0, 900, 877, 32.39, 150.00, 55, 54, 0, 316, P0, Not Active, Not Active, Not Active
2026/07/20 00:45:32.457, 1, ${V100_GPU_1_UUID}, 00000000:02:00.0, 900, 877, 30.78, 150.00, 53, 52, 0, 316, P0, Not Active, Not Active, Not Active
2026/07/20 00:45:32.618, 0, ${V100_GPU_0_UUID}, 00000000:01:00.0, 900, 877, 32.39, 150.00, 55, 54, 0, 316, P0, Not Active, Not Active, Not Active
2026/07/20 00:45:32.625, 1, ${V100_GPU_1_UUID}, 00000000:02:00.0, 900, 877, 30.78, 150.00, 53, 52, 0, 316, P0, Not Active, Not Active, Not Active
2026/07/20 00:45:32.775, 0, ${V100_GPU_0_UUID}, 00000000:01:00.0, 900, 877, 32.37, 150.00, 55, 54, 0, 316, P0, Not Active, Not Active, Not Active
2026/07/20 00:45:32.781, 1, ${V100_GPU_1_UUID}, 00000000:02:00.0, 900, 877, 30.78, 150.00, 53, 52, 0, 316, P0, Not Active, Not Active, Not Active
2026/07/20 00:45:32.918, 0, ${V100_GPU_0_UUID}, 00000000:01:00.0, 900, 877, 32.37, 150.00, 55, 54, 0, 316, P0, Not Active, Not Active, Not Active
2026/07/20 00:45:32.923, 1, ${V100_GPU_1_UUID}, 00000000:02:00.0, 900, 877, 30.78, 150.00, 53, 52, 0, 316, P0, Not Active, Not Active, Not Active
