timestamp,index,uuid,pci_bus_id,graphics_clock_mhz,memory_clock_mhz,power_w,power_limit_w,gpu_temperature_c,memory_temperature_c,gpu_util_pct,memory_used_mib,pstate,sw_power_cap,sw_thermal_slowdown,hw_thermal_slowdown
2026/07/20 00:54:30.102, 0, ${V100_GPU_0_UUID}, 00000000:01:00.0, 892, 877, 32.37, 150.00, 55, 54, 0, 5, P0, Not Active, Not Active, Not Active
2026/07/20 00:54:30.108, 1, ${V100_GPU_1_UUID}, 00000000:02:00.0, 892, 877, 30.28, 150.00, 53, 52, 0, 5, P0, Not Active, Not Active, Not Active
2026/07/20 00:54:30.201, 0, ${V100_GPU_0_UUID}, 00000000:01:00.0, 892, 877, 32.35, 150.00, 55, 54, 0, 8, P0, Not Active, Not Active, Not Active
2026/07/20 00:54:30.208, 1, ${V100_GPU_1_UUID}, 00000000:02:00.0, 892, 877, 30.28, 150.00, 53, 52, 0, 8, P0, Not Active, Not Active, Not Active
2026/07/20 00:54:30.290, 0, ${V100_GPU_0_UUID}, 00000000:01:00.0, 892, 877, 32.35, 150.00, 55, 54, 0, 8, P0, Not Active, Not Active, Not Active
2026/07/20 00:54:30.296, 1, ${V100_GPU_1_UUID}, 00000000:02:00.0, 892, 877, 30.28, 150.00, 53, 52, 0, 8, P0, Not Active, Not Active, Not Active
2026/07/20 00:54:30.378, 0, ${V100_GPU_0_UUID}, 00000000:01:00.0, 892, 877, 32.35, 150.00, 55, 54, 0, 8, P0, Not Active, Not Active, Not Active
2026/07/20 00:54:30.383, 1, ${V100_GPU_1_UUID}, 00000000:02:00.0, 892, 877, 30.26, 150.00, 53, 52, 0, 8, P0, Not Active, Not Active, Not Active
2026/07/20 00:54:30.465, 0, ${V100_GPU_0_UUID}, 00000000:01:00.0, 892, 877, 32.35, 150.00, 55, 54, 0, 8, P0, Not Active, Not Active, Not Active
2026/07/20 00:54:30.471, 1, ${V100_GPU_1_UUID}, 00000000:02:00.0, 892, 877, 30.26, 150.00, 53, 52, 0, 8, P0, Not Active, Not Active, Not Active
2026/07/20 00:54:30.557, 0, ${V100_GPU_0_UUID}, 00000000:01:00.0, 892, 877, 32.35, 150.00, 55, 54, 0, 20, P0, Not Active, Not Active, Not Active
2026/07/20 00:54:30.564, 1, ${V100_GPU_1_UUID}, 00000000:02:00.0, 892, 877, 30.28, 150.00, 53, 52, 0, 8, P0, Not Active, Not Active, Not Active
2026/07/20 00:54:30.659, 0, ${V100_GPU_0_UUID}, 00000000:01:00.0, 892, 877, 32.35, 150.00, 55, 54, 0, 316, P0, Not Active, Not Active, Not Active
2026/07/20 00:54:30.669, 1, ${V100_GPU_1_UUID}, 00000000:02:00.0, 892, 877, 30.28, 150.00, 53, 52, 0, 20, P0, Not Active, Not Active, Not Active
2026/07/20 00:54:30.754, 0, ${V100_GPU_0_UUID}, 00000000:01:00.0, 892, 877, 32.37, 150.00, 55, 54, 3, 316, P0, Not Active, Not Active, Not Active
2026/07/20 00:54:30.760, 1, ${V100_GPU_1_UUID}, 00000000:02:00.0, 892, 877, 30.28, 150.00, 53, 52, 0, 316, P0, Not Active, Not Active, Not Active
2026/07/20 00:54:30.842, 0, ${V100_GPU_0_UUID}, 00000000:01:00.0, 892, 877, 32.37, 150.00, 55, 54, 3, 316, P0, Not Active, Not Active, Not Active
