time_pct	total_ms	instances	avg_us	kernel
33.6	343.862345	41856	8.2154	mul_mat_vec_q8_0_warp_rows
13.4	137.106348	9216	14.8770	mul_mat_vec_q8_0_warp_rows_gate
12.7	129.410577	62592	2.0675	quantize_q8_1
9.0	91.826014	11520	7.9710	mul_mat_vec_q8_0_fused_generic
5.1	51.909107	14208	3.6535	get_rows_float4
5.0	51.149262	18816	2.7184	rms_norm_f32_vec4_mul
2.9	29.908844	11520	2.5963	rms_norm_f32
2.7	27.561017	6912	3.9874	gated_delta_net_128
2.6	26.241912	6912	3.7966	concat_cpy_dim0_tail_f32
1.7	17.192985	6912	2.4874	add_f32
1.6	16.387450	6912	2.3709	l2_norm_f32_pair
1.6	16.287645	2304	7.0693	flash_attn_tile_256
1.5	15.484666	6912	2.2403	ssm_conv_f32
1.3	13.120631	6912	1.8982	silu_mul_f32
1.2	12.173849	6912	1.7613	add_softplus_mul
1.1	10.741115	4608	2.3310	rope_multi_f32
1.0	10.666140	6912	1.5431	sigmoid_f32
1.0	10.599644	4608	2.3003	set_rows_f32_i64_f16
0.6	6.326400	2304	2.7458	flash_attn_combine_256
0.4	4.459584	2304	1.9356	sigmoid_mul_f32
