time_percent,total_time_ns,instances,average_ns,kernel
50.9,364076996,400,910192.5,"cutlass sm70 tensorop s884 gemm f16 128x128 tn align8"
16.4,117024628,224,522431.4,"dequantize_block_q2_K<half>"
8.1,58145832,80,726822.9,"dequantize_block_q3_K<half>"
8.1,58088167,48,1210170.1,"gated_delta_net_cuda<128,false,false>"
4.0,28746607,64,449165.7,"dequantize_block_q4_K<half>"
2.2,15978759,400,39946.9,"convert_unary<float,half>"
1.5,10840448,112,96789.7,"unary_gated_op_kernel<silu,float>"
1.3,9387139,16,586696.2,"flash_attn_ext_f16<256,256,32,2,false,false>"
0.8,5845474,48,121780.7,"ssm_conv_long_token_f32<true,128,4,32>"
0.6,4025669,8,503208.6,"dequantize_block_q6_K<half>"
0.4,2999060,24,124960.8,"dequantize_block_q8_0_f16<false>"
