time_percent,total_time_ns,instances,average_ns,kernel
28.8,1264122336,10240,123449.4,"mul_mat_vec_q<Q3_K,1,true,false>"
28.5,1251189084,8192,152733.0,"mul_mat_vec_q<Q2_K,1,true,false>"
8.8,387966833,12288,31572.8,"mul_mat_vec_q<Q2_K,1,false,false>"
6.7,294801384,1152,255904.0,"mul_mat_vec_q<Q6_K,1,false,false>"
6.7,294048490,8192,35894.6,"mul_mat_vec_q<Q4_K,1,false,false>"
3.1,135604323,12416,10921.7,"get_rows_float<float,float>"
3.0,132518788,3072,43137.6,"mul_mat_vec_q<Q8_0,1,false,false>"
2.7,118775862,16512,7193.3,"rms_norm_f32<1024,true,false>"
2.4,106497511,43136,2468.9,"quantize_q8_1"
1.7,75364373,12288,6133.2,"mul_mat_vec_f<float,float,1,256,false,false>"
1.2,51972795,6144,8459.1,"gated_delta_net_cuda<128,false,false>"
